
SOAP Analysis Report Output for starlink_100_sats_46.orb,
Generated: Mon Jan 09 15:49:17 2023,
Start: 1853/01/26 01:42:00.00, Stop: 1853/01/27 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1307 - STARLINK-1690,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-1210,
       Rise,         Set, Duration (s),
   10447.701,   11289.361,     841.659,
   24595.503,   25690.521,    1095.017,
   33121.321,   40008.817,    6887.497,
   50275.954,   54229.687,    3953.734,
   64677.812,   65544.478,     866.666,
Is_True,          15.7923%,
Analysis,STARLINK-1307 - STARLINK-2666,
       Rise,         Set, Duration (s),
       0.000,   25134.815,   25134.815,
   25493.604,   40444.136,   14950.532,
   43264.879,   50127.978,    6863.099,
   50458.610,   71942.555,   21483.945,
   72281.276,   79142.237,    6860.961,
   81954.174,   86400.000,    4445.826,
Is_True,          92.2907%,
Analysis,STARLINK-1307 - STARLINK-2361,
       Rise,         Set, Duration (s),
   28803.745,   82786.776,   53983.031,
Is_True,          62.4804%,
Analysis,STARLINK-1307 - STARLINK-2617,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-2426,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-2377,
       Rise,         Set, Duration (s),
    1423.515,   13845.029,   12421.514,
   18597.639,   31425.343,   12827.704,
   33318.518,   49022.219,   15703.702,
   50500.031,   62926.984,   12426.953,
   64812.034,   71537.461,    6725.427,
   73803.972,   86400.000,   12596.028,
Is_True,          84.1451%,
Analysis,STARLINK-1307 - STARLINK-3393,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-1534,
       Rise,         Set, Duration (s),
    6699.072,    7287.804,     588.732,
Is_True,           0.6814%,
Analysis,STARLINK-1307 - STARLINK-1370,
       Rise,         Set, Duration (s),
    4275.865,   17814.630,   13538.765,
   18716.063,   32254.762,   13538.698,
   32547.046,   46082.263,   13535.217,
   46987.398,   52839.045,    5851.647,
   56491.639,   60522.529,    4030.890,
   66343.612,   74962.738,    8619.126,
   80784.145,   86400.000,    5615.855,
Is_True,          74.9192%,
Analysis,STARLINK-1307 - STARLINK-3101,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-3167,
       Rise,         Set, Duration (s),
       0.000,   16163.083,   16163.083,
   18515.041,   35773.185,   17258.144,
   39600.002,   64532.812,   24932.810,
   66178.127,   86400.000,   20221.873,
Is_True,          90.9443%,
Analysis,STARLINK-1307 - STARLINK-1525,
       Rise,         Set, Duration (s),
    1543.739,   27261.818,   25718.080,
   44753.613,   74539.679,   29786.066,
Is_True,          64.2409%,
Analysis,STARLINK-1307 - STARLINK-3117,
       Rise,         Set, Duration (s),
       0.000,   57198.046,   57198.046,
   61528.125,   86400.000,   24871.875,
Is_True,          94.9883%,
Analysis,STARLINK-1307 - STARLINK-1763,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-2212,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1307 - STARLINK-3252,
       Rise,         Set, Duration (s),
       0.000,   35317.938,   35317.938,
   40082.521,   67499.113,   27416.592,
   70485.646,   82725.282,   12239.636,
   83268.479,   86400.000,    3131.521,
Is_True,          90.4001%,
Analysis,STARLINK-1307 - STARLINK-3600,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
