
SOAP Analysis Report Output for starlink_100_sats_6.orb,
Generated: Mon Jan 09 15:00:19 2023,
Start: 1871/04/16 01:42:00.00, Stop: 1871/04/17 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1700 - STARLINK-1236,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-1864,
       Rise,         Set, Duration (s),
   64241.708,   86146.366,   21904.659,
Is_True,          25.3526%,
Analysis,STARLINK-1700 - STARLINK-2526,
       Rise,         Set, Duration (s),
    6437.619,    7269.633,     832.015,
   17488.738,   24638.969,    7150.231,
   25876.726,   38821.407,   12944.681,
   40085.929,   47198.849,    7112.920,
   57499.245,   58215.814,     716.568,
Is_True,          33.2829%,
Analysis,STARLINK-1700 - STARLINK-2196,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-2434,
       Rise,         Set, Duration (s),
    2781.193,   14318.919,   11537.725,
   18991.478,   28691.064,    9699.586,
   35212.521,   45809.220,   10596.699,
   50490.624,   62023.903,   11533.278,
   66694.279,   76393.796,    9699.517,
   82914.547,   86400.000,    3485.453,
Is_True,          65.4540%,
Analysis,STARLINK-1700 - STARLINK-3594,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-3218,
       Rise,         Set, Duration (s),
       0.000,    2315.901,    2315.901,
    8132.537,   11653.401,    3520.863,
   14545.037,   31453.400,   16908.363,
   32896.600,   37303.401,    4406.800,
   39984.100,   45881.525,    5897.424,
   47704.412,   63895.588,   16191.176,
   74774.725,   86400.000,   11625.275,
Is_True,          70.4465%,
Analysis,STARLINK-1700 - STARLINK-1590,
       Rise,         Set, Duration (s),
   64352.182,   86400.000,   22047.818,
Is_True,          25.5183%,
Analysis,STARLINK-1700 - STARLINK-2237,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-1938,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-1967,
       Rise,         Set, Duration (s),
    1356.218,   11671.563,   10315.345,
   14872.155,   23389.513,    8517.358,
   26584.992,   37314.417,   10729.425,
   42309.920,   50826.587,    8516.667,
   55808.902,   62544.761,    6735.859,
   67953.843,   76470.182,    8516.339,
   81465.492,   86400.000,    4934.508,
Is_True,          67.4369%,
Analysis,STARLINK-1700 - STARLINK-2011,
       Rise,         Set, Duration (s),
    8979.993,   18296.223,    9316.230,
   75757.216,   83166.938,    7409.722,
Is_True,          19.3587%,
Analysis,STARLINK-1700 - STARLINK-2050,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-1246,
       Rise,         Set, Duration (s),
   86176.806,   86400.000,     223.194,
Is_True,           0.2583%,
Analysis,STARLINK-1700 - STARLINK-1992,
       Rise,         Set, Duration (s),
       0.000,    1325.348,    1325.348,
    4299.650,   13700.350,    9400.700,
   14649.762,   35300.239,   20650.477,
   37149.650,   41150.350,    4000.700,
   43449.763,   49021.832,    5572.069,
   54028.168,   69451.130,   15422.962,
   74548.870,   86326.019,   11777.149,
Is_True,          78.8766%,
Analysis,STARLINK-1700 - STARLINK-2294,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1700 - STARLINK-1614,
       Rise,         Set, Duration (s),
   61398.929,   86400.000,   25001.071,
Is_True,          28.9364%,
Analysis,STARLINK-1700 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
