
SOAP Analysis Report Output for starlink_100_sats_35.orb,
Generated: Mon Jan 09 15:33:44 2023,
Start: 1852/07/01 01:42:00.00, Stop: 1852/07/02 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1318 - STARLINK-1683,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2681,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1579,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2394,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1854,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1677,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3337,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1663,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1952,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1956,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2301,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2327,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3056,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1498,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2044,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2364,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2487,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1114,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2365,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1216,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3150,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1908,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3388,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1749,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1191,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2652,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1167,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1538,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3734,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3640,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1455,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1468,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3087,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2155,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3825,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2447,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3628,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1802,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1493,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3298,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1352,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1416,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2076,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3508,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3900,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3005,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2024,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3667,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1513,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3052,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2034,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1978,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2003,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3108,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3656,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3151,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3360,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3691,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2170,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2661,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2528,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1297,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2335,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3219,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3581,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3896,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3718,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3701,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3093,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1867,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1309,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-3336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1360,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2421,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-2009,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1318 - STARLINK-1357,
