
SOAP Analysis Report Output for starlink_100_sats_22.orb,
Generated: Mon Jan 09 15:18:15 2023,
Start: 1950/05/24 01:42:00.00, Stop: 1950/05/25 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3641 - STARLINK-2547,
       Rise,         Set, Duration (s),
       0.000,    3606.688,    3606.688,
   14127.554,   18081.685,    3954.131,
   28615.129,   32566.986,    3951.857,
   43089.497,   47041.957,    3952.460,
   57577.115,   61527.288,    3950.174,
   74954.313,   76002.233,    1047.920,
Is_True,          23.6843%,
Analysis,STARLINK-3641 - STARLINK-1712,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3641 - STARLINK-1434,
       Rise,         Set, Duration (s),
   10375.113,   17947.700,    7572.586,
   18618.941,   86400.000,   67781.059,
Is_True,          87.2149%,
Analysis,STARLINK-3641 - STARLINK-1613,
       Rise,         Set, Duration (s),
    3832.598,   17922.114,   14089.516,
   18295.893,   27379.141,    9083.248,
   30677.892,   44929.115,   14251.224,
   46877.892,   57522.113,   10644.221,
   63070.862,   86400.000,   23329.138,
Is_True,          82.6358%,
Analysis,STARLINK-3641 - STARLINK-1228,
       Rise,         Set, Duration (s),
       0.000,    2675.319,    2675.319,
   48063.161,   55160.432,    7097.271,
Is_True,          11.3109%,
Analysis,STARLINK-3641 - STARLINK-3889,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3641 - STARLINK-1648,
       Rise,         Set, Duration (s),
   18715.688,   31791.506,   13075.818,
   32627.701,   37030.733,    4403.032,
Is_True,          20.2301%,
Analysis,STARLINK-3641 - STARLINK-1110,
       Rise,         Set, Duration (s),
     225.213,   10348.028,   10122.816,
   12262.713,   20587.285,    8324.572,
   26775.211,   64237.293,   37462.083,
   65250.213,   75483.775,   10233.561,
   76276.966,   85721.272,    9444.307,
Is_True,          87.4853%,
Analysis,STARLINK-3641 - STARLINK-2162,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3641 - STARLINK-2484,
       Rise,         Set, Duration (s),
       0.000,   23160.303,   23160.303,
   29018.736,   38019.237,    9000.501,
   51455.161,   57388.241,    5933.080,
   66318.816,   86400.000,   20081.184,
Is_True,          67.3323%,
Analysis,STARLINK-3641 - STARLINK-1226,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3641 - STARLINK-3781,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3641 - STARLINK-2232,
       Rise,         Set, Duration (s),
    3536.707,    7375.214,    3838.507,
   20945.596,   21868.358,     922.762,
   35452.164,   36364.535,     912.370,
   49962.496,   50856.250,     893.754,
   64470.297,   65351.263,     880.965,
   78982.056,   79841.504,     859.448,
Is_True,           9.6155%,
Analysis,STARLINK-3641 - STARLINK-1299,
       Rise,         Set, Duration (s),
       0.000,    8377.593,    8377.593,
   17666.154,   24918.621,    7252.467,
   28916.153,   53887.387,   24971.234,
   58837.622,   74400.278,   15562.656,
   75884.906,   86400.000,   10515.094,
Is_True,          77.1748%,
Analysis,STARLINK-3641 - STARLINK-1326,
       Rise,         Set, Duration (s),
       0.000,   10400.389,   10400.389,
   15528.553,   24240.209,    8711.657,
   26834.815,   39425.386,   12590.571,
   41572.283,   45837.865,    4265.582,
   47534.783,   56637.905,    9103.122,
   58505.850,   74075.407,   15569.557,
   75605.871,   86400.000,   10794.129,
Is_True,          82.6794%,
Analysis,STARLINK-3641 - STARLINK-1015,
       Rise,         Set, Duration (s),
    3353.210,    4032.787,     679.577,
