
SOAP Analysis Report Output for starlink_100_sats_14.orb,
Generated: Mon Jan 09 15:09:11 2023,
Start: 1936/07/11 01:42:00.00, Stop: 1936/07/12 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3081 - STARLINK-1328,
       Rise,         Set, Duration (s),
       0.000,   16952.220,   16952.220,
   19420.450,   28743.612,    9323.162,
   36464.763,   48543.736,   12078.973,
   54675.028,   59164.412,    4489.384,
   63450.028,   75486.593,   12036.566,
Is_True,          63.5189%,
Analysis,STARLINK-3081 - STARLINK-1833,
       Rise,         Set, Duration (s),
    3608.913,   14273.314,   10664.401,
   14857.155,   35943.613,   21086.458,
   37800.028,   43140.207,    5340.179,
   59885.184,   65685.896,    5800.712,
   68875.310,   78514.329,    9639.019,
   83707.938,   86400.000,    2692.062,
Is_True,          63.9153%,
Analysis,STARLINK-3081 - STARLINK-1298,
       Rise,         Set, Duration (s),
       0.000,     384.823,     384.823,
   15152.605,   20685.800,    5533.195,
   22950.151,   43069.894,   20119.743,
   43976.981,   50396.319,    6419.339,
   63450.041,   75374.093,   11924.052,
   76064.969,   85263.423,    9198.454,
Is_True,          62.0134%,
Analysis,STARLINK-3081 - STARLINK-1926,
       Rise,         Set, Duration (s),
    2819.545,   10650.448,    7830.903,
   15138.405,   20629.550,    5491.145,
   22958.611,   86400.000,   63441.389,
Is_True,          88.8466%,
Analysis,STARLINK-3081 - STARLINK-1481,
       Rise,         Set, Duration (s),
     450.000,   16177.450,   15727.450,
   18703.386,   32259.553,   13556.167,
   32850.151,   39585.910,    6735.759,
   40064.104,   61874.972,   21810.868,
   65324.529,   81445.578,   16121.049,
   84607.938,   86400.000,    1792.062,
Is_True,          87.6659%,
Analysis,STARLINK-3081 - STARLINK-1283,
       Rise,         Set, Duration (s),
       0.000,    3150.000,    3150.000,
    8565.944,   25199.849,   16633.905,
   25200.151,   39571.847,   14371.696,
   39726.576,   46683.943,    6957.367,
   47253.557,   64610.115,   17356.558,
   67053.557,   86400.000,   19346.443,
Is_True,          90.0648%,
Analysis,STARLINK-3081 - STARLINK-1349,
       Rise,         Set, Duration (s),
   10012.514,   13441.841,    3429.327,
   16925.798,   27555.317,   10629.519,
   32850.151,   39555.134,    6704.983,
   40219.451,   65400.471,   25181.021,
   71976.297,   72375.265,     398.968,
   80160.672,   86230.343,    6069.671,
Is_True,          60.6638%,
Analysis,STARLINK-3081 - STARLINK-3052,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3081 - STARLINK-2006,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3081 - STARLINK-3296,
       Rise,         Set, Duration (s),
       0.000,   21543.626,   21543.626,
   23969.683,   26964.720,    2995.038,
   29334.513,   43041.769,   13707.257,
   43681.668,   57480.441,   13798.773,
   58141.434,   86400.000,   28258.566,
Is_True,          92.9436%,
Analysis,STARLINK-3081 - STARLINK-2571,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3081 - STARLINK-3721,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3081 - STARLINK-1368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3081 - STARLINK-1121,
       Rise,         Set, Duration (s),
       0.000,    2803.587,    2803.587,
   12229.253,   19439.950,    7210.697,
   22331.388,   43027.707,   20696.319,
   43976.981,   50340.207,    6363.226,
   64990.544,   71840.767,    6850.222,
   72574.077,   86400.000,   13825.923,
