
SOAP Analysis Report Output for starlink_100_sats_29.orb,
Generated: Mon Jan 09 15:25:57 2023,
Start: 1859/09/14 01:42:00.00, Stop: 1859/09/15 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1114 - STARLINK-1926,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-2434,
       Rise,         Set, Duration (s),
     769.293,    5534.619,    4765.326,
    8414.396,   13414.080,    4999.684,
   16294.216,   21056.940,    4762.724,
   23936.984,   44231.078,   20294.094,
   47342.186,   51653.184,    4310.998,
   54990.381,   59077.581,    4087.200,
   62871.364,   66728.632,    3857.268,
   70522.138,   74609.765,    4087.627,
   77946.259,   82258.509,    4312.250,
   85598.241,   86400.000,     801.759,
Is_True,          65.1376%,
Analysis,STARLINK-1114 - STARLINK-3708,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-2182,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-3792,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-3570,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-3415,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-3317,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-2253,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-1008,
       Rise,         Set, Duration (s),
    5949.801,   19238.784,   13288.983,
   38340.159,   48035.771,    9695.612,
   50942.400,   56133.520,    5191.121,
   67138.201,   85200.513,   18062.312,
Is_True,          53.5162%,
Analysis,STARLINK-1114 - STARLINK-3885,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-1091,
       Rise,         Set, Duration (s),
   68737.229,   78526.364,    9789.135,
   82545.144,   83213.279,     668.134,
Is_True,          12.1033%,
Analysis,STARLINK-1114 - STARLINK-3074,
       Rise,         Set, Duration (s),
       0.000,   21582.040,   21582.040,
   25233.455,   32141.547,    6908.092,
   32642.962,   39357.364,    6714.401,
   39858.780,   50157.368,   10298.589,
   54244.725,   70857.039,   16612.314,
   76744.720,   85257.364,    8512.644,
Is_True,          81.7455%,
Analysis,STARLINK-1114 - STARLINK-3797,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-3857,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - FALCON 9 DEB20,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1114 - STARLINK-2422,
       Rise,         Set, Duration (s),
   50260.764,   51082.818,     822.054,
Is_True,           0.9515%,
Analysis,STARLINK-1114 - STARLINK-3905,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-1085,
       Rise,         Set, Duration (s),
    2404.756,    8887.431,    6482.675,
   11770.381,   57425.908,   45655.526,
   61794.211,   71516.532,    9722.322,
   73861.593,   85199.345,   11337.752,
Is_True,          84.7202%,
Analysis,STARLINK-1114 - STARLINK-2078,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-2505,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1114 - STARLINK-2305,
