
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Analysis,STARLINK-3349 - STARLINK-3652,
       Rise,         Set, Duration (s),
       0.000,     352.940,     352.940,
Is_True,           0.4085%,
Analysis,STARLINK-3349 - STARLINK-2160,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3823,
       Rise,         Set, Duration (s),
   46601.428,   53338.621,    6737.193,
Is_True,           7.7977%,
Analysis,STARLINK-3349 - STARLINK-2111,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2296,
       Rise,         Set, Duration (s),
    7093.950,   10968.534,    3874.584,
   21413.349,   25280.827,    3867.477,
   35741.489,   39600.613,    3859.124,
   50061.511,   51053.062,     991.551,
   64390.367,   65364.372,     974.005,
   78711.014,   79683.220,     972.206,
Is_True,          16.8275%,
Analysis,STARLINK-3349 - STARLINK-2008,
       Rise,         Set, Duration (s),
       0.000,    3805.322,    3805.322,
   14273.206,   18112.821,    3839.615,
   28604.878,   32430.177,    3825.299,
   42926.541,   43879.680,     953.139,
   57259.153,   58185.847,     926.695,
   71581.492,   72502.303,     920.811,
   85915.109,   86400.000,     484.891,
Is_True,          17.0784%,
Analysis,STARLINK-3349 - STARLINK-1398,
       Rise,         Set, Duration (s),
   39535.626,   40127.964,     592.338,
   53833.020,   54469.517,     636.497,
   68144.718,   68797.629,     652.911,
   82444.265,   83137.024,     692.759,
Is_True,           2.9798%,
Analysis,STARLINK-3349 - STARLINK-2453,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1184,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3048,
       Rise,         Set, Duration (s),
   25169.893,   25785.978,     616.085,
   39509.013,   40198.550,     689.538,
   53848.333,   54610.225,     761.892,
   68199.524,   69010.358,     810.834,
   82549.766,   83410.991,     861.225,
Is_True,           4.3282%,
Analysis,STARLINK-3349 - STARLINK-3863,
       Rise,         Set, Duration (s),
    3320.031,    4211.862,     891.830,
   11433.129,   21317.908,    9884.780,
   28383.944,   29484.910,    1100.966,
Is_True,          13.7472%,
Analysis,STARLINK-3349 - STARLINK-2037,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3226,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3361,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3366,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1441,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1076,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2161,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3046,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1966,
       Rise,         Set, Duration (s),
       0.000,     642.991,     642.991,
   13892.346,   14971.099,    1078.753,
   28213.714,   29289.608,    1075.895,
   42525.437,   43616.947,    1091.509,
   51120.659,   57934.681,    6814.022,
   68301.500,   72261.266,    3959.766,
   82614.283,   86400.000,    3785.717,
Is_True,          21.3526%,
Analysis,STARLINK-3349 - STARLINK-2076,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1244,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2485,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3196,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
