
SOAP Analysis Report Output for starlink_100_sats_26.orb,
Generated: Thu Dec 15 22:59:31 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1008 - STARLINK-3181,
       Rise,         Set, Duration (s),
    3103.165,    4264.965,    1161.800,
   17426.154,   18594.624,    1168.470,
   31765.733,   32909.167,    1143.434,
   46088.826,   47238.446,    1149.620,
   54696.085,   61552.356,    6856.271,
   71894.038,   75881.242,    3987.203,
   86217.299,   86400.000,     182.701,
Is_True,          18.1128%,
Analysis,STARLINK-1008 - STARLINK-3111,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2152,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-3136,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2361,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2749,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2061,
       Rise,         Set, Duration (s),
       0.000,     246.704,     246.704,
   10669.194,   14569.391,    3900.197,
   25009.511,   28907.570,    3898.059,
   39332.410,   43230.226,    3897.816,
   53672.749,   54694.566,    1021.816,
   67995.600,   69032.812,    1037.211,
   82335.960,   83355.426,    1019.466,
Is_True,          17.3857%,
Analysis,STARLINK-1008 - STARLINK-1543,
       Rise,         Set, Duration (s),
       0.000,     388.629,     388.629,
   10763.192,   14706.079,    3942.887,
   25110.896,   29051.569,    3940.673,
   39426.346,   43368.956,    3942.610,
   53774.068,   57714.481,    3940.412,
   68089.471,   72031.806,    3942.335,
   82437.210,   83496.938,    1059.728,
Is_True,          24.4876%,
Analysis,STARLINK-1008 - STARLINK-2711,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2499,
       Rise,         Set, Duration (s),
   10222.345,   11041.598,     819.253,
   24552.177,   25373.705,     821.528,
   38884.115,   39704.154,     820.039,
   50348.824,   54036.259,    3687.435,
   64678.648,   65501.276,     822.628,
   79010.596,   79831.701,     821.105,
Is_True,           9.0185%,
Analysis,STARLINK-1008 - FALCON 9 DEB9,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-1180,
       Rise,         Set, Duration (s),
    2958.064,   10212.475,    7254.411,
   17280.116,   24551.158,    7271.042,
   25888.310,   38874.494,   12986.184,
   40210.337,   47480.798,    7270.460,
   54551.100,   61804.104,    7253.004,
   68873.096,   76142.840,    7269.744,
   83213.870,   86400.000,    3186.130,
Is_True,          60.7534%,
Analysis,STARLINK-1008 - STARLINK-1124,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2344,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-3905,
       Rise,         Set, Duration (s),
       0.000,     360.233,     360.233,
   53951.449,   54810.858,     859.409,
Is_True,           1.4116%,
Analysis,STARLINK-1008 - STARLINK-2385,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1008 - STARLINK-2244,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1008 - STARLINK-2517,
       Rise,         Set, Duration (s),
       0.000,    6509.065,    6509.065,
   13955.222,   15100.711,    1145.489,
