
SOAP Analysis Report Output for starlink_100_sats_21.orb,
Generated: Thu Dec 15 22:54:00 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1503 - STARLINK-3713,
       Rise,         Set, Duration (s),
   82513.509,   82959.438,     445.929,
Is_True,           0.5161%,
Analysis,STARLINK-1503 - STARLINK-3365,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1695,
       Rise,         Set, Duration (s),
    3267.961,    7215.259,    3947.298,
   17604.015,   18680.072,    1076.057,
   31929.706,   33015.944,    1086.237,
   46265.779,   47342.100,    1076.322,
   60591.454,   61677.988,    1086.534,
   74927.545,   76004.122,    1076.577,
   83520.854,   86400.000,    2879.146,
Is_True,          14.1530%,
Analysis,STARLINK-1503 - STARLINK-2341,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-3529,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2413,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1256,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1608,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1683,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1891,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2498,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2615,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2216,
       Rise,         Set, Duration (s),
       0.000,   35756.335,   35756.335,
   36078.895,   43395.729,    7316.833,
Is_True,          49.8532%,
Analysis,STARLINK-1503 - STARLINK-1712,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2036,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1501,
       Rise,         Set, Duration (s),
   10465.038,   11044.367,     579.329,
   21559.855,   22357.852,     797.997,
   35581.237,   36344.260,     763.023,
Is_True,           2.4773%,
Analysis,STARLINK-1503 - STARLINK-1222,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1262,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1036,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1510,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2010,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-3238,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1597,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-1513,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1503 - STARLINK-2611,
       Rise,         Set, Duration (s),
    3008.406,    3937.206,     928.800,
   17345.251,   18261.446,     916.195,
   31670.545,   32597.364,     926.818,
   43135.400,   46921.586,    3786.186,
   57472.280,   61257.546,    3785.266,
   71797.534,   72721.626,     924.092,
   86134.439,   86400.000,     265.561,
Is_True,          13.3483%,
Analysis,STARLINK-1503 - STARLINK-3580,
       Rise,         Set, Duration (s),
    3009.294,    4066.912,    1057.618,
   14386.277,   15157.910,     771.633,
Is_True,           2.1172%,
Analysis,STARLINK-1503 - STARLINK-1565,
       Rise,         Set, Duration (s),
       0.000,     154.654,     154.654,
   14045.901,   14498.911,     453.011,
   28389.195,   28817.811,     428.616,
Is_True,           1.1994%,
