
SOAP Analysis Report Output for starlink_60_sats_26.orb,
Generated: Mon Jan 09 13:53:49 2023,
Start: 1968/03/24 01:42:00.00, Stop: 1968/03/25 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1618 - STARLINK-1804,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2756,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3541,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3196,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - FALCON 9 DEB5,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1971,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1098,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1635,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2493,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1443,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3160,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1740,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3306,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2608,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2580,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3279,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2672,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2175,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2184,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1507,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2181,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2288,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2425,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1143,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1494,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2010,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1926,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3068,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3310,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1666,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1738,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1397,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1394,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1905,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2483,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1636,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2370,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1978,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1338,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2140,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2337,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1669,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2441,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2031,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3047,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2167,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1574,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2519,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1814,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1060,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-3716,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2450,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1276,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1540,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2105,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2692,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-1355,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2358,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - STARLINK-2585,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1618 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2756,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-3541,
       Rise,         Set, Duration (s),
       0.000,    3599.963,    3599.963,
    3628.361,    8971.640,    5343.279,
   10828.163,   28320.750,   17492.587,
   28828.363,   39571.640,   10743.277,
   43678.361,   54421.652,   10743.291,
   58079.251,   65559.144,    7479.893,
   70340.852,   75009.137,    4668.285,
   76500.221,   86400.000,    9899.779,
Is_True,          80.9842%,
Analysis,STARLINK-1804 - STARLINK-3196,
       Rise,         Set, Duration (s),
       0.000,    6742.691,    6742.691,
    7428.577,   24964.305,   17535.728,
   25652.208,   40262.832,   14610.624,
   44556.038,   50159.968,    5603.930,
   50637.231,   68381.712,   17744.481,
   72005.031,   86400.000,   14394.969,
Is_True,          88.6949%,
Analysis,STARLINK-1804 - FALCON 9 DEB5,
       Rise,         Set, Duration (s),
       0.000,    3285.487,    3285.487,
    3886.157,   32085.489,   28199.332,
   32461.386,   43125.888,   10664.502,
   50446.435,   61110.271,   10663.836,
   62118.305,   71983.479,    9865.174,
   75689.065,   86400.000,   10710.935,
Is_True,          84.9413%,
Analysis,STARLINK-1804 - STARLINK-1971,
       Rise,         Set, Duration (s),
    3485.976,    3984.887,     498.912,
   64293.316,   64894.911,     601.595,
   75325.601,   75960.456,     634.855,
Is_True,           2.0085%,
Analysis,STARLINK-1804 - STARLINK-1098,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1635,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1804 - STARLINK-2493,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1443,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-3160,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1740,
       Rise,         Set, Duration (s),
   78777.225,   79209.229,     432.005,
Is_True,           0.5000%,
Analysis,STARLINK-1804 - STARLINK-3306,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2608,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2580,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-3279,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2672,
       Rise,         Set, Duration (s),
   50047.898,   50526.740,     478.842,
Is_True,           0.5542%,
Analysis,STARLINK-1804 - STARLINK-2175,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2184,
       Rise,         Set, Duration (s),
    3319.478,    4166.499,     847.021,
   17706.665,   18290.672,     584.007,
Is_True,           1.6563%,
Analysis,STARLINK-1804 - STARLINK-1507,
       Rise,         Set, Duration (s),
   53445.346,   54045.410,     600.065,
   67895.846,   68548.958,     653.112,
   82354.025,   83045.314,     691.289,
Is_True,           2.2505%,
Analysis,STARLINK-1804 - STARLINK-2181,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2288,
       Rise,         Set, Duration (s),
    6616.032,    7258.299,     642.268,
Is_True,           0.7434%,
Analysis,STARLINK-1804 - STARLINK-2425,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1143,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1494,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-2010,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1804 - STARLINK-1926,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-3068,
       Rise,         Set, Duration (s),
       0.000,   10736.248,   10736.248,
   11278.140,   35683.134,   24404.994,
   36288.763,   57536.251,   21247.488,
   61228.135,   67239.371,    6011.236,
   70516.875,   86400.000,   15883.125,
Is_True,          90.6054%,
Analysis,STARLINK-1804 - STARLINK-3310,
       Rise,         Set, Duration (s),
       0.000,     469.289,     469.289,
    4171.365,   24037.998,   19866.633,
   27233.868,   34841.596,    7607.728,
   36121.373,   49884.916,   13763.543,
   51138.370,   62711.616,   11573.247,
   65174.494,   86400.000,   21225.506,
Is_True,          86.2337%,
Analysis,STARLINK-1804 - STARLINK-1666,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1804 - STARLINK-1738,
       Rise,         Set, Duration (s),
       0.000,      81.833,      81.833,
Is_True,           0.0947%,
Analysis,STARLINK-1804 - STARLINK-1397,
       Rise,         Set, Duration (s),
