
SOAP Analysis Report Output for starlink_60_sats_37.orb,
Generated: Mon Jan 09 13:56:34 2023,
Start: 1873/05/29 01:42:00.00, Stop: 1873/05/30 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2517 - STARLINK-3156,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-1036,
       Rise,         Set, Duration (s),
    6459.842,    7442.011,     982.169,
   17316.466,   18267.288,     950.823,
Is_True,           2.2373%,
Analysis,STARLINK-2517 - STARLINK-3237,
       Rise,         Set, Duration (s),
    7427.947,   13890.989,    6463.042,
   22165.306,   50174.041,   28008.735,
   54825.775,   82122.053,   27296.278,
Is_True,          71.4908%,
Analysis,STARLINK-2517 - STARLINK-1653,
       Rise,         Set, Duration (s),
    8942.717,   14170.972,    5228.255,
   18231.438,   23468.211,    5236.773,
   34093.511,   37977.008,    3883.497,
   46546.258,   48619.899,    2073.641,
   59248.581,   63130.331,    3881.750,
   74869.941,   78946.861,    4076.920,
   84400.214,   86400.000,    1999.786,
Is_True,          30.5331%,
Analysis,STARLINK-2517 - STARLINK-1521,
       Rise,         Set, Duration (s),
       0.000,   46653.892,   46653.892,
Is_True,          53.9976%,
Analysis,STARLINK-2517 - STARLINK-3138,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-61,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2517 - STARLINK-2703,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-2123,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-1338,
       Rise,         Set, Duration (s),
       0.000,    2623.983,    2623.983,
    5924.915,   14324.605,    8399.689,
   17399.202,   27599.055,   10199.853,
   31125.988,   39299.754,    8173.766,
   42374.887,   64049.693,   21674.806,
   67350.869,   75524.783,    8173.915,
   76503.920,   86400.000,    9896.080,
Is_True,          80.0256%,
Analysis,STARLINK-2517 - STARLINK-2588,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-2314,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-2332,
       Rise,         Set, Duration (s),
    2004.251,    5206.722,    3202.472,
    7832.442,   24562.240,   16729.798,
   27184.526,   30387.428,    3202.902,
   33012.671,   49744.012,   16731.341,
   52365.226,   55568.783,    3203.557,
   58715.721,   74926.834,   16211.112,
   78069.214,   81270.242,    3201.028,
   83896.883,   86400.000,    2503.117,
Is_True,          75.2145%,
Analysis,STARLINK-2517 - STARLINK-1533,
       Rise,         Set, Duration (s),
       0.000,    6823.751,    6823.751,
    8220.328,   15937.308,    7716.980,
   18155.445,   26850.887,    8695.442,
   28942.808,   34728.891,    5786.082,
   38183.990,   45648.008,    7464.019,
   48973.898,   71622.368,   22648.470,
   75077.947,   80738.052,    5660.105,
   82955.818,   86400.000,    3444.182,
Is_True,          78.9804%,
Analysis,STARLINK-2517 - STARLINK-3653,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2517 - STARLINK-1511,
       Rise,         Set, Duration (s),
       0.000,    1824.652,    1824.652,
    5369.796,   12683.320,    7313.524,
   17003.809,   18114.243,    1110.434,
   27866.631,   29751.034,    1884.403,
   39500.358,   40611.454,    1111.096,
   44932.490,   52249.123,    7316.633,
   55009.743,   57678.655,    2668.912,
   67429.723,   69319.102,    1889.380,
