
SOAP Analysis Report Output for starlink_60_sats_30.orb,
Generated: Mon Jan 09 13:55:00 2023,
Start: 1804/08/28 01:42:00.00, Stop: 1804/08/29 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1230 - STARLINK-2319,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-3613,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-2505,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-1302,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-1874,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-3174,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-1975,
       Rise,         Set, Duration (s),
     894.234,    3653.762,    2759.528,
   43046.994,   45906.164,    2859.170,
   64730.074,   64974.066,     243.992,
Is_True,           6.7855%,
Analysis,STARLINK-1230 - STARLINK-3549,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-3316,
       Rise,         Set, Duration (s),
       0.000,    3571.875,    3571.875,
    7286.142,   78172.989,   70886.847,
   81619.728,   86400.000,    4780.272,
Is_True,          91.7118%,
Analysis,STARLINK-1230 - STARLINK-61,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1230 - STARLINK-2410,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-1104,
       Rise,         Set, Duration (s),
       0.000,    2909.616,    2909.616,
    6315.382,   10278.366,    3962.984,
   11209.352,   17309.399,    6100.047,
   20434.133,   26253.367,    5819.235,
   31346.634,   40821.899,    9475.264,
   47490.384,   75584.616,   28094.232,
   82815.383,   86400.000,    3584.617,
Is_True,          69.3819%,
Analysis,STARLINK-1230 - STARLINK-3059,
       Rise,         Set, Duration (s),
       0.000,    1101.871,    1101.871,
    5922.348,    8252.652,    2330.304,
   12898.282,   20626.718,    7728.437,
   21680.313,   39407.187,   17726.874,
   46816.098,   61513.437,   14697.339,
   66490.469,   74303.281,    7812.811,
   75940.469,   82740.781,    6800.311,
   84377.969,   86400.000,    2022.031,
Is_True,          69.6990%,
Analysis,STARLINK-1230 - STARLINK-2672,
       Rise,         Set, Duration (s),
       0.000,   14285.930,   14285.930,
   21938.082,   49949.176,   28011.094,
   57600.230,   82791.136,   25190.906,
Is_True,          78.1110%,
Analysis,STARLINK-1230 - STARLINK-1718,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-2757,
       Rise,         Set, Duration (s),
       0.000,    9634.858,    9634.858,
   10945.977,   17727.301,    6781.324,
   19041.394,   52967.954,   33926.559,
   54902.327,   61067.875,    6165.547,
   62371.535,   86400.000,   24028.465,
Is_True,          93.2138%,
Analysis,STARLINK-1230 - STARLINK-3615,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1230 - STARLINK-1421,
       Rise,         Set, Duration (s),
    6759.448,   13714.469,    6955.021,
   15084.656,   24739.660,    9655.004,
   31509.424,   32838.989,    1329.565,
   42534.566,   43864.286,    1329.720,
   53334.054,   54889.667,    1555.613,
   64359.415,   71314.816,    6955.401,
   72684.856,   82114.378,    9429.522,
Is_True,          43.0670%,
Analysis,STARLINK-1230 - STARLINK-2722,
