
SOAP Analysis Report Output for starlink_60_sats_32.orb,
Generated: Mon Jan 09 13:55:27 2023,
Start: 1845/03/15 01:42:00.00, Stop: 1845/03/16 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1513 - STARLINK-3299,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1513 - STARLINK-3661,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-1605,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-1561,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1513 - STARLINK-1480,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1513 - STARLINK-1276,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-3776,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-1505,
       Rise,         Set, Duration (s),
    4694.473,    7810.160,    3115.688,
   11435.063,   17814.758,    6379.694,
   18715.544,   24549.247,    5833.703,
   28137.468,   31257.435,    3119.967,
   34880.439,   40707.057,    5826.619,
   44383.782,   47463.541,    3079.758,
   51038.223,   56888.994,    5850.772,
   57789.540,   64152.196,    6362.656,
   67212.294,   70907.498,    3695.205,
   76735.741,   80333.635,    3597.895,
   83460.158,   86400.000,    2939.842,
Is_True,          57.6410%,
Analysis,STARLINK-1513 - STARLINK-2387,
       Rise,         Set, Duration (s),
       0.000,    3404.410,    3404.410,
    4141.573,    7905.626,    3764.052,
   11407.863,   22788.476,   11380.612,
   26292.292,   34899.927,    8607.635,
   38403.955,   49783.083,   11379.128,
   53285.229,   57054.686,    3769.456,
   57787.417,   64147.393,    6359.976,
   67650.377,   71408.131,    3757.754,
   72149.024,   79033.310,    6884.286,
   79769.300,   83535.695,    3766.396,
Is_True,          73.0020%,
Analysis,STARLINK-1513 - STARLINK-1748,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-3769,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-3047,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-2441,
       Rise,         Set, Duration (s),
       0.000,    3012.679,    3012.679,
    5998.998,   10200.927,    4201.929,
   13193.846,   17370.289,    4176.443,
   20925.348,   24562.715,    3637.367,
   28096.273,   31728.741,    3632.469,
   32525.191,   38926.216,    6401.024,
   40238.624,   43897.259,    3658.635,
   47443.678,   51609.672,    4165.994,
   54600.878,   58814.308,    4213.430,
   61804.378,   65970.508,    4166.131,
   69515.142,   86400.000,   16884.858,
Is_True,          67.3043%,
Analysis,STARLINK-1513 - STARLINK-2156,
       Rise,         Set, Duration (s),
       0.000,    2935.801,    2935.801,
    6545.469,   10179.767,    3634.299,
   13231.624,   16864.129,    3632.504,
   20474.374,   26336.650,    5862.276,
   29945.466,   33578.107,    3632.641,
   36631.040,   40263.659,    3632.618,
   43873.875,   49735.339,    5861.464,
   53344.323,   56978.171,    3633.848,
   60031.420,   63665.170,    3633.750,
   67274.341,   73135.891,    5861.550,
   76746.040,   80378.866,    3632.826,
   83432.019,   86400.000,    2967.981,
Is_True,          56.6222%,
Analysis,STARLINK-1513 - STARLINK-2014,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
