
SOAP Analysis Report Output for starlink_60_sats_44.orb,
Generated: Mon Jan 09 13:58:50 2023,
Start: 1960/08/15 01:42:00.00, Stop: 1960/08/16 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2129 - STARLINK-1462,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2129 - STARLINK-2558,
       Rise,         Set, Duration (s),
    4519.143,   48904.794,   44385.650,
   50418.207,   57565.103,    7146.896,
   62110.878,   71999.978,    9889.100,
   73801.948,   86400.000,   12598.052,
Is_True,          85.6709%,
Analysis,STARLINK-2129 - STARLINK-1888,
       Rise,         Set, Duration (s),
       0.000,   27434.004,   27434.004,
   29250.555,   39127.919,    9877.364,
   40511.531,   50385.810,    9874.279,
   52205.006,   85033.373,   32828.367,
Is_True,          92.6088%,
Analysis,STARLINK-2129 - STARLINK-1660,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2129 - STARLINK-1070,
       Rise,         Set, Duration (s),
       0.000,    2665.124,    2665.124,
    7239.278,   13914.966,    6675.688,
   18047.118,   24726.605,    6679.488,
   29298.159,   35974.301,    6676.142,
   37810.289,   86400.000,   48589.711,
Is_True,          82.5071%,
Analysis,STARLINK-2129 - STARLINK-3104,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2129 - STARLINK-2153,
       Rise,         Set, Duration (s),
       0.000,   64659.373,   64659.373,
   66753.768,   72433.265,    5679.497,
   76975.435,   82668.279,    5692.844,
Is_True,          87.9997%,
Analysis,STARLINK-2129 - STARLINK-2541,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2129 - STARLINK-3565,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2129 - STARLINK-2215,
       Rise,         Set, Duration (s),
       0.000,   16637.889,   16637.889,
   21605.918,   28327.648,    6721.730,
   32875.756,   43050.655,   10174.899,
   44569.043,   77700.531,   33131.488,
   79217.178,   86400.000,    7182.822,
Is_True,          85.4732%,
Analysis,STARLINK-2129 - STARLINK-1640,
       Rise,         Set, Duration (s),
       0.000,   23393.931,   23393.931,
   25224.501,   35087.421,    9862.920,
   36919.336,   46781.999,    9862.663,
   48614.053,   69737.886,   21123.833,
   72000.063,   81429.041,    9428.978,
   83260.485,   86400.000,    3139.515,
Is_True,          88.9026%,
Analysis,STARLINK-2129 - STARLINK-1558,
       Rise,         Set, Duration (s),
      37.591,    9438.231,    9400.639,
   11733.049,   21135.313,    9402.264,
   23428.770,   56225.036,   32796.266,
   58070.185,   67475.077,    9404.893,
   69766.819,   79172.351,    9405.532,
   81463.546,   86400.000,    4936.454,
Is_True,          87.2061%,
Analysis,STARLINK-2129 - STARLINK-3297,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2129 - STARLINK-3630,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2129 - STARLINK-2340,
       Rise,         Set, Duration (s),
       0.000,    2651.795,    2651.795,
    6802.393,   13010.047,    6207.654,
   15336.925,   23364.529,    8027.604,
   25686.449,   31891.070,    6204.622,
   36043.196,   42250.806,    6207.610,
   46402.843,   52608.691,    6205.848,
   54932.919,   62961.395,    8028.476,
   65286.433,   71492.680,    6206.247,
   75645.245,   81852.688,    6207.443,
   86006.106,   86400.000,     393.894,
Is_True,          65.2097%,
Analysis,STARLINK-2129 - STARLINK-2283,
