
SOAP Analysis Report Output for starlink_60_sats_4.orb,
Generated: Mon Jan 09 13:47:05 2023,
Start: 1971/06/02 01:42:00.00, Stop: 1971/06/03 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1525 - STARLINK-3278,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3262,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3185,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3627,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2326,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3513,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3561,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1906,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3666,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1680,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1195,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3859,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - FALCON 9 DEB19,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2278,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2323,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1631,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2569,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1534,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2409,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1736,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2613,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1576,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1918,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1530,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3918,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1850,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3847,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2377,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1924,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2005,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3633,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3091,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2361,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2598,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2218,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3198,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1649,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2045,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1790,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1665,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3745,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1069,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3896,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2068,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1899,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2011,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3389,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-3507,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2708,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2322,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2725,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1422,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1558,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2347,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1337,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1606,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-1233,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - STARLINK-2652,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1525 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-3262,
       Rise,         Set, Duration (s),
       0.000,   28665.560,   28665.560,
   29587.729,   38699.431,    9111.702,
   42209.418,   53865.579,   11656.161,
   54562.706,   58386.657,    3823.951,
   61896.931,   72781.320,   10884.388,
   76056.144,   86400.000,   10343.856,
Is_True,          86.2102%,
Analysis,STARLINK-3278 - STARLINK-3185,
       Rise,         Set, Duration (s),
     477.398,    4585.139,    4107.741,
   13639.926,   17522.589,    3882.663,
   18702.359,   22585.067,    3882.708,
   31302.412,   35072.611,    3770.200,
   38614.888,   42385.127,    3770.238,
   45814.851,   49585.167,    3770.316,
   53014.934,   56560.108,    3545.174,
   62239.824,   65785.073,    3545.249,
   69102.363,   74897.646,    5795.283,
   78102.340,   83785.154,    5682.814,
Is_True,          48.3245%,
Analysis,STARLINK-3278 - STARLINK-3627,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-2326,
       Rise,         Set, Duration (s),
       0.000,     561.780,     561.780,
   10243.665,   17324.750,    7081.085,
   18118.693,   35999.196,   17880.503,
   36337.535,   40606.332,    4268.798,
   44325.874,   60406.315,   16080.441,
   63906.156,   74806.338,   10900.182,
   78081.155,   86400.000,    8318.845,
Is_True,          75.3375%,
Analysis,STARLINK-3278 - STARLINK-1543,
       Rise,         Set, Duration (s),
       0.000,     760.199,     760.199,
    9927.317,   14035.232,    4107.915,
   15102.265,   24272.693,    9170.428,
   27927.310,   31810.188,    3882.878,
   32877.255,   36760.183,    3882.928,
   40302.294,   44190.530,    3888.236,
   47502.240,   51385.270,    3883.030,
   54702.294,   58478.017,    3775.723,
   61671.976,   67697.731,    6025.755,
   70902.248,   76810.248,    5908.000,
   79896.964,   85697.729,    5800.765,
Is_True,          59.1272%,
Analysis,STARLINK-3278 - STARLINK-3513,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-3561,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3278 - STARLINK-1906,
       Rise,         Set, Duration (s),
       0.000,   24840.562,   24840.562,
   25875.648,   35211.819,    9336.170,
   36246.922,   50378.065,   14131.143,
   51188.019,   55124.127,    3936.108,
   58506.167,   69631.334,   11125.167,
   72906.167,   85836.805,   12930.638,
Is_True,          88.3099%,
Analysis,STARLINK-3278 - STARLINK-3666,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-1680,
       Rise,         Set, Duration (s),
    2475.431,    6835.150,    4359.719,
    7650.192,   24835.122,   17184.930,
   25537.670,   29785.154,    4247.484,
   33187.858,   36872.633,    3684.775,
   48064.844,   51412.036,    3347.192,
   54589.814,   67472.633,   12882.819,
   73377.349,   85360.166,   11982.817,
Is_True,          66.7705%,
Analysis,STARLINK-3278 - STARLINK-1195,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3278 - STARLINK-3859,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - FALCON 9 DEB19,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3278 - STARLINK-2278,
       Rise,         Set, Duration (s),
       0.000,   33181.353,   33181.353,
   41743.657,   53656.325,   11912.668,
   57263.155,   82343.809,   25080.654,
   85613.316,   86400.000,     786.684,
Is_True,          82.1312%,
Analysis,STARLINK-3278 - STARLINK-2323,
       Rise,         Set, Duration (s),
    3488.187,    7311.764,    3823.578,
   16993.657,   21037.262,    4043.605,
   22071.915,   44078.076,   22006.161,
   47925.684,   65699.118,   17773.435,
   69321.936,   79756.306,   10434.370,
   83143.683,   86400.000,    3256.317,
Is_True,          70.9924%,
Analysis,STARLINK-3278 - STARLINK-1631,
       Rise,         Set, Duration (s),
       0.000,    3240.528,    3240.528,
    4184.465,   13810.252,    9625.787,
   14759.458,   18985.224,    4225.767,
   22521.941,   31697.739,    9175.798,
   35239.745,   39122.759,    3883.014,
   40189.748,   44078.079,    3888.331,
   47502.299,   51272.757,    3770.458,
   54589.739,   60722.706,    6132.967,
   61671.958,   67703.023,    6031.064,
   70896.973,   76928.039,    6031.066,
   80009.470,   85815.568,    5806.097,
Is_True,          71.5404%,
Analysis,STARLINK-3278 - STARLINK-2569,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3278 - STARLINK-1534,
       Rise,         Set, Duration (s),
       0.000,   21374.127,   21374.127,
   21937.604,   31612.047,    9674.443,
   32743.643,   49611.635,   16867.992,
   53218.638,   64568.864,   11350.225,
   65475.309,   78749.123,   13273.814,
   82018.688,   86400.000,    4381.312,
Is_True,          89.0300%,
Analysis,STARLINK-3278 - STARLINK-2409,
       Rise,         Set, Duration (s),
       0.000,   29790.570,   29790.570,
   33300.481,   42299.534,    8999.054,
   45568.670,   57143.812,   11575.142,
   60525.837,   64349.840,    3824.003,
   64918.637,   71661.633,    6742.996,
   74700.605,   86400.000,   11699.395,
Is_True,          84.0638%,
Analysis,STARLINK-3278 - STARLINK-1736,
       Rise,         Set, Duration (s),
     471.933,   10440.573,    9968.640,
   11368.645,   21128.045,    9759.400,
   22056.142,   31606.295,    9550.153,
   35121.939,   39256.303,    4134.364,
   40184.432,   44318.847,    4134.415,
   47593.657,   73231.315,   25637.659,
   76409.449,   80206.347,    3796.898,
   83256.196,   86400.000,    3143.804,
Is_True,          81.1636%,
Analysis,STARLINK-3278 - STARLINK-2613,
       Rise,         Set, Duration (s),
       0.000,   10349.298,   10349.298,
   11025.850,   21261.680,   10235.830,
   21938.266,   31718.861,    9780.595,
   32625.834,   36899.143,    4273.309,
   40275.852,   49724.112,    9448.260,
   52988.319,   57149.226,    4160.906,
   57943.671,   64574.208,    6630.537,
   65138.238,   71661.719,    6523.481,
   72456.193,   78743.862,    6287.669,
   81788.309,   85724.242,    3935.932,
Is_True,          82.9003%,
Analysis,STARLINK-3278 - STARLINK-1576,
       Rise,         Set, Duration (s),
     118.683,   10461.704,   10343.022,
   11256.147,   21256.329,   10000.182,
   22050.789,   31831.366,    9780.576,
   32743.636,   37011.624,    4267.988,
   40388.380,   49718.835,    9330.455,
   52988.320,   57149.140,    4160.820,
   57943.636,   64456.333,    6512.698,
   65250.895,   71661.665,    6410.770,
   72456.188,   78749.123,    6292.936,
   81788.361,   85724.218,    3935.857,
Is_True,          82.2168%,
Analysis,STARLINK-3278 - STARLINK-1918,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-1530,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-3918,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-1850,
       Rise,         Set, Duration (s),
       0.000,    3368.855,    3368.855,
    4275.892,   17211.613,   12935.722,
   18118.639,   27899.111,    9780.472,
   31393.635,   35774.104,    4380.469,
   36563.356,   46011.608,    9448.252,
   49393.669,   53549.156,    4155.487,
   54343.665,   60974.151,    6630.486,
   61650.810,   65693.837,    4043.026,
   68968.685,   75256.308,    6287.623,
   76050.841,   82349.153,    6298.312,
   83025.857,   86400.000,    3374.143,
Is_True,          81.8320%,
Analysis,STARLINK-3278 - STARLINK-3847,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3278 - STARLINK-2377,
       Rise,         Set, Duration (s),
       0.000,    6862.130,    6862.130,
    7784.455,   17774.863,    9990.408,
   18231.161,   35881.343,   17650.181,
   36337.640,   40590.565,    4252.925,
   44213.319,   62528.076,   18314.757,
   65931.138,   76703.076,   10771.939,
   82146.962,   86400.000,    4253.038,
Is_True,          83.4437%,
Analysis,STARLINK-3278 - STARLINK-1924,
       Rise,         Set, Duration (s),
     456.166,   10681.345,   10225.179,
   11593.643,   18899.105,    7305.462,
   22388.359,   32174.130,    9785.772,
   32963.383,   42406.325,    9442.942,
   45793.643,   49943.805,    4150.162,
   50856.189,   54893.797,    4037.608,
   58163.356,   62324.126,    4160.770,
   65475.888,   69524.113,    4048.224,
   72681.172,   76606.356,    3925.184,
