
SOAP Analysis Report Output for starlink_60_sats_19.orb,
Generated: Mon Jan 09 13:51:28 2023,
Start: 1899/10/12 01:42:00.00, Stop: 1899/10/13 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1267 - STARLINK-1790,
       Rise,         Set, Duration (s),
   38911.819,   46307.485,    7395.666,
Is_True,           8.5598%,
Analysis,STARLINK-1267 - STARLINK-2233,
       Rise,         Set, Duration (s),
       0.000,   21100.381,   21100.381,
   23888.440,   28290.749,    4402.309,
   33337.873,   39537.622,    6199.749,
   39692.415,   46728.089,    7035.675,
   49870.385,   62094.687,   12224.302,
   67098.826,   71501.234,    4402.408,
   74290.662,   78691.122,    4400.460,
   83259.749,   86400.000,    3140.251,
Is_True,          72.8073%,
Analysis,STARLINK-1267 - STARLINK-2002,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-1530,
       Rise,         Set, Duration (s),
       0.000,     525.100,     525.100,
    4108.183,   14341.402,   10233.219,
   14867.987,   24366.698,    9498.711,
   25257.882,   35491.487,   10233.606,
   36016.916,   42829.352,    6812.437,
   43719.908,   53953.546,   10233.638,
   54478.801,   63982.149,    9503.348,
   64872.587,   75106.591,   10234.004,
   75631.682,   86400.000,   10768.318,
Is_True,          90.3268%,
Analysis,STARLINK-1267 - STARLINK-2190,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-1623,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-2030,
       Rise,         Set, Duration (s),
   26124.709,   38688.003,   12563.293,
Is_True,          14.5408%,
Analysis,STARLINK-1267 - STARLINK-3870,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-1292,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-1233,
       Rise,         Set, Duration (s),
       0.000,    4404.214,    4404.214,
   17869.486,   36354.776,   18485.290,
   49820.536,   68079.814,   18259.278,
   81319.461,   86400.000,    5080.539,
Is_True,          53.5062%,
Analysis,STARLINK-1267 - STARLINK-3145,
       Rise,         Set, Duration (s),
       0.000,   12522.292,   12522.292,
   14470.598,   18372.257,    3901.659,
   21895.676,   28279.308,    6383.632,
   28877.737,   34122.247,    5244.509,
   36070.657,   45379.322,    9308.665,
   48677.701,   53704.302,    5026.601,
   54295.643,   64729.363,   10433.720,
   65102.680,   75529.381,   10426.702,
   75902.708,   86104.326,   10201.619,
Is_True,          85.0109%,
Analysis,STARLINK-1267 - STARLINK-2368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-3134,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-3645,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-2504,
       Rise,         Set, Duration (s),
    1142.883,   10131.078,    8988.195,
   11472.364,   20460.581,    8988.216,
   24520.410,   25897.612,    1377.202,
   29414.325,   38946.110,    9531.785,
   40287.765,   44383.314,    4095.548,
   53337.521,   57431.000,    4093.479,
   58231.466,   67760.981,    9529.515,
   68561.788,   72654.714,    4092.926,
   82154.694,   85704.413,    3549.719,
Is_True,          62.7854%,
Analysis,STARLINK-1267 - STARLINK-2540,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1267 - STARLINK-2719,
       Rise,         Set, Duration (s),
   14013.564,   14608.354,     594.791,
