
SOAP Analysis Report Output for starlink_starlink_20_sats_44.orb,
Generated: Thu Dec 15 21:14:34 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3728 - STARLINK-3157,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3728 - STARLINK-2218,
       Rise,         Set, Duration (s),
   43571.299,   72958.697,   29387.398,
Is_True,          34.0132%,
Analysis,STARLINK-3728 - STARLINK-1735,
       Rise,         Set, Duration (s),
       0.000,    3672.616,    3672.616,
Is_True,           4.2507%,
Analysis,STARLINK-3728 - STARLINK-2383,
       Rise,         Set, Duration (s),
    2308.447,   29347.537,   27039.090,
Is_True,          31.2952%,
Analysis,STARLINK-3728 - STARLINK-1138,
       Rise,         Set, Duration (s),
   10730.804,   10862.468,     131.664,
Is_True,           0.1524%,
Analysis,STARLINK-3728 - FALCON 9 DEB21,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3728 - STARLINK-2681,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3728 - STARLINK-3810,
       Rise,         Set, Duration (s),
   46669.132,   47315.229,     646.098,
   57417.592,   58249.358,     831.766,
   68259.933,   69094.323,     834.391,
   79191.086,   79856.853,     665.767,
Is_True,           3.4468%,
Analysis,STARLINK-3728 - STARLINK-3283,
       Rise,         Set, Duration (s),
       0.000,   17919.975,   17919.975,
Is_True,          20.7407%,
Analysis,STARLINK-3728 - STARLINK-2452,
       Rise,         Set, Duration (s),
   29690.760,   42406.456,   12715.696,
   43514.153,   50588.341,    7074.188,
Is_True,          22.9050%,
Analysis,STARLINK-3728 - STARLINK-1557,
       Rise,         Set, Duration (s),
   21468.519,   21975.297,     506.778,
   35194.320,   36280.611,    1086.291,
   46451.584,   47441.811,     990.227,
Is_True,           2.9899%,
Analysis,STARLINK-3728 - STARLINK-2640,
       Rise,         Set, Duration (s),
   10563.762,   37077.275,   26513.514,
Is_True,          30.6869%,
Analysis,STARLINK-3728 - STARLINK-1443,
       Rise,         Set, Duration (s),
       0.000,     181.567,     181.567,
Is_True,           0.2101%,
Analysis,STARLINK-3728 - STARLINK-1850,
       Rise,         Set, Duration (s),
   25161.342,   25624.832,     463.491,
   33115.649,   40186.718,    7071.069,
   49937.863,   51239.581,    1301.718,
Is_True,          10.2272%,
Analysis,STARLINK-3728 - STARLINK-3518,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3728 - STARLINK-1403,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3728 - STARLINK-1845,
       Rise,         Set, Duration (s),
   60525.951,   61903.017,    1377.066,
   68745.919,   78738.104,    9992.185,
   86163.108,   86400.000,     236.892,
Is_True,          13.4330%,
Analysis,STARLINK-3728 - STARLINK-1666,
       Rise,         Set, Duration (s),
    3551.336,    4054.386,     503.050,
   17371.578,   18274.930,     903.352,
   28602.148,   29474.224,     872.076,
   42896.656,   43223.338,     326.682,
Is_True,           3.0152%,
Analysis,STARLINK-3728 - STARLINK-3295,
       Rise,         Set, Duration (s),
    7779.099,   31693.974,   23914.876,
Is_True,          27.6793%,
Analysis,STARLINK-3728 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1577.348,    1577.348,
    5750.458,    8983.273,    3232.815,
   11043.031,   19996.258,    8953.227,
   22061.688,   30992.798,    8931.110,
   33063.623,   42006.179,    8942.556,
   49711.034,   53032.841,    3321.807,
