
SOAP Analysis Report Output for starlink_starlink_20_sats_29.orb,
Generated: Thu Dec 15 21:11:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2558 - STARLINK-2680,
       Rise,         Set, Duration (s),
       0.000,    6717.424,    6717.424,
   13955.645,   21095.901,    7140.256,
   28286.396,   35449.257,    7162.861,
   42591.343,   49824.764,    7233.421,
   56923.571,   64176.364,    7252.793,
   65502.503,   78549.280,   13046.777,
   79835.824,   86400.000,    6564.176,
Is_True,          63.7936%,
Analysis,STARLINK-2558 - STARLINK-1368,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2558 - STARLINK-2604,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2225,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-3542,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2049,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2576,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2027,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-3268,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-1566,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2558 - STARLINK-2470,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2558 - STARLINK-2300,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2696,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2210,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-2184,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-1096,
       Rise,         Set, Duration (s),
       0.000,     224.876,     224.876,
   10599.033,   14561.465,    3962.432,
   24925.157,   28887.628,    3962.471,
   39262.091,   46085.263,    6823.172,
   53588.171,   54689.314,    1101.142,
   67925.101,   69015.426,    1090.325,
   82251.138,   83352.023,    1100.885,
Is_True,          21.1404%,
Analysis,STARLINK-2558 - STARLINK-3663,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - STARLINK-3679,
       Rise,         Set, Duration (s),
   31469.041,   35661.725,    4192.684,
   36334.090,   54620.620,   18286.530,
Is_True,          26.0176%,
Analysis,STARLINK-2558 - STARLINK-2180,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2558 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1492.227,    1492.227,
    5654.099,   13977.353,    8323.255,
   15926.503,   19720.929,    3794.427,
   21673.955,   31196.485,    9522.530,
   33157.691,   42687.673,    9529.982,
   50440.505,   59937.414,    9496.909,
   61953.999,   71413.541,    9459.542,
   73435.214,   86400.000,   12964.786,
Is_True,          74.7496%,
Analysis,STARLINK-2558 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    2450.694,    2450.694,
    4373.259,   13937.947,    9564.688,
   15891.332,   19689.034,    3797.702,
