
SOAP Analysis Report Output for starlink_starlink_20_sats_6.orb,
Generated: Thu Dec 15 21:07:29 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2386 - STARLINK-1454,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-2696,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2386 - STARLINK-1641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-2493,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-1320,
       Rise,         Set, Duration (s),
    3332.357,    4285.156,     952.799,
   17662.377,   18619.660,     957.283,
   31996.942,   32949.576,     952.634,
   46326.928,   47284.053,     957.126,
   60661.471,   61613.935,     952.464,
   74991.422,   75948.385,     956.963,
Is_True,           6.6311%,
Analysis,STARLINK-2386 - STARLINK-3129,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-3625,
       Rise,         Set, Duration (s),
   13884.074,   14844.340,     960.266,
   25087.488,   28911.229,    3823.741,
   39318.257,   39997.809,     679.552,
Is_True,           6.3236%,
Analysis,STARLINK-2386 - STARLINK-2691,
       Rise,         Set, Duration (s),
    3598.784,    4153.891,     555.107,
   17922.120,   18494.104,     571.984,
   32266.881,   32813.938,     547.057,
   46590.019,   47154.305,     564.286,
   60934.901,   61473.965,     539.065,
   75257.838,   75814.491,     556.653,
Is_True,           3.8590%,
Analysis,STARLINK-2386 - STARLINK-1290,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-1038,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-1618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-2335,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-1531,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-1036,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2386 - STARLINK-2395,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - STARLINK-2249,
       Rise,         Set, Duration (s),
    6597.846,   13735.417,    7137.571,
   20938.119,   28060.364,    7122.245,
   35262.169,   36666.598,    1404.429,
   43869.582,   50991.496,    7121.914,
   58193.602,   65330.515,    7136.914,
   72533.878,   79655.353,    7121.475,
Is_True,          42.8756%,
Analysis,STARLINK-2386 - STARLINK-1799,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2386 - STARLINK-3519,
       Rise,         Set, Duration (s),
   71340.161,   72171.893,     831.732,
   82622.709,   83128.391,     505.682,
Is_True,           1.5479%,
Analysis,STARLINK-2386 - STARLINK-1639,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2386 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    6999.470,   16590.833,    9591.364,
   18522.126,   28070.677,    9548.551,
   30008.104,   39560.849,    9552.745,
   41517.373,   45315.304,    3797.931,
   49529.937,   56822.434,    7292.497,
   58813.338,   68306.229,    9492.891,
   70302.892,   74044.484,    3741.592,
   76045.008,   85536.143,    9491.135,
