
SOAP Analysis Report Output for starlink_starlink_20_sats_32.orb,
Generated: Thu Dec 15 21:12:19 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-1954,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-1016,
       Rise,         Set, Duration (s),
    3010.229,    3779.144,     768.915,
   17335.950,   18091.174,     755.224,
   43146.323,   43828.896,     682.573,
   57473.831,   58139.196,     665.365,
   71819.964,   72430.915,     610.951,
   86149.132,   86400.000,     250.868,
Is_True,           4.3216%,
Analysis,STARLINK-3368 - STARLINK-1773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-2706,
       Rise,         Set, Duration (s),
       0.000,     144.841,     144.841,
   13912.048,   14518.610,     606.562,
   28183.749,   28906.700,     722.951,
   42484.273,   43267.594,     783.321,
   53919.383,   57642.583,    3723.200,
   68207.791,   69132.361,     924.570,
   82517.789,   83483.790,     966.001,
Is_True,           9.1105%,
Analysis,STARLINK-3368 - STARLINK-2568,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-3698,
       Rise,         Set, Duration (s),
   38959.354,   39673.823,     714.469,
   50045.744,   50838.687,     792.943,
Is_True,           1.7447%,
Analysis,STARLINK-3368 - STARLINK-3566,
       Rise,         Set, Duration (s),
   29662.555,   36406.156,    6743.601,
   46218.895,   53183.020,    6964.125,
   60681.055,   61237.963,     556.908,
Is_True,          16.5100%,
Analysis,STARLINK-3368 - STARLINK-2683,
       Rise,         Set, Duration (s),
       0.000,     640.306,     640.306,
   13838.593,   14958.796,    1120.203,
   28146.014,   29288.437,    1142.423,
   36740.796,   43606.019,    6865.224,
   51049.039,   57934.675,    6885.636,
   68227.115,   72251.344,    4024.230,
   82548.926,   86400.000,    3851.074,
Is_True,          28.3902%,
Analysis,STARLINK-3368 - STARLINK-2654,
       Rise,         Set, Duration (s),
    3325.953,    3650.983,     325.030,
Is_True,           0.3762%,
Analysis,STARLINK-3368 - STARLINK-3153,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-2571,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3368 - STARLINK-3177,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-1329,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-2755,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - STARLINK-2615,
       Rise,         Set, Duration (s),
    7197.862,   10839.899,    3642.038,
   21512.534,   22299.803,     787.269,
   35824.582,   36626.085,     801.503,
   50139.686,   50948.846,     809.160,
   64452.331,   65274.523,     822.192,
   78767.856,   79596.897,     829.041,
Is_True,           8.9019%,
Analysis,STARLINK-3368 - STARLINK-1088,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3368 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1526.500,    1526.500,
    5738.093,   13817.921,    8079.828,
   15218.238,   42614.647,   27396.410,
   49585.853,   71586.426,   22000.573,
   72387.534,   86400.000,   14012.466,
Is_True,          84.5090%,
Analysis,STARLINK-3368 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    2224.132,    2224.132,
    3748.592,   13753.320,   10004.727,
   15170.577,   42609.614,   27439.037,
   43798.840,   71658.985,   27860.145,
   72314.803,   86400.000,   14085.197,
Is_True,          94.4598%,
Analysis,STARLINK-3368 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    2250.356,    2250.356,
    3740.189,   13799.529,   10059.339,
   15230.895,   42639.769,   27408.874,
   43758.748,   71581.887,   27823.139,
   72305.163,   86400.000,   14094.837,
Is_True,          94.4867%,
Analysis,STARLINK-3368 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    2265.506,    2265.506,
    3804.041,   13771.626,    9967.585,
   15266.761,   35088.189,   19821.428,
   38085.769,   42656.708,    4570.939,
   43843.015,   71530.768,   27687.753,
   72434.635,   86400.000,   13965.365,
Is_True,          90.6002%,
Analysis,STARLINK-3368 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    2241.239,    2241.239,
    3806.066,   13143.814,    9337.748,
   15206.784,   31078.064,   15871.280,
   32434.622,   42602.741,   10168.119,
   43874.096,   71567.455,   27693.359,
   72465.226,   86400.000,   13934.774,
Is_True,          91.7205%,
Analysis,STARLINK-2592 - STARLINK-2562,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-1954,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-1016,
       Rise,         Set, Duration (s),
    3458.294,    4193.204,     734.909,
   17785.876,   18527.883,     742.007,
   32120.521,   32854.968,     734.447,
   46448.085,   47189.662,     741.576,
   60782.743,   61516.734,     733.991,
   75110.289,   75851.442,     741.153,
Is_True,           5.1251%,
Analysis,STARLINK-2592 - STARLINK-1773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-2706,
       Rise,         Set, Duration (s),
   14361.091,   14948.807,     587.716,
   28687.667,   29306.748,     619.081,
   43022.504,   43657.099,     634.595,
   57350.340,   58013.799,     663.459,
   71686.077,   72363.239,     677.162,
   86014.969,   86400.000,     385.031,
Is_True,           4.1285%,
Analysis,STARLINK-2592 - STARLINK-2568,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2592 - STARLINK-3698,
       Rise,         Set, Duration (s),
   39320.463,   40212.231,     891.768,
   53263.390,   54087.070,     823.680,
Is_True,           1.9855%,
Analysis,STARLINK-2592 - STARLINK-3566,
       Rise,         Set, Duration (s),
   18563.146,   47974.592,   29411.445,
Is_True,          34.0410%,
Analysis,STARLINK-2592 - STARLINK-2683,
       Rise,         Set, Duration (s),
    2910.540,    3837.112,     926.572,
   14375.243,   18170.323,    3795.079,
   28703.715,   32498.943,    3795.228,
   43037.003,   46832.163,    3795.160,
   57365.467,   58296.899,     931.432,
   71698.763,   72625.506,     926.743,
   86027.219,   86400.000,     372.781,
Is_True,          16.8322%,
Analysis,STARLINK-2592 - STARLINK-2654,
       Rise,         Set, Duration (s),
   32341.298,   32822.475,     481.178,
   46667.818,   47158.610,     490.791,
   61004.365,   61484.042,     479.677,
   75330.840,   75820.209,     489.369,
Is_True,           2.2465%,
Analysis,STARLINK-2592 - STARLINK-3153,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-2571,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2592 - STARLINK-3177,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-1329,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-2755,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - STARLINK-2615,
       Rise,         Set, Duration (s),
   10435.587,   11337.160,     901.572,
   24761.839,   25673.338,     911.499,
   39097.514,   39999.775,     902.261,
   53423.756,   54335.953,     912.197,
