
SOAP Analysis Report Output for starlink_starlink_20_sats_45.orb,
Generated: Thu Dec 15 21:14:45 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3130 - STARLINK-1334,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3866,
       Rise,         Set, Duration (s),
   46199.801,   46905.169,     705.368,
Is_True,           0.8164%,
Analysis,STARLINK-3130 - STARLINK-2478,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3533,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-1503,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3374,
       Rise,         Set, Duration (s),
    6754.446,    7700.080,     945.634,
Is_True,           1.0945%,
Analysis,STARLINK-3130 - STARLINK-3523,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3225,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-2455,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3674,
       Rise,         Set, Duration (s),
       0.000,     635.286,     635.286,
   13832.031,   14588.252,     756.221,
   25121.037,   25587.228,     466.191,
Is_True,           2.1501%,
Analysis,STARLINK-3130 - STARLINK-1376,
       Rise,         Set, Duration (s),
       0.000,     584.747,     584.747,
   14190.840,   14911.443,     720.603,
   28487.373,   29248.399,     761.026,
   42796.428,   43573.589,     777.161,
   57094.966,   57908.648,     813.681,
   71405.416,   72232.533,     827.117,
   85705.665,   86400.000,     694.335,
Is_True,           5.9938%,
Analysis,STARLINK-3130 - STARLINK-2380,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-2496,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-2697,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-1732,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-2096,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-3252,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-1769,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3130 - STARLINK-1096,
       Rise,         Set, Duration (s),
    7072.982,    7722.431,     649.449,
   21378.369,   22050.895,     672.526,
   35670.938,   36392.851,     721.914,
   49978.325,   50719.423,     741.098,
   64273.652,   65058.663,     785.011,
   78582.694,   79383.690,     800.996,
Is_True,           5.0590%,
Analysis,STARLINK-3130 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    6630.587,   10274.880,    3644.293,
   12376.551,   16010.680,    3634.129,
   18113.902,   27465.462,    9351.560,
   29570.362,   38927.748,    9357.385,
   41042.614,   44668.052,    3625.438,
   49505.035,   56149.947,    6644.913,
   58278.071,   67610.542,    9332.470,
   69738.832,   79065.975,    9327.143,
   81200.057,   84802.086,    3602.029,
Is_True,          67.7307%,
Analysis,STARLINK-3130 - IOAG-North1,
       Rise,         Set, Duration (s),
     876.915,   10271.924,    9395.009,
   12362.776,   16010.839,    3648.063,
   18106.082,   27481.648,    9375.567,
   29587.606,   38932.244,    9344.638,
