
SOAP Analysis Report Output for starlink_starlink_20_sats_16.orb,
Generated: Thu Dec 15 21:09:21 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2545 - STARLINK-3331,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-1265,
       Rise,         Set, Duration (s),
    2934.130,   10344.022,    7409.892,
   11515.317,   24687.321,   13172.004,
   25864.418,   39006.647,   13142.229,
   40178.125,   53349.998,   13171.873,
   54527.256,   67669.251,   13141.995,
   68840.911,   76280.125,    7439.214,
   83190.071,   86400.000,    3209.929,
Is_True,          81.8138%,
Analysis,STARLINK-2545 - STARLINK-3749,
       Rise,         Set, Duration (s),
       0.000,    4369.534,    4369.534,
Is_True,           5.0573%,
Analysis,STARLINK-2545 - STARLINK-1342,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-2370,
       Rise,         Set, Duration (s),
       0.000,     352.996,     352.996,
   14114.492,   14681.150,     566.659,
   28443.752,   29015.905,     572.153,
   42778.827,   43344.027,     565.200,
   57108.040,   57678.788,     570.748,
   71443.111,   72006.877,     563.767,
Is_True,           3.6939%,
Analysis,STARLINK-2545 - STARLINK-1785,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-2471,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-2607,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-2517,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-2060,
       Rise,         Set, Duration (s),
   17881.077,   18040.247,     159.170,
Is_True,           0.1842%,
Analysis,STARLINK-2545 - STARLINK-3508,
       Rise,         Set, Duration (s),
   46357.518,   47134.926,     777.408,
   54414.764,   64368.259,    9953.495,
   71333.113,   72560.300,    1227.187,
Is_True,          13.8404%,
Analysis,STARLINK-2545 - STARLINK-3360,
       Rise,         Set, Duration (s),
       0.000,     605.792,     605.792,
   13909.236,   14923.759,    1014.523,
   28224.675,   29248.503,    1023.828,
   42547.476,   43565.959,    1018.483,
   56863.433,   57890.122,    1026.689,
   68319.223,   72207.062,    3887.839,
   82642.747,   86400.000,    3757.253,
Is_True,          14.2759%,
Analysis,STARLINK-2545 - STARLINK-1588,
       Rise,         Set, Duration (s),
       0.000,     719.057,     719.057,
   14001.115,   15045.991,    1044.876,
   28327.944,   29381.582,    1053.638,
   42663.507,   43708.496,    1044.989,
   56990.319,   58044.093,    1053.774,
   71325.890,   72370.987,    1045.097,
   82790.840,   86400.000,    3609.160,
Is_True,          11.0771%,
Analysis,STARLINK-2545 - STARLINK-2025,
       Rise,         Set, Duration (s),
    3101.012,    4261.875,    1160.864,
   17422.278,   18602.750,    1180.472,
   31768.527,   32922.733,    1154.206,
   46089.646,   47263.701,    1174.055,
   54702.458,   61583.593,    6881.134,
   71902.859,   75924.654,    4021.795,
   86223.771,   86400.000,     176.229,
Is_True,          18.2277%,
Analysis,STARLINK-2545 - STARLINK-1765,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-1579,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2545 - STARLINK-3569,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2545 - STARLINK-3700,
