
SOAP Analysis Report Output for starlink_starlink_20_sats_17.orb,
Generated: Thu Dec 15 21:09:32 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1324 - STARLINK-2689,
       Rise,         Set, Duration (s),
    6473.987,    7300.255,     826.268,
   17938.829,   21625.278,    3686.450,
   32276.555,   33090.206,     813.652,
   46600.929,   47427.529,     826.599,
   60938.668,   61752.518,     813.850,
   75263.024,   76089.853,     826.829,
Is_True,           9.0204%,
Analysis,STARLINK-1324 - STARLINK-1839,
       Rise,         Set, Duration (s),
   10115.116,   11045.364,     930.248,
   21580.089,   25372.831,    3792.742,
   35915.730,   39708.111,    3792.381,
   50242.512,   54035.549,    3793.037,
   64578.164,   65500.631,     922.467,
   78904.921,   79835.925,     931.003,
Is_True,          16.3911%,
Analysis,STARLINK-1324 - STARLINK-2753,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-1567,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-2487,
       Rise,         Set, Duration (s),
       0.000,    4261.824,    4261.824,
   11155.794,   21459.392,   10303.599,
   25497.074,   35798.905,   10301.831,
   39818.496,   50121.992,   10303.495,
   54159.780,   64461.520,   10301.740,
   71357.395,   78784.572,    7427.177,
   85678.782,   86400.000,     721.218,
Is_True,          62.0612%,
Analysis,STARLINK-1324 - STARLINK-1762,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-2685,
       Rise,         Set, Duration (s),
   28773.962,   29342.209,     568.247,
   43114.163,   43664.224,     550.061,
   57436.245,   58004.664,     568.419,
   71776.462,   72326.650,     550.188,
   86098.515,   86400.000,     301.485,
Is_True,           2.9380%,
Analysis,STARLINK-1324 - STARLINK-3099,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-2651,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-1783,
       Rise,         Set, Duration (s),
    7097.847,   10821.990,    3724.144,
   21428.968,   22287.102,     858.134,
   35761.052,   36617.791,     856.738,
   50092.155,   50949.866,     857.711,
   64424.229,   65280.540,     856.311,
   78755.312,   79612.608,     857.296,
Is_True,           9.2712%,
Analysis,STARLINK-1324 - STARLINK-1231,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-2477,
       Rise,         Set, Duration (s),
       0.000,   10226.275,   10226.275,
   10972.047,   24596.580,   13624.533,
   25384.624,   38890.457,   13505.833,
   39632.255,   50356.113,   10723.858,
   54044.980,   64726.540,   10681.560,
   65509.131,   79020.210,   13511.079,
   79756.611,   86400.000,    6643.389,
Is_True,          91.3386%,
Analysis,STARLINK-1324 - STARLINK-2082,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-1455,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-3206,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1324 - STARLINK-1547,
       Rise,         Set, Duration (s),
       0.000,    2986.348,    2986.348,
   10370.675,   17322.957,    6952.283,
   24707.856,   25916.322,    1208.466,
   39033.123,   40252.942,    1219.819,
   53370.318,   54578.778,    1208.460,
   67695.558,   68915.411,    1219.853,
   76300.278,   83241.221,    6940.943,
Is_True,          25.1576%,
