
SOAP Analysis Report Output for starlink_starlink_20_sats_36.orb,
Generated: Thu Dec 15 21:13:04 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2719 - STARLINK-1340,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2719 - STARLINK-3650,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-3248,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-3324,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-2239,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-1063,
       Rise,         Set, Duration (s),
    6476.774,    7475.161,     998.386,
   17941.488,   21811.644,    3870.156,
   32266.484,   36137.092,    3870.609,
   46603.272,   50473.591,    3870.319,
   60928.255,   61938.370,    1010.115,
   75265.055,   76263.794,     998.739,
Is_True,          16.9194%,
Analysis,STARLINK-2719 - STARLINK-1183,
       Rise,         Set, Duration (s),
    7053.205,    7690.356,     637.150,
   21379.429,   22025.768,     646.340,
   35715.134,   36352.341,     637.207,
   50041.343,   50687.767,     646.424,
   64377.058,   65014.325,     637.267,
   78703.254,   79349.764,     646.510,
Is_True,           4.4571%,
Analysis,STARLINK-2719 - STARLINK-3503,
       Rise,         Set, Duration (s),
   14377.428,   14712.961,     335.533,
   28026.109,   29109.679,    1083.570,
   39253.654,   40315.274,    1061.620,
Is_True,           2.8712%,
Analysis,STARLINK-2719 - STARLINK-1575,
       Rise,         Set, Duration (s),
       0.000,     113.772,     113.772,
   14094.338,   14454.273,     359.934,
Is_True,           0.5483%,
Analysis,STARLINK-2719 - STARLINK-3735,
       Rise,         Set, Duration (s),
       0.000,      82.231,      82.231,
Is_True,           0.0952%,
Analysis,STARLINK-2719 - STARLINK-1802,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-1832,
       Rise,         Set, Duration (s),
    7022.440,    7693.908,     671.468,
   21354.202,   22023.935,     669.733,
   35684.266,   36354.897,     670.631,
   50016.025,   50684.941,     668.916,
   64346.096,   65015.914,     669.818,
   78677.852,   79345.975,     668.123,
Is_True,           4.6513%,
Analysis,STARLINK-2719 - STARLINK-3853,
       Rise,         Set, Duration (s),
   35481.225,   36082.813,     601.588,
   46513.875,   47472.137,     958.262,
   60567.038,   61442.266,     875.228,
Is_True,           2.8184%,
Analysis,STARLINK-2719 - STARLINK-3581,
       Rise,         Set, Duration (s),
   53658.306,   54564.635,     906.329,
   67723.218,   68604.947,     881.729,
   79108.441,   79710.900,     602.459,
Is_True,           2.7668%,
Analysis,STARLINK-2719 - FALCON 9 DEB17,
       Rise,         Set, Duration (s),
    6685.933,    7414.102,     728.168,
   17724.874,   18677.237,     952.363,
Is_True,           1.9451%,
Analysis,STARLINK-2719 - STARLINK-2248,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-1453,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2719 - STARLINK-1524,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2719 - STARLINK-3829,
       Rise,         Set, Duration (s),
   21139.591,   21762.289,     622.698,
   32182.734,   33152.821,     970.086,
   46245.904,   47126.570,     880.667,
Is_True,           2.8628%,
