
SOAP Analysis Report Output for starlink_starlink_20_sats_5.orb,
Generated: Thu Dec 15 21:07:18 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1844 - STARLINK-2416,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-3625,
       Rise,         Set, Duration (s),
   22269.753,   54394.376,   32124.623,
Is_True,          37.1813%,
Analysis,STARLINK-1844 - STARLINK-3004,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-3841,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-1805,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-2110,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-2439,
       Rise,         Set, Duration (s),
    6537.127,    7480.108,     942.981,
   20870.084,   21807.624,     937.540,
   32334.027,   36141.034,    3807.007,
   46660.912,   50468.544,    3807.631,
   60993.921,   64801.974,    3808.054,
   75320.820,   76266.355,     945.535,
Is_True,          16.4916%,
Analysis,STARLINK-1844 - STARLINK-2620,
       Rise,         Set, Duration (s),
    6764.153,    7828.034,    1063.881,
   21099.374,   22154.038,    1054.664,
   35424.299,   36489.748,    1065.449,
   49759.557,   50815.730,    1056.173,
   64084.496,   65151.447,    1066.951,
   75548.589,   79477.408,    3928.819,
Is_True,          10.6897%,
Analysis,STARLINK-1844 - STARLINK-2169,
       Rise,         Set, Duration (s),
    4277.685,   11247.961,    6970.277,
   18601.140,   25584.424,    6983.284,
   35798.230,   39907.269,    4109.038,
   50136.633,   54243.781,    4107.148,
   64460.061,   71439.413,    6979.352,
   78798.496,   85762.234,    6963.738,
Is_True,          41.7973%,
Analysis,STARLINK-1844 - STARLINK-3618,
       Rise,         Set, Duration (s),
   42668.819,   43646.987,     978.168,
Is_True,           1.1321%,
Analysis,STARLINK-1844 - STARLINK-3251,
       Rise,         Set, Duration (s),
    7019.018,    7882.506,     863.488,
   21347.585,   22206.704,     859.119,
   35669.369,   36538.133,     868.764,
   49997.726,   50862.263,     864.537,
   64319.329,   65193.583,     874.254,
   78647.481,   79517.639,     870.158,
Is_True,           6.0189%,
Analysis,STARLINK-1844 - STARLINK-3655,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-2346,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-1565,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-1236,
       Rise,         Set, Duration (s),
   82747.158,   82810.427,      63.269,
Is_True,           0.0732%,
Analysis,STARLINK-1844 - STARLINK-1775,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-1452,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1844 - STARLINK-3624,
       Rise,         Set, Duration (s),
   22402.288,   54594.622,   32192.334,
Is_True,          37.2596%,
Analysis,STARLINK-1844 - STARLINK-2541,
       Rise,         Set, Duration (s),
    2918.651,    3880.929,     962.279,
   14382.252,   18207.719,    3825.467,
   28714.500,   32540.122,    3825.623,
   43041.297,   46866.936,    3825.639,
   57373.578,   58330.637,     957.060,
   71700.401,   72663.082,     962.681,
   86032.715,   86400.000,     367.285,
Is_True,          17.0440%,
