
SOAP Analysis Report Output for starlink_starlink_20_sats_10.orb,
Generated: Thu Dec 15 21:08:14 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2731 - STARLINK-1377,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-1871,
       Rise,         Set, Duration (s),
       0.000,    3677.508,    3677.508,
   14218.711,   18008.671,    3789.960,
   28549.461,   29473.384,     923.924,
   42880.625,   43803.999,     923.374,
   57211.370,   58135.166,     923.796,
   71542.536,   72465.776,     923.240,
   85873.276,   86400.000,     526.724,
Is_True,          13.5284%,
Analysis,STARLINK-2731 - STARLINK-2474,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-2634,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-2059,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-1067,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-3536,
       Rise,         Set, Duration (s),
   75374.431,   76293.731,     919.300,
Is_True,           1.0640%,
Analysis,STARLINK-2731 - STARLINK-1758,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-3310,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-2379,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-3292,
       Rise,         Set, Duration (s),
       0.000,     429.834,     429.834,
   13740.115,   14743.785,    1003.670,
   25185.841,   29065.419,    3879.578,
   39489.387,   43377.821,    3888.434,
   53802.689,   57697.967,    3895.277,
   68108.009,   72008.857,    3900.848,
   82423.071,   83460.454,    1037.384,
Is_True,          20.8739%,
Analysis,STARLINK-2731 - STARLINK-2131,
       Rise,         Set, Duration (s),
       0.000,     113.651,     113.651,
   13817.647,   14427.393,     609.746,
   39591.915,   40243.236,     651.321,
   53941.379,   54557.021,     615.642,
   68251.834,   68907.149,     655.315,
   82601.255,   83220.960,     619.705,
Is_True,           3.7794%,
Analysis,STARLINK-2731 - STARLINK-1801,
       Rise,         Set, Duration (s),
   10444.661,   11105.993,     661.332,
   24783.510,   25429.089,     645.579,
   39107.339,   39767.444,     660.105,
   53446.213,   54090.507,     644.294,
   67769.996,   68428.898,     658.903,
Is_True,           3.7850%,
Analysis,STARLINK-2731 - STARLINK-2167,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-1762,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2731 - STARLINK-1698,
       Rise,         Set, Duration (s),
    3854.407,   14214.554,   10360.147,
   18203.646,   28557.465,   10353.818,
   32518.131,   42874.934,   10356.802,
   46867.376,   57217.940,   10350.564,
   58332.855,   71535.345,   13202.490,
   72647.268,   85878.447,   13231.178,
Is_True,          78.5359%,
Analysis,STARLINK-2731 - STARLINK-3608,
       Rise,         Set, Duration (s),
   20889.661,   21641.255,     751.595,
   32058.786,   32955.334,     896.548,
   46163.479,   46960.805,     797.326,
   57576.364,   58043.182,     466.818,
Is_True,           3.3707%,
Analysis,STARLINK-2731 - FALCON 9 DEB3,
       Rise,         Set, Duration (s),
    6674.599,   14140.870,    7466.270,
   15066.256,   86400.000,   71333.744,
Is_True,          91.2037%,
Analysis,STARLINK-2731 - STARLINK-2524,
