
SOAP Analysis Report Output for starlink_starlink_20_sats_30.orb,
Generated: Thu Dec 15 21:11:57 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1434 - STARLINK-2116,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-3585,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-1536,
       Rise,         Set, Duration (s),
     265.935,   14112.836,   13846.901,
   14576.574,   28450.976,   13874.402,
   28918.474,   42775.569,   13857.094,
   43229.281,   86400.000,   43170.719,
Is_True,          98.0893%,
Analysis,STARLINK-1434 - FALCON 9 DEB18,
       Rise,         Set, Duration (s),
   44165.328,   67429.241,   23263.913,
Is_True,          26.9258%,
Analysis,STARLINK-1434 - STARLINK-3206,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-3795,
       Rise,         Set, Duration (s),
   35327.200,   36371.587,    1044.387,
Is_True,           1.2088%,
Analysis,STARLINK-1434 - STARLINK-1797,
       Rise,         Set, Duration (s),
       0.000,     535.640,     535.640,
   13919.823,   14868.682,     948.859,
   28252.660,   29196.818,     944.159,
   42580.770,   43529.875,     949.106,
   56913.627,   57858.013,     944.386,
   68378.021,   72191.085,    3813.064,
   82706.137,   86400.000,    3693.863,
Is_True,          13.6911%,
Analysis,STARLINK-1434 - STARLINK-1503,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-2056,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1434 - STARLINK-1216,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-1196,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-3148,
       Rise,         Set, Duration (s),
    6783.564,    7810.857,    1027.293,
   21104.840,   22131.665,    1026.825,
   35437.932,   36441.171,    1003.239,
   49759.694,   50761.444,    1001.750,
   64093.519,   65070.125,     976.606,
   75556.107,   79389.854,    3833.746,
Is_True,          10.2656%,
Analysis,STARLINK-1434 - STARLINK-1413,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1434 - STARLINK-2329,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-2714,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-1474,
       Rise,         Set, Duration (s),
       0.000,     455.383,     455.383,
   13845.809,   14788.221,     942.412,
   28178.550,   29117.316,     938.766,
   42507.717,   43450.161,     942.443,
   53972.481,   57779.250,    3806.768,
   68305.233,   72112.101,    3806.867,
   82634.390,   86400.000,    3765.610,
Is_True,          16.9656%,
Analysis,STARLINK-1434 - STARLINK-3789,
       Rise,         Set, Duration (s),
   21393.381,   22319.449,     926.068,
Is_True,           1.0718%,
Analysis,STARLINK-1434 - STARLINK-2301,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1434 - STARLINK-3283,
       Rise,         Set, Duration (s),
   25196.484,   25385.065,     188.581,
   39581.230,   39639.592,      58.361,
Is_True,           0.2858%,
Analysis,STARLINK-1434 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    6033.950,    9644.474,    3610.523,
   11780.707,   21120.721,    9340.014,
