
SOAP Analysis Report Output for starlink_starlink_20_sats_43.orb,
Generated: Thu Dec 15 21:14:23 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1038 - STARLINK-1572,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-3259,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-2273,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-3357,
       Rise,         Set, Duration (s),
    3150.356,    3851.761,     701.405,
   17409.506,   18229.043,     819.537,
   31710.126,   32568.815,     858.689,
   43137.900,   46936.622,    3798.722,
   57409.126,   61273.178,    3864.052,
   71714.085,   75634.900,    3920.815,
   85990.528,   86400.000,     409.472,
Is_True,          16.6351%,
Analysis,STARLINK-1038 - STARLINK-2467,
       Rise,         Set, Duration (s),
       0.000,    2929.994,    2929.994,
    4302.810,   11537.713,    7234.903,
   18645.613,   25859.275,    7213.662,
   32965.642,   40199.359,    7233.717,
   47308.458,   54520.881,    7212.423,
   61628.452,   68861.012,    7232.560,
   75971.281,   86058.007,   10086.726,
Is_True,          56.8796%,
Analysis,STARLINK-1038 - STARLINK-2559,
       Rise,         Set, Duration (s),
    7056.637,   10901.159,    3844.522,
   21385.066,   25229.526,    3844.460,
   35719.617,   36694.697,     975.080,
   50048.028,   51029.266,     981.239,
   64382.575,   65357.608,     975.034,
   78710.967,   79692.174,     981.206,
Is_True,          13.4277%,
Analysis,STARLINK-1038 - STARLINK-3290,
       Rise,         Set, Duration (s),
       0.000,     335.346,     335.346,
   13927.812,   14673.599,     745.787,
   28192.781,   29055.413,     862.632,
   42507.722,   43392.194,     884.472,
   53941.936,   57767.090,    3825.154,
   68215.378,   72102.978,    3887.600,
   82531.382,   86400.000,    3868.618,
Is_True,          16.6778%,
Analysis,STARLINK-1038 - STARLINK-2157,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-1887,
       Rise,         Set, Duration (s),
       0.000,     601.010,     601.010,
   13754.205,   14921.045,    1166.840,
   28073.914,   29261.736,    1187.822,
   36684.916,   43581.720,    6896.803,
   53882.937,   57922.481,    4039.544,
   68202.559,   72242.413,    4039.854,
   82546.280,   86400.000,    3853.720,
Is_True,          25.2148%,
Analysis,STARLINK-1038 - STARLINK-1617,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-2515,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-2035,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-1055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-1334,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1038 - STARLINK-3368,
       Rise,         Set, Duration (s),
       0.000,    6945.991,    6945.991,
   10970.281,   21265.522,   10295.241,
   28142.994,   35600.551,    7457.557,
   36741.036,   49917.904,   13176.868,
   51042.529,   64250.495,   13207.966,
   65367.259,   78565.557,   13198.298,
   79671.203,   86400.000,    6728.797,
Is_True,          82.1883%,
Analysis,STARLINK-1038 - STARLINK-3083,
       Rise,         Set, Duration (s),
   14361.966,   14856.096,     494.130,
   28708.801,   29267.013,     558.212,
   43068.394,   43664.520,     596.125,
   57421.691,   58069.145,     647.454,
