
SOAP Analysis Report Output for starlink_starlink_20_sats_2.orb,
Generated: Thu Dec 15 21:06:42 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1839 - STARLINK-1645,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-1721,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-1878,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1839 - STARLINK-3773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-1759,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-2227,
       Rise,         Set, Duration (s),
    6972.252,    7895.735,     923.483,
   21297.544,   22223.911,     926.367,
   35629.137,   36545.409,     916.272,
   49954.530,   50873.682,     919.151,
   64286.308,   65195.173,     908.865,
   78611.797,   79523.547,     911.750,
Is_True,           6.3726%,
Analysis,STARLINK-1839 - STARLINK-3388,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-3287,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-3230,
       Rise,         Set, Duration (s),
       0.000,     548.207,     548.207,
   13855.789,   14873.871,    1018.082,
   28184.274,   29191.091,    1006.817,
   42504.187,   43516.363,    1012.177,
   53963.693,   57833.177,    3869.485,
   68292.586,   72158.053,    3865.468,
   82612.832,   86400.000,    3787.168,
Is_True,          17.4854%,
Analysis,STARLINK-1839 - STARLINK-3141,
       Rise,         Set, Duration (s),
    3397.512,    4026.006,     628.494,
   17690.976,   18365.360,     674.384,
   31965.715,   32722.704,     756.989,
   46264.123,   47057.315,     793.192,
   60545.135,   61408.426,     863.291,
   71979.223,   75739.782,    3760.559,
   86282.252,   86400.000,     117.748,
Is_True,           8.7901%,
Analysis,STARLINK-1839 - STARLINK-3734,
       Rise,         Set, Duration (s),
   10125.881,   10956.124,     830.244,
   21311.357,   22012.778,     701.421,
Is_True,           1.7728%,
Analysis,STARLINK-1839 - STARLINK-2084,
       Rise,         Set, Duration (s),
   46778.040,   47273.621,     495.581,
   61099.512,   61614.924,     515.412,
   75441.172,   75935.607,     494.436,
Is_True,           1.7424%,
Analysis,STARLINK-1839 - STARLINK-1733,
       Rise,         Set, Duration (s),
       0.000,     583.958,     583.958,
   14194.613,   14919.837,     725.224,
   28530.054,   29246.791,     716.738,
   42857.408,   43582.676,     725.269,
   57192.854,   57909.604,     716.750,
   71520.178,   72245.495,     725.317,
   85855.630,   86400.000,     544.370,
Is_True,           5.4834%,
Analysis,STARLINK-1839 - STARLINK-3563,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-1526,
       Rise,         Set, Duration (s),
   10260.127,   11107.049,     846.922,
   24592.101,   25438.097,     845.996,
   38923.267,   39770.501,     847.235,
   50388.515,   54101.533,    3713.018,
   64720.469,   68433.918,    3713.449,
   79051.617,   79899.274,     847.658,
Is_True,          12.5165%,
Analysis,STARLINK-1839 - STARLINK-1977,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-1838,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1839 - STARLINK-2439,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
