
SOAP Analysis Report Output for starlink_starlink_20_sats_49.orb,
Generated: Thu Dec 15 21:15:30 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2579 - STARLINK-3916,
       Rise,         Set, Duration (s),
   82441.662,   83272.156,     830.494,
Is_True,           0.9612%,
Analysis,STARLINK-2579 - STARLINK-1700,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2579 - STARLINK-1686,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-2515,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-2301,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-1462,
       Rise,         Set, Duration (s),
    2847.429,    3929.364,    1081.935,
   14346.701,   15362.087,    1015.385,
   31597.580,   32509.056,     911.476,
   43100.013,   43938.436,     838.424,
   71867.163,   72500.553,     633.390,
Is_True,           5.1859%,
Analysis,STARLINK-2579 - STARLINK-1170,
       Rise,         Set, Duration (s),
    3561.130,    4080.565,     519.435,
   17917.951,   18388.456,     470.505,
   32225.420,   32742.338,     516.918,
   46582.418,   47050.016,     467.598,
   60889.665,   61404.105,     514.439,
   75246.841,   75711.570,     464.730,
Is_True,           3.4185%,
Analysis,STARLINK-2579 - STARLINK-3052,
       Rise,         Set, Duration (s),
   10316.787,   11213.820,     897.033,
   24690.079,   25591.534,     901.455,
   39071.302,   39961.055,     889.753,
   53448.010,   54335.463,     887.453,
   67833.152,   68701.006,     867.855,
   82213.394,   83071.995,     858.601,
Is_True,           6.1367%,
Analysis,STARLINK-2579 - STARLINK-1697,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2579 - STARLINK-1966,
       Rise,         Set, Duration (s),
   68370.225,   68617.420,     247.195,
   82690.550,   82960.538,     269.988,
Is_True,           0.5986%,
Analysis,STARLINK-2579 - STARLINK-3881,
       Rise,         Set, Duration (s),
   28122.512,   28936.353,     813.841,
   39174.600,   40296.527,    1121.927,
   53339.736,   54144.499,     804.764,
Is_True,           3.1719%,
Analysis,STARLINK-2579 - STARLINK-1782,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-2019,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-1128,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-1621,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-3137,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-3273,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-3451,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - STARLINK-3232,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2579 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,     596.536,     596.536,
    8514.020,   17850.712,    9336.692,
   20009.822,   23590.142,    3580.320,
   25748.251,   35069.556,    9321.305,
   37231.347,   45486.314,    8254.967,
   49690.041,   52328.906,    2638.865,
   54494.264,   63823.544,    9329.280,
   65984.457,   75300.438,    9315.981,
   77462.122,   81044.845,    3582.723,
