
SOAP Analysis Report Output for starlink_starlink_20_sats_39.orb,
Generated: Thu Dec 15 21:13:38 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2683 - STARLINK-1328,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2683 - STARLINK-2051,
       Rise,         Set, Duration (s),
    3369.760,    4084.395,     714.636,
   17704.339,   18412.147,     707.808,
   32031.714,   32746.393,     714.679,
   46366.299,   47074.134,     707.835,
   60693.665,   61408.388,     714.723,
   75028.256,   75736.119,     707.863,
Is_True,           4.9393%,
Analysis,STARLINK-2683 - STARLINK-1722,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2683 - STARLINK-3706,
       Rise,         Set, Duration (s),
   35377.513,   36355.599,     978.085,
Is_True,           1.1320%,
Analysis,STARLINK-2683 - STARLINK-1199,
       Rise,         Set, Duration (s),
    3313.489,    4254.368,     940.879,
   17650.546,   18589.701,     939.155,
   31985.588,   32926.980,     941.392,
   46322.654,   47262.098,     939.445,
   60657.656,   61599.237,     941.581,
   74994.727,   75934.145,     939.419,
Is_True,           6.5299%,
Analysis,STARLINK-2683 - STARLINK-3323,
       Rise,         Set, Duration (s),
       0.000,    3011.718,    3011.718,
   10259.365,   17416.541,    7157.176,
   24601.156,   31744.469,    7143.312,
   38841.242,   46146.712,    7305.469,
   47463.379,   60480.158,   13016.779,
   61703.443,   69133.968,    7430.525,
   76036.828,   86377.143,   10340.315,
Is_True,          64.1265%,
Analysis,STARLINK-2683 - STARLINK-2114,
       Rise,         Set, Duration (s),
    2879.011,    3724.706,     845.695,
   14343.875,   18057.261,    3713.386,
   28673.837,   29522.209,     848.373,
   43006.030,   43852.020,     845.990,
   57335.982,   58184.573,     848.590,
   71668.178,   72514.373,     846.195,
   85998.121,   86400.000,     401.879,
Is_True,           9.6645%,
Analysis,STARLINK-2683 - STARLINK-1740,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2683 - STARLINK-3103,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2683 - STARLINK-2623,
       Rise,         Set, Duration (s),
    3200.878,    4031.059,     830.181,
   17530.066,   18363.272,     833.206,
   31862.373,   32692.824,     830.451,
   46191.556,   47025.045,     833.489,
   60523.874,   61354.589,     830.715,
   71988.476,   75686.819,    3698.343,
   86317.654,   86400.000,      82.346,
Is_True,           9.1883%,
Analysis,STARLINK-2683 - STARLINK-3073,
       Rise,         Set, Duration (s),
       0.000,     451.087,     451.087,
   14121.872,   14809.547,     687.676,
   28467.955,   29173.772,     705.817,
   42819.146,   43532.042,     712.896,
   57166.145,   57895.553,     729.408,
   71517.762,   72253.632,     735.870,
   85865.651,   86400.000,     534.349,
Is_True,           5.2744%,
Analysis,STARLINK-2683 - STARLINK-1316,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2683 - STARLINK-1332,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2683 - STARLINK-3748,
       Rise,         Set, Duration (s),
   35500.046,   42328.651,    6828.605,
Is_True,           7.9035%,
Analysis,STARLINK-2683 - STARLINK-1100,
       Rise,         Set, Duration (s),
   39594.076,   40038.669,     444.593,
   53933.703,   54360.540,     426.837,
   68256.064,   68700.393,     444.328,
   82595.723,   83022.231,     426.508,
Is_True,           2.0165%,
