
SOAP Analysis Report Output for starlink_80_sats_21.orb,
Generated: Mon Jan 09 14:14:44 2023,
Start: 1956/08/15 01:42:00.00, Stop: 1956/08/16 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3533 - STARLINK-2051,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1377,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2437,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2538,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1554,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3691,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2129,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2158,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3077,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1236,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1975,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3370,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1909,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3793,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1142,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2736,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1644,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2345,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2474,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1471,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1982,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3415,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1887,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2269,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2039,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3900,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2444,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3668,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1461,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2544,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2527,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1455,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2746,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2115,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2550,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1015,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1680,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1874,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-2361,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-1921,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3533 - STARLINK-3227,
       Rise,         Set, Duration (s),
