
SOAP Analysis Report Output for starlink_80_sats_30.orb,
Generated: Mon Jan 09 14:19:11 2023,
Start: 1927/04/13 01:42:00.00, Stop: 1927/04/14 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3726 - STARLINK-1174,
       Rise,         Set, Duration (s),
    2827.704,    4495.347,    1667.643,
   12428.876,   22442.612,   10013.737,
   30105.438,   35844.827,    5739.389,
   36640.329,   41986.624,    5346.295,
   50108.689,   60172.952,   10064.263,
   67795.801,   68779.202,     983.401,
   73986.697,   77153.417,    3166.720,
   83419.239,   86400.000,    2980.761,
Is_True,          46.2526%,
Analysis,STARLINK-3726 - STARLINK-1102,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3726 - STARLINK-3641,
       Rise,         Set, Duration (s),
       0.000,    5398.869,    5398.869,
   11746.837,   21071.522,    9324.685,
   27198.006,   53398.463,   26200.457,
   54155.053,   68322.291,   14167.238,
   68706.221,   74625.810,    5919.589,
   81956.615,   86400.000,    4443.385,
Is_True,          75.7572%,
Analysis,STARLINK-3726 - STARLINK-1442,
       Rise,         Set, Duration (s),
    2813.634,    9297.694,    6484.060,
   21910.509,   30704.335,    8793.825,
   32548.142,   39508.229,    6960.087,
   41934.740,   68322.295,   26387.554,
   68920.678,   77828.424,    8907.747,
   81900.369,   86400.000,    4499.631,
Is_True,          71.7973%,
Analysis,STARLINK-3726 - STARLINK-1916,
       Rise,         Set, Duration (s),
       0.000,    6748.862,    6748.862,
    9489.806,   22428.553,   12938.747,
   26674.181,   53401.979,   26727.797,
   54042.549,   68329.319,   14286.770,
   68924.190,   77663.303,    8739.113,
   82012.869,   86400.000,    4387.131,
Is_True,          85.4496%,
Analysis,STARLINK-3726 - STARLINK-3694,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3726 - STARLINK-2116,
       Rise,         Set, Duration (s),
       0.000,    6973.862,    6973.862,
    9271.841,   27216.828,   17944.987,
   29061.298,   42440.140,   13378.842,
   44114.548,   62981.936,   18867.388,
   65049.978,   77434.667,   12384.689,
   82069.235,   86400.000,    4330.765,
Is_True,          85.5099%,
Analysis,STARLINK-3726 - STARLINK-1161,
       Rise,         Set, Duration (s),
       0.000,   21068.010,   21068.010,
   27162.846,   63882.057,   36719.211,
   65039.428,   77666.939,   12627.512,
   82069.119,   86400.000,    4330.881,
Is_True,          86.5111%,
Analysis,STARLINK-3726 - STARLINK-2251,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3726 - STARLINK-1829,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3726 - STARLINK-2477,
       Rise,         Set, Duration (s),
       0.000,    6973.866,    6973.866,
    9261.287,   22453.163,   13191.876,
   26719.884,   35292.994,    8573.110,
   36172.627,   50248.463,   14075.836,
   54264.037,   68322.288,   14058.251,
   68702.709,   74625.807,    5923.098,
   81956.615,   86400.000,    4443.385,
Is_True,          77.8234%,
Analysis,STARLINK-3726 - STARLINK-2727,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3726 - STARLINK-1653,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3726 - STARLINK-1141,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3726 - STARLINK-3241,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3726 - STARLINK-1898,
