
SOAP Analysis Report Output for starlink_80_sats_5.orb,
Generated: Mon Jan 09 14:05:52 2023,
Start: 2010/08/06 01:42:00.00, Stop: 2010/08/07 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3200 - STARLINK-1416,
       Rise,         Set, Duration (s),
     562.969,   10574.824,   10011.856,
   11609.831,   24524.553,   12914.723,
   25425.770,   35886.796,   10461.026,
   39712.695,   50286.954,   10574.259,
   54225.089,   67949.871,   13724.782,
   72000.302,   86174.495,   14174.193,
Is_True,          83.1723%,
Analysis,STARLINK-3200 - STARLINK-3283,
       Rise,         Set, Duration (s),
       0.000,    6974.888,    6974.888,
    7425.108,   14174.409,    6749.301,
   14514.364,   59849.932,   45335.568,
   63225.203,   78748.605,   15523.402,
   79200.898,   86400.000,    7199.102,
Is_True,          94.6554%,
Analysis,STARLINK-3200 - STARLINK-3244,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3200 - STARLINK-1419,
       Rise,         Set, Duration (s),
       0.000,    3037.070,    3037.070,
    3938.102,   14061.829,   10123.727,
   14962.950,   25199.530,   10236.580,
   28913.305,   39374.710,   10461.405,
   43200.689,   53887.016,   10686.327,
   57825.256,   71662.147,   13836.891,
   75712.824,   86400.000,   10687.176,
Is_True,          79.9412%,
Analysis,STARLINK-3200 - STARLINK-1585,
       Rise,         Set, Duration (s),
       0.000,    3149.112,    3149.112,
    3938.416,   14061.842,   10123.426,
   14962.814,   25199.100,   10236.287,
   28912.602,   39262.091,   10349.489,
   40163.279,   53662.194,   13498.915,
   57600.109,   68399.477,   10799.368,
   72338.058,   86400.000,   14061.942,
Is_True,          83.5863%,
Analysis,STARLINK-3200 - STARLINK-3750,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3200 - STARLINK-3517,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3200 - STARLINK-3319,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3200 - STARLINK-2496,
       Rise,         Set, Duration (s),
       0.000,    3599.594,    3599.594,
    7200.121,   17436.748,   10236.627,
   18225.575,   28574.633,   10349.058,
   29475.340,   42749.921,   13274.581,
   43762.618,   57374.314,   13611.696,
   61200.389,   75149.606,   13949.217,
   76050.488,   86400.000,   10349.512,
Is_True,          87.2341%,
Analysis,STARLINK-3200 - STARLINK-1076,
       Rise,         Set, Duration (s),
       0.000,     314.394,     314.394,
   10372.370,   11339.695,     967.326,
   19800.768,   25085.514,    5284.747,
   28126.066,   29226.829,    1100.763,
   37914.163,   50152.758,   12238.595,
   50738.148,   57126.652,    6388.504,
   57735.987,   77285.834,   19549.847,
   84827.232,   86400.000,    1572.768,
Is_True,          54.8807%,
Analysis,STARLINK-3200 - STARLINK-3124,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3200 - STARLINK-2251,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3200 - STARLINK-2450,
       Rise,         Set, Duration (s),
       0.000,    3261.971,    3261.971,
    4162.832,   14062.452,    9899.620,
   15075.340,   28124.183,   13048.842,
   28913.121,   39486.779,   10573.659,
   43200.341,   53887.275,   10686.934,
   57825.212,   71662.495,   13837.283,
   75825.273,   86400.000,   10574.727,
Is_True,          83.1980%,
Analysis,STARLINK-3200 - STARLINK-2649,
       Rise,         Set, Duration (s),
       0.000,    6974.079,    6974.079,
    7313.805,   11362.180,    4048.375,
