
SOAP Analysis Report Output for starlink_80_sats_3.orb,
Generated: Mon Jan 09 14:04:27 2023,
Start: 1949/03/29 01:42:00.00, Stop: 1949/03/30 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3218 - STARLINK-3684,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3218 - STARLINK-1866,
       Rise,         Set, Duration (s),
       0.000,    3584.103,    3584.103,
    5436.993,   35920.820,   30483.827,
   38294.022,   49884.884,   11590.862,
   52715.115,   60741.134,    8026.019,
   64823.844,   71055.976,    6232.132,
   80129.958,   86400.000,    6270.042,
Is_True,          76.6053%,
Analysis,STARLINK-3218 - STARLINK-3532,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3218 - STARLINK-1606,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3218 - STARLINK-2143,
       Rise,         Set, Duration (s),
    2786.212,    8949.859,    6163.648,
   10886.212,   20692.965,    9806.753,
   28808.866,   39485.667,   10676.801,
   43300.275,   53941.914,   10641.640,
   54065.117,   80948.943,   26883.827,
Is_True,          74.2739%,
Analysis,STARLINK-3218 - STARLINK-1442,
       Rise,         Set, Duration (s),
       0.000,    5370.036,    5370.036,
    7293.242,   50383.187,   43089.945,
   50872.931,   66499.729,   15626.798,
   68429.045,   86400.000,   17970.955,
Is_True,          94.9742%,
Analysis,STARLINK-3218 - STARLINK-1059,
       Rise,         Set, Duration (s),
       0.000,    3527.850,    3527.850,
    5465.114,   16992.695,   11527.581,
   18093.243,   46763.009,   28669.766,
   46865.117,   57598.161,   10733.045,
   58072.932,   68320.818,   10247.886,
   68444.022,   86400.000,   17955.978,
Is_True,          95.6737%,
Analysis,STARLINK-3218 - STARLINK-1929,
       Rise,         Set, Duration (s),
       0.000,   10784.101,   10784.101,
   31057.948,   39113.010,    8055.062,
   41872.929,   46327.070,    4454.141,
   46822.929,   53970.039,    7147.110,
   60336.990,   81884.100,   21547.110,
   83708.865,   86400.000,    2691.135,
Is_True,          63.2855%,
Analysis,STARLINK-3218 - STARLINK-2256,
       Rise,         Set, Duration (s),
       0.000,    3563.007,    3563.007,
    5415.901,   35520.037,   30104.136,
   38251.838,   44513.008,    6261.171,
   47308.083,   57563.006,   10254.923,
   61222.927,   78298.163,   17075.236,
   79665.895,   86400.000,    6734.105,
Is_True,          85.6396%,
Analysis,STARLINK-3218 - STARLINK-1131,
       Rise,         Set, Duration (s),
    1858.085,   14313.791,   12455.705,
   14437.905,   25170.037,   10732.132,
   32472.151,   38656.894,    6184.743,
   39650.135,   62977.068,   23326.933,
   64864.198,   86400.000,   21535.802,
Is_True,          85.9205%,
Analysis,STARLINK-3218 - STARLINK-1973,
       Rise,         Set, Duration (s),
       0.000,    3555.061,    3555.061,
    5486.208,   50383.184,   44896.976,
   50872.931,   82763.007,   31890.076,
   83273.847,   86400.000,    3126.153,
Is_True,          96.6068%,
Analysis,STARLINK-3218 - STARLINK-3149,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3218 - STARLINK-3319,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3218 - STARLINK-2663,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3218 - STARLINK-2634,
       Rise,         Set, Duration (s),
       0.000,   16099.729,   16099.729,
   23465.119,   46720.822,   23255.703,
   46829.961,   53548.166,    6718.205,
