
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
       Rise,         Set, Duration (s),
       0.000,   13010.263,   13010.263,
   14869.540,   21108.654,    6239.114,
   26147.964,   49003.562,   22855.598,
   50863.295,   57102.468,    6239.173,
   62138.138,   85017.590,   22879.452,
Is_True,          82.4347%,
Analysis,STARLINK-3255 - STARLINK-2390,
       Rise,         Set, Duration (s),
   57443.776,   57845.539,     401.763,
   71309.495,   72147.697,     838.203,
   82533.783,   83455.528,     921.745,
Is_True,           2.5020%,
Analysis,STARLINK-3255 - STARLINK-1138,
       Rise,         Set, Duration (s),
     677.411,   10736.882,   10059.471,
   14519.273,   24583.789,   10064.516,
   32041.861,   32594.162,     552.300,
Is_True,          23.9309%,
Analysis,STARLINK-3255 - STARLINK-2624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3255 - STARLINK-3568,
       Rise,         Set, Duration (s),
       0.000,    1683.815,    1683.815,
   10911.595,   26887.732,   15976.137,
   36121.182,   50281.653,   14160.471,
   58608.269,   73686.836,   15078.567,
   82018.284,   86400.000,    4381.716,
Is_True,          59.3527%,
Analysis,STARLINK-3255 - STARLINK-1433,
       Rise,         Set, Duration (s),
   14225.381,   14692.038,     466.656,
   28128.058,   29012.660,     884.602,
   39396.796,   40319.893,     923.097,
   53647.430,   54291.616,     644.187,
Is_True,           3.3779%,
Analysis,STARLINK-3255 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3255 - STARLINK-1378,
       Rise,         Set, Duration (s),
   28399.969,   35361.421,    6961.452,
   36627.947,   43886.554,    7258.607,
   53799.796,   54881.944,    1082.148,
Is_True,          17.7109%,
Analysis,STARLINK-3255 - STARLINK-1580,
       Rise,         Set, Duration (s),
   26077.565,   62699.708,   36622.143,
Is_True,          42.3867%,
Analysis,STARLINK-3255 - STARLINK-3641,
       Rise,         Set, Duration (s),
   39074.109,   39845.947,     771.838,
   50279.020,   51170.209,     891.189,
   64396.735,   65213.833,     817.098,
Is_True,           2.8705%,
Analysis,STARLINK-3255 - STARLINK-3321,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3255 - FALCON 9 DEB11,
       Rise,         Set, Duration (s),
       0.000,    3481.109,    3481.109,
    9908.163,   13268.624,    3360.461,
   16456.894,   21599.747,    5142.853,
   37199.081,   44698.297,    7499.215,
   47079.731,   54782.935,    7703.204,
   61425.170,   71818.775,   10393.605,
   72152.221,   81850.611,    9698.390,
   85968.462,   86400.000,     431.538,
Is_True,          55.2203%,
Analysis,STARLINK-3255 - STARLINK-1644,
       Rise,         Set, Duration (s),
   17318.690,   18613.108,    1294.418,
   25568.190,   35542.906,    9974.716,
   36658.246,   43934.735,    7276.489,
