
SOAP Analysis Report Output for starlink_20_sats_48.orb,
Generated: Mon Jan 09 13:33:54 2023,
Start: 1961/04/04 01:42:00.00, Stop: 1961/04/05 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1369 - FALCON 9 DEB2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1012,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-3638,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1738,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-3140,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-3282,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-3395,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-2735,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1102,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-2128,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1451,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1103,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-3053,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1245,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - FALCON 9 DEB9,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1258,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - STARLINK-1336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1369 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1012,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-3638,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1738,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-3140,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-3282,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-3395,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-2735,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1102,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-2128,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1451,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1103,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-3053,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1245,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - FALCON 9 DEB9,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1258,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - STARLINK-1336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,FALCON 9 DEB2 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-3638,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1738,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-3140,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-3282,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-3395,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-2735,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1102,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-2128,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1451,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1103,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-3053,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1245,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - FALCON 9 DEB9,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1258,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - STARLINK-1336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1012 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3638 - STARLINK-1738,
       Rise,         Set, Duration (s),
       0.000,   35774.957,   35774.957,
   39747.958,   57564.553,   17816.595,
   57937.539,   67914.544,    9977.005,
   68435.232,   80999.961,   12564.730,
   83060.229,   86400.000,    3339.771,
Is_True,          91.9827%,
Analysis,STARLINK-3638 - STARLINK-3140,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3638 - STARLINK-3282,
       Rise,         Set, Duration (s),
       0.000,   10462.467,   10462.467,
   11285.459,   42827.046,   31541.587,
   43460.462,   53099.966,    9639.504,
   55912.552,   71739.782,   15827.230,
   72147.956,   86400.000,   14252.044,
Is_True,          94.5866%,
Analysis,STARLINK-3638 - STARLINK-3395,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3638 - STARLINK-2735,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3638 - STARLINK-1102,
