
SOAP Analysis Report Output for starlink_20_sats_11.orb,
Generated: Mon Jan 09 13:30:30 2023,
Start: 1983/08/16 01:42:00.00, Stop: 1983/08/17 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,     Distance STARLINK-3173 - STARLINK-3587,Distance STARLINK-3173 - STARLINK-1813,Distance STARLINK-3173 - STARLINK-1833,Distance STARLINK-3173 - STARLINK-3771,Distance STARLINK-3173 - STARLINK-2266,Distance STARLINK-3173 - STARLINK-3522,Distance STARLINK-3173 - STARLINK-2628,Distance STARLINK-3173 - STARLINK-2256,Distance STARLINK-3173 - STARLINK-1375,Distance STARLINK-3173 - STARLINK-2450,Distance STARLINK-3173 - STARLINK-2265,Distance STARLINK-3173 - STARLINK-3712,Distance STARLINK-3173 - STARLINK-1965,Distance STARLINK-3173 - STARLINK-1811,Distance STARLINK-3173 - STARLINK-1129,Distance STARLINK-3173 - STARLINK-3726,Distance STARLINK-3173 - STARLINK-2249,Distance STARLINK-3173 - STARLINK-3350,Distance STARLINK-3173 - STARLINK-1080,Distance STARLINK-3173 - IOAG-Equatorial,Distance STARLINK-3173 - IOAG-North1,Distance STARLINK-3173 - IOAG-North2,Distance STARLINK-3173 - IOAG-South1,Distance STARLINK-3173 - IOAG-South2,Distance STARLINK-3587 - STARLINK-1813,Distance STARLINK-3587 - STARLINK-1833,Distance STARLINK-3587 - STARLINK-3771,Distance STARLINK-3587 - STARLINK-2266,Distance STARLINK-3587 - STARLINK-3522,Distance STARLINK-3587 - STARLINK-2628,Distance STARLINK-3587 - STARLINK-2256,Distance STARLINK-3587 - STARLINK-1375,Distance STARLINK-3587 - STARLINK-2450,Distance STARLINK-3587 - STARLINK-2265,Distance STARLINK-3587 - STARLINK-3712,Distance STARLINK-3587 - STARLINK-1965,Distance STARLINK-3587 - STARLINK-1811,Distance STARLINK-3587 - STARLINK-1129,Distance STARLINK-3587 - STARLINK-3726,Distance STARLINK-3587 - STARLINK-2249,Distance STARLINK-3587 - STARLINK-3350,Distance STARLINK-3587 - STARLINK-1080,Distance STARLINK-3587 - IOAG-Equatorial,Distance STARLINK-3587 - IOAG-North1,Distance STARLINK-3587 - IOAG-North2,Distance STARLINK-3587 - IOAG-South1,Distance STARLINK-3587 - IOAG-South2,Distance STARLINK-1813 - STARLINK-1833,Distance STARLINK-1813 - STARLINK-3771,Distance STARLINK-1813 - STARLINK-2266,Distance STARLINK-1813 - STARLINK-3522,Distance STARLINK-1813 - STARLINK-2628,Distance STARLINK-1813 - STARLINK-2256,Distance STARLINK-1813 - STARLINK-1375,Distance STARLINK-1813 - STARLINK-2450,Distance STARLINK-1813 - STARLINK-2265,Distance STARLINK-1813 - STARLINK-3712,Distance STARLINK-1813 - STARLINK-1965,Distance STARLINK-1813 - STARLINK-1811,Distance STARLINK-1813 - STARLINK-1129,Distance STARLINK-1813 - STARLINK-3726,Distance STARLINK-1813 - STARLINK-2249,Distance STARLINK-1813 - STARLINK-3350,Distance STARLINK-1813 - STARLINK-1080,Distance STARLINK-1813 - IOAG-Equatorial,Distance STARLINK-1813 - IOAG-North1,Distance STARLINK-1813 - IOAG-North2,Distance STARLINK-1813 - IOAG-South1,Distance STARLINK-1813 - IOAG-South2,Distance STARLINK-1833 - STARLINK-3771,Distance STARLINK-1833 - STARLINK-2266,Distance STARLINK-1833 - STARLINK-3522,Distance STARLINK-1833 - STARLINK-2628,Distance STARLINK-1833 - STARLINK-2256,Distance STARLINK-1833 - STARLINK-1375,Distance STARLINK-1833 - STARLINK-2450,Distance STARLINK-1833 - STARLINK-2265,Distance STARLINK-1833 - STARLINK-3712,Distance STARLINK-1833 - STARLINK-1965,Distance STARLINK-1833 - STARLINK-1811,Distance STARLINK-1833 - STARLINK-1129,Distance STARLINK-1833 - STARLINK-3726,Distance STARLINK-1833 - STARLINK-2249,Distance STARLINK-1833 - STARLINK-3350,Distance STARLINK-1833 - STARLINK-1080,Distance STARLINK-1833 - IOAG-Equatorial,Distance STARLINK-1833 - IOAG-North1,Distance STARLINK-1833 - IOAG-North2,Distance STARLINK-1833 - IOAG-South1,Distance STARLINK-1833 - IOAG-South2,Distance STARLINK-3771 - STARLINK-2266,Distance STARLINK-3771 - STARLINK-3522,Distance STARLINK-3771 - STARLINK-2628,Distance STARLINK-3771 - STARLINK-2256,Distance STARLINK-3771 - STARLINK-1375,Distance STARLINK-3771 - STARLINK-2450,Distance STARLINK-3771 - STARLINK-2265,Distance STARLINK-3771 - STARLINK-3712,Distance STARLINK-3771 - STARLINK-1965,Distance STARLINK-3771 - STARLINK-1811,Distance STARLINK-3771 - STARLINK-1129,Distance STARLINK-3771 - STARLINK-3726,Distance STARLINK-3771 - STARLINK-2249,Distance STARLINK-3771 - STARLINK-3350,Distance STARLINK-3771 - STARLINK-1080,Distance STARLINK-3771 - IOAG-Equatorial,Distance STARLINK-3771 - IOAG-North1,Distance STARLINK-3771 - IOAG-North2,Distance STARLINK-3771 - IOAG-South1,Distance STARLINK-3771 - IOAG-South2,Distance STARLINK-2266 - STARLINK-3522,Distance STARLINK-2266 - STARLINK-2628,Distance STARLINK-2266 - STARLINK-2256,Distance STARLINK-2266 - STARLINK-1375,Distance STARLINK-2266 - STARLINK-2450,Distance STARLINK-2266 - STARLINK-2265,Distance STARLINK-2266 - STARLINK-3712,Distance STARLINK-2266 - STARLINK-1965,Distance STARLINK-2266 - STARLINK-1811,Distance STARLINK-2266 - STARLINK-1129,Distance STARLINK-2266 - STARLINK-3726,Distance STARLINK-2266 - STARLINK-2249,Distance STARLINK-2266 - STARLINK-3350,Distance STARLINK-2266 - STARLINK-1080,Distance STARLINK-2266 - IOAG-Equatorial,Distance STARLINK-2266 - IOAG-North1,Distance STARLINK-2266 - IOAG-North2,Distance STARLINK-2266 - IOAG-South1,Distance STARLINK-2266 - IOAG-South2,Distance STARLINK-3522 - STARLINK-2628,Distance STARLINK-3522 - STARLINK-2256,Distance STARLINK-3522 - STARLINK-1375,Distance STARLINK-3522 - STARLINK-2450,Distance STARLINK-3522 - STARLINK-2265,Distance STARLINK-3522 - STARLINK-3712,Distance STARLINK-3522 - STARLINK-1965,Distance STARLINK-3522 - STARLINK-1811,Distance STARLINK-3522 - STARLINK-1129,Distance STARLINK-3522 - STARLINK-3726,Distance STARLINK-3522 - STARLINK-2249,Distance STARLINK-3522 - STARLINK-3350,Distance STARLINK-3522 - STARLINK-1080,Distance STARLINK-3522 - IOAG-Equatorial,Distance STARLINK-3522 - IOAG-North1,Distance STARLINK-3522 - IOAG-North2,Distance STARLINK-3522 - IOAG-South1,Distance STARLINK-3522 - IOAG-South2,Distance STARLINK-2628 - STARLINK-2256,Distance STARLINK-2628 - STARLINK-1375,Distance STARLINK-2628 - STARLINK-2450,Distance STARLINK-2628 - STARLINK-2265,Distance STARLINK-2628 - STARLINK-3712,Distance STARLINK-2628 - STARLINK-1965,Distance STARLINK-2628 - STARLINK-1811,Distance STARLINK-2628 - STARLINK-1129,Distance STARLINK-2628 - STARLINK-3726,Distance STARLINK-2628 - STARLINK-2249,Distance STARLINK-2628 - STARLINK-3350,Distance STARLINK-2628 - STARLINK-1080,Distance STARLINK-2628 - IOAG-Equatorial,Distance STARLINK-2628 - IOAG-North1,Distance STARLINK-2628 - IOAG-North2,Distance STARLINK-2628 - IOAG-South1,Distance STARLINK-2628 - IOAG-South2,Distance STARLINK-2256 - STARLINK-1375,Distance STARLINK-2256 - STARLINK-2450,Distance STARLINK-2256 - STARLINK-2265,Distance STARLINK-2256 - STARLINK-3712,Distance STARLINK-2256 - STARLINK-1965,Distance STARLINK-2256 - STARLINK-1811,Distance STARLINK-2256 - STARLINK-1129,Distance STARLINK-2256 - STARLINK-3726,Distance STARLINK-2256 - STARLINK-2249,Distance STARLINK-2256 - STARLINK-3350,Distance STARLINK-2256 - STARLINK-1080,Distance STARLINK-2256 - IOAG-Equatorial,Distance STARLINK-2256 - IOAG-North1,Distance STARLINK-2256 - IOAG-North2,Distance STARLINK-2256 - IOAG-South1,Distance STARLINK-2256 - IOAG-South2,Distance STARLINK-1375 - STARLINK-2450,Distance STARLINK-1375 - STARLINK-2265,Distance STARLINK-1375 - STARLINK-3712,Distance STARLINK-1375 - STARLINK-1965,Distance STARLINK-1375 - STARLINK-1811,Distance STARLINK-1375 - STARLINK-1129,Distance STARLINK-1375 - STARLINK-3726,Distance STARLINK-1375 - STARLINK-2249,Distance STARLINK-1375 - STARLINK-3350,Distance STARLINK-1375 - STARLINK-1080,Distance STARLINK-1375 - IOAG-Equatorial,Distance STARLINK-1375 - IOAG-North1,Distance STARLINK-1375 - IOAG-North2,Distance STARLINK-1375 - IOAG-South1,Distance STARLINK-1375 - IOAG-South2,Distance STARLINK-2450 - STARLINK-2265,Distance STARLINK-2450 - STARLINK-3712,Distance STARLINK-2450 - STARLINK-1965,Distance STARLINK-2450 - STARLINK-1811,Distance STARLINK-2450 - STARLINK-1129,Distance STARLINK-2450 - STARLINK-3726,Distance STARLINK-2450 - STARLINK-2249,Distance STARLINK-2450 - STARLINK-3350,Distance STARLINK-2450 - STARLINK-1080,Distance STARLINK-2450 - IOAG-Equatorial,Distance STARLINK-2450 - IOAG-North1,Distance STARLINK-2450 - IOAG-North2,Distance STARLINK-2450 - IOAG-South1,Distance STARLINK-2450 - IOAG-South2,Distance STARLINK-2265 - STARLINK-3712,Distance STARLINK-2265 - STARLINK-1965,Distance STARLINK-2265 - STARLINK-1811,Distance STARLINK-2265 - STARLINK-1129,Distance STARLINK-2265 - STARLINK-3726,Distance STARLINK-2265 - STARLINK-2249,Distance STARLINK-2265 - STARLINK-3350,Distance STARLINK-2265 - STARLINK-1080,Distance STARLINK-2265 - IOAG-Equatorial,Distance STARLINK-2265 - IOAG-North1,Distance STARLINK-2265 - IOAG-North2,Distance STARLINK-2265 - IOAG-South1,Distance STARLINK-2265 - IOAG-South2,Distance STARLINK-3712 - STARLINK-1965,Distance STARLINK-3712 - STARLINK-1811,Distance STARLINK-3712 - STARLINK-1129,Distance STARLINK-3712 - STARLINK-3726,Distance STARLINK-3712 - STARLINK-2249,Distance STARLINK-3712 - STARLINK-3350,Distance STARLINK-3712 - STARLINK-1080,Distance STARLINK-3712 - IOAG-Equatorial,Distance STARLINK-3712 - IOAG-North1,Distance STARLINK-3712 - IOAG-North2,Distance STARLINK-3712 - IOAG-South1,Distance STARLINK-3712 - IOAG-South2,Distance STARLINK-1965 - STARLINK-1811,Distance STARLINK-1965 - STARLINK-1129,Distance STARLINK-1965 - STARLINK-3726,Distance STARLINK-1965 - STARLINK-2249,Distance STARLINK-1965 - STARLINK-3350,Distance STARLINK-1965 - STARLINK-1080,Distance STARLINK-1965 - IOAG-Equatorial,Distance STARLINK-1965 - IOAG-North1,Distance STARLINK-1965 - IOAG-North2,Distance STARLINK-1965 - IOAG-South1,Distance STARLINK-1965 - IOAG-South2,Distance STARLINK-1811 - STARLINK-1129,Distance STARLINK-1811 - STARLINK-3726,Distance STARLINK-1811 - STARLINK-2249,Distance STARLINK-1811 - STARLINK-3350,Distance STARLINK-1811 - STARLINK-1080,Distance STARLINK-1811 - IOAG-Equatorial,Distance STARLINK-1811 - IOAG-North1,Distance STARLINK-1811 - IOAG-North2,Distance STARLINK-1811 - IOAG-South1,Distance STARLINK-1811 - IOAG-South2,Distance STARLINK-1129 - STARLINK-3726,Distance STARLINK-1129 - STARLINK-2249,Distance STARLINK-1129 - STARLINK-3350,Distance STARLINK-1129 - STARLINK-1080,Distance STARLINK-1129 - IOAG-Equatorial,Distance STARLINK-1129 - IOAG-North1,Distance STARLINK-1129 - IOAG-North2,Distance STARLINK-1129 - IOAG-South1,Distance STARLINK-1129 - IOAG-South2,Distance STARLINK-3726 - STARLINK-2249,Distance STARLINK-3726 - STARLINK-3350,Distance STARLINK-3726 - STARLINK-1080,Distance STARLINK-3726 - IOAG-Equatorial,Distance STARLINK-3726 - IOAG-North1,Distance STARLINK-3726 - IOAG-North2,Distance STARLINK-3726 - IOAG-South1,Distance STARLINK-3726 - IOAG-South2,Distance STARLINK-2249 - STARLINK-3350,Distance STARLINK-2249 - STARLINK-1080,Distance STARLINK-2249 - IOAG-Equatorial,Distance STARLINK-2249 - IOAG-North1,Distance STARLINK-2249 - IOAG-North2,Distance STARLINK-2249 - IOAG-South1,Distance STARLINK-2249 - IOAG-South2,Distance STARLINK-3350 - STARLINK-1080,Distance STARLINK-3350 - IOAG-Equatorial,Distance STARLINK-3350 - IOAG-North1,Distance STARLINK-3350 - IOAG-North2,Distance STARLINK-3350 - IOAG-South1,Distance STARLINK-3350 - IOAG-South2,Distance STARLINK-1080 - IOAG-Equatorial,Distance STARLINK-1080 - IOAG-North1,Distance STARLINK-1080 - IOAG-North2,Distance STARLINK-1080 - IOAG-South1,Distance STARLINK-1080 - IOAG-South2,Distance IOAG-Equatorial - IOAG-North1,Distance IOAG-Equatorial - IOAG-North2,Distance IOAG-Equatorial - IOAG-South1,Distance IOAG-Equatorial - IOAG-South2,Distance IOAG-North1 - IOAG-North2,Distance IOAG-North1 - IOAG-South1,Distance IOAG-North1 - IOAG-South2,Distance IOAG-North2 - IOAG-South1,Distance IOAG-North2 - IOAG-South2,Distance IOAG-South1 - IOAG-South2,
SECONDS,        km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,
       0.000,      0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,          8476.6194,             0.0000,             0.0000,       1102213450.0768,      13184.3861,         13341.3493,          4633.3891,         13382.9072,       1075822753.5588,          0.0000,         11203.7741,         11206.5316,       1451703381.6164,    1292691192201.4470,    7654.6108,             0.0000,          3072.0504,        394566.3509,        393313.7797,        402324.0653,        396237.1366,        391366.4453,             0.0000,             0.0000,       1102208659.4293,      13016.1378,         12883.2245,          5716.1700,          8945.9455,       1075824699.6627,          0.0000,         10997.6470,         10897.9559,       1451706264.2468,    1292691187570.2053,   12656.0589,             0.0000,          5852.4310,        386632.4983,        385378.6267,        394433.6140,        388318.8818,        383391.4271,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       1102216227.7346,    1102215675.4650,    1102213001.3206,    1102212958.9217,    2118399725.3562,          0.0000,       1102219019.2471,    1102218895.3617,    1426804659.6533,    1293104084924.6855, 1102219847.2726,          0.0000,       1102211369.8442,    1102104238.3204,    1102107065.7303,    1102107642.5571,    1102108570.7005,    1102100133.6437,        613.2011,         13638.9695,          7141.5625,       1075821067.7746,          0.0000,          8400.9814,          8375.6463,       1451703157.2572,    1292691183064.2698,    9413.8510,             0.0000,         13817.8536,        386759.4358,        385629.8326,        394413.9621,        388520.9243,        383673.2195,         13758.3946,          6937.3932,       1075821569.2450,          0.0000,          8752.7080,          8719.0457,       1451702922.7354,    1292691183092.4746,    9880.3753,             0.0000,         13879.6048,        386413.4542,        385290.1905,        394074.4212,        388184.2058,        383321.7073,         11484.5730,       1075821126.3944,          0.0000,          9498.4375,          9464.4017,       1451707328.2622,    1292691188952.6445,    9139.7173,             0.0000,          2863.5724,        391013.0667,        389708.5177,        398770.8659,        392628.5598,        387808.1178,       1075821114.2747,          0.0000,          7347.4886,          7217.4787,       1451707648.0339,    1292691180690.6875,   12117.6438,             0.0000,         12437.6979,        382196.8672,        380994.4606,        389898.7566,        383899.3412,        379058.8114,             0.0000,       1075815584.8706,    1075815671.1155,    2382779315.4662,    1292045208662.7544, 1075817381.9424,          0.0000,       1075823608.0182,    1075816093.2763,    1075811369.0821,    1075810981.2057,    1075809060.6157,    1075820380.2638,          0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,           145.1710,       1451710250.0093,    1292691181225.4104,    7101.4478,             0.0000,         11353.4096,        386930.0707,        385646.9627,        394566.3186,        388520.9800,        383846.0556,       1451710250.4119,    1292691181201.9321,    7191.3216,             0.0000,         11320.7789,        386821.6676,        385539.0424,        394459.3977,        388413.6700,        383736.3003,       1293715837553.0215, 1451705361.2006,          0.0000,       1451704581.4586,    1451876645.2253,    1451882147.8552,    1451882388.2606,    1451884768.7066,    1451873627.2752,    1292691187284.9634,       0.0000,       1292691191346.7820, 1292690881751.8706, 1292690880984.1204, 1292690872167.4907, 1292690877220.8701, 1292690887447.4978,       0.0000,          9703.0157,        393686.4477,        392440.8236,        401334.8076,        395321.9709,        390593.3908,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,        392354.8344,        391087.8113,        400138.7232,        394020.4565,        389128.1874,          7162.3821,          9692.5328,          8418.4357,          6369.9101,         12264.7417,          3765.3504,          9342.0054,          9883.9258,         15757.0672,         12264.7417,
    3600.000,      0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,          7117.5449,             0.0000,             0.0000,       1102810664.6835,      12361.9464,         11879.6906,          9724.7483,         13727.6467,       1081934251.3853,          0.0000,         11247.6620,         11040.6569,       1450557939.5080,    1295362174889.0222,    5636.7868,             0.0000,          3956.5847,        387242.9061,        382381.0224,        392644.4656,        383357.5976,        381583.5092,             0.0000,             0.0000,       1102805988.9710,      12863.4285,         12808.5409,          6828.2477,         11465.8623,       1081929944.0489,          0.0000,         10276.3318,          9632.5833,       1450558011.5234,    1295362177149.3584,    8991.0479,             0.0000,          6046.7003,        389789.9516,        384975.5350,        395201.7950,        386055.7081,        384116.9248,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       1102811437.5730,    1102811301.9453,    1102811252.5616,    1102811738.4295,    1694217775.0709,          0.0000,       1102814796.6073,    1102814063.8427,    1549880344.6000,    1295777373662.0945, 1102814767.2258,          0.0000,       1102811318.5334,    1102947156.0331,    1102943920.9383,    1102945899.1217,    1102951396.3137,    1102948263.3666,       1095.7764,         13169.8962,          7566.7490,       1081929927.2699,          0.0000,         11832.3214,         12109.2237,       1450569951.1200,    1295362164303.1873,   13075.8387,             0.0000,         13638.8333,        398368.1504,        393552.4619,        403828.8340,        394439.7422,        392645.8421,         13515.7059,          8485.6202,       1081931009.1063,          0.0000,         12335.1946,         12597.9568,       1450569485.2923,    1295362164397.0950,   12964.9228,             0.0000,         13456.2124,        398095.9499,        393266.9743,        403545.9704,        394154.4534,        392385.0522,          8672.4431,       1081924635.2268,          0.0000,          4304.7260,          3460.5280,       1450560317.0653,    1295362175921.7966,    6965.0661,             0.0000,          6565.9153,        388332.1552,        383592.6987,        393824.1721,        384592.4034,        382575.5426,       1081923268.1049,          0.0000,          6938.8840,          7087.9287,       1450568678.9334,    1295362167960.9773,   12115.8702,             0.0000,         12744.2092,        396279.9681,        391549.7796,        401797.1389,        392478.4351,        390496.8283,             0.0000,       1081923351.9369,    1081923378.9163,    2068113854.0031,    1295375748531.2107, 1081929777.7662,          0.0000,       1081930853.4548,    1081967457.1151,    1081971927.9940,    1081972059.6845,    1081971786.8890,    1081962677.8839,          0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,           885.8920,       1450563672.5855,    1295362172451.3262,    7216.6126,             0.0000,          8728.7667,        389402.0436,        384682.0954,        394930.2481,        385599.3410,        383608.4228,       1450563051.7954,    1295362173182.7493,    7179.1160,             0.0000,          8351.8815,        389230.5006,        384509.4974,        394753.4041,        385444.4655,        383442.1809,       1296714660722.0471, 1450559140.2510,          0.0000,       1450557151.9686,    1450252044.8364,    1450254445.8759,    1450245406.5686,    1450258165.3722,    1450258928.0624,    1295362174652.4746,       0.0000,       1295362176812.8738, 1295362447239.3752, 1295362443724.2527, 1295362452417.5508, 1295362438834.2200, 1295362441904.4253,       0.0000,          3604.1308,        385459.8183,        380661.2443,        390926.5447,        381581.3599,        379732.3783,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,        385695.5073,        380878.8266,        391129.6921,        381869.9237,        380001.2282,          6943.4015,          7205.8803,          9655.7754,          7506.0021,         10487.0509,          7895.3326,          9643.5329,         13594.3869,         14710.5141,         10487.0509,
