
SOAP Analysis Report Output for starlink_20_sats_42.orb,
Generated: Mon Jan 09 13:33:21 2023,
Start: 2012/10/13 01:42:00.00, Stop: 2012/10/14 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2655 - STARLINK-3591,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-2635,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-2726,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-2357,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1449,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-3877,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1137,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1262,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1457,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1689,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1551,
       Rise,         Set, Duration (s),
       0.000,     187.719,     187.719,
   13862.865,   14628.786,     765.921,
   28230.145,   29062.415,     832.270,
   42605.131,   43488.716,     883.585,
   56985.130,   57909.730,     924.601,
   71372.745,   72323.344,     950.599,
   85764.520,   86400.000,     635.480,
Is_True,           5.9956%,
Analysis,STARLINK-2655 - STARLINK-2557,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-2083,
       Rise,         Set, Duration (s),
       0.000,    3541.612,    3541.612,
    3715.060,   10685.609,    6970.548,
   12771.127,   17828.093,    5056.966,
   19968.792,   34086.805,   14118.014,
   36169.951,   50341.342,   14171.391,
   50514.279,   57597.234,    7082.954,
   57768.903,   64739.853,    6970.950,
   64913.169,   71997.223,    7084.054,
   72116.487,   79141.327,    7024.840,
   79314.644,   84427.764,    5113.120,
Is_True,          89.2760%,
Analysis,STARLINK-2655 - STARLINK-2279,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-3650,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-3764,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1448,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-2319,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2655 - STARLINK-1233,
       Rise,         Set, Duration (s),
    7040.560,   10891.184,    3850.624,
   21507.162,   25374.764,    3867.602,
   35983.593,   39867.294,    3883.701,
   53350.616,   54349.747,     999.131,
   67819.356,   68840.888,    1021.532,
   82297.617,   83322.224,    1024.607,
Is_True,          16.9528%,
Analysis,STARLINK-2655 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    6473.980,   10125.677,    3651.697,
   12283.557,   15929.605,    3646.048,
   18085.361,   27515.222,    9429.862,
   29668.908,   39106.164,    9437.256,
   41265.417,   44913.669,    3648.251,
   49834.908,   56534.020,    6699.113,
   58692.883,   68128.010,    9435.127,
   70281.834,   73918.206,    3636.372,
   76072.498,   85516.796,    9444.298,
Is_True,          68.3195%,
