
SOAP Analysis Report Output for starlink_20_sats_1.orb,
Generated: Mon Jan 09 13:29:34 2023,
Start: 2001/09/17 01:42:00.00, Stop: 2001/09/18 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,     Distance STARLINK-1539 - STARLINK-3400,Distance STARLINK-1539 - STARLINK-3834,Distance STARLINK-1539 - STARLINK-3916,Distance STARLINK-1539 - STARLINK-3655,Distance STARLINK-1539 - STARLINK-1512,Distance STARLINK-1539 - STARLINK-1913,Distance STARLINK-1539 - STARLINK-2576,Distance STARLINK-1539 - STARLINK-3321,Distance STARLINK-1539 - STARLINK-1904,Distance STARLINK-1539 - STARLINK-1477,Distance STARLINK-1539 - STARLINK-1305,Distance STARLINK-1539 - STARLINK-3571,Distance STARLINK-1539 - FALCON 9 DEB7,Distance STARLINK-1539 - STARLINK-3397,Distance STARLINK-1539 - STARLINK-1035,Distance STARLINK-1539 - STARLINK-3346,Distance STARLINK-1539 - STARLINK-2563,Distance STARLINK-1539 - STARLINK-2667,Distance STARLINK-1539 - STARLINK-1355,Distance STARLINK-1539 - IOAG-Equatorial,Distance STARLINK-1539 - IOAG-North1,Distance STARLINK-1539 - IOAG-North2,Distance STARLINK-1539 - IOAG-South1,Distance STARLINK-1539 - IOAG-South2,Distance STARLINK-3400 - STARLINK-3834,Distance STARLINK-3400 - STARLINK-3916,Distance STARLINK-3400 - STARLINK-3655,Distance STARLINK-3400 - STARLINK-1512,Distance STARLINK-3400 - STARLINK-1913,Distance STARLINK-3400 - STARLINK-2576,Distance STARLINK-3400 - STARLINK-3321,Distance STARLINK-3400 - STARLINK-1904,Distance STARLINK-3400 - STARLINK-1477,Distance STARLINK-3400 - STARLINK-1305,Distance STARLINK-3400 - STARLINK-3571,Distance STARLINK-3400 - FALCON 9 DEB7,Distance STARLINK-3400 - STARLINK-3397,Distance STARLINK-3400 - STARLINK-1035,Distance STARLINK-3400 - STARLINK-3346,Distance STARLINK-3400 - STARLINK-2563,Distance STARLINK-3400 - STARLINK-2667,Distance STARLINK-3400 - STARLINK-1355,Distance STARLINK-3400 - IOAG-Equatorial,Distance STARLINK-3400 - IOAG-North1,Distance STARLINK-3400 - IOAG-North2,Distance STARLINK-3400 - IOAG-South1,Distance STARLINK-3400 - IOAG-South2,Distance STARLINK-3834 - STARLINK-3916,Distance STARLINK-3834 - STARLINK-3655,Distance STARLINK-3834 - STARLINK-1512,Distance STARLINK-3834 - STARLINK-1913,Distance STARLINK-3834 - STARLINK-2576,Distance STARLINK-3834 - STARLINK-3321,Distance STARLINK-3834 - STARLINK-1904,Distance STARLINK-3834 - STARLINK-1477,Distance STARLINK-3834 - STARLINK-1305,Distance STARLINK-3834 - STARLINK-3571,Distance STARLINK-3834 - FALCON 9 DEB7,Distance STARLINK-3834 - STARLINK-3397,Distance STARLINK-3834 - STARLINK-1035,Distance STARLINK-3834 - STARLINK-3346,Distance STARLINK-3834 - STARLINK-2563,Distance STARLINK-3834 - STARLINK-2667,Distance STARLINK-3834 - STARLINK-1355,Distance STARLINK-3834 - IOAG-Equatorial,Distance STARLINK-3834 - IOAG-North1,Distance STARLINK-3834 - IOAG-North2,Distance STARLINK-3834 - IOAG-South1,Distance STARLINK-3834 - IOAG-South2,Distance STARLINK-3916 - STARLINK-3655,Distance STARLINK-3916 - STARLINK-1512,Distance STARLINK-3916 - STARLINK-1913,Distance STARLINK-3916 - STARLINK-2576,Distance STARLINK-3916 - STARLINK-3321,Distance STARLINK-3916 - STARLINK-1904,Distance STARLINK-3916 - STARLINK-1477,Distance STARLINK-3916 - STARLINK-1305,Distance STARLINK-3916 - STARLINK-3571,Distance STARLINK-3916 - FALCON 9 DEB7,Distance STARLINK-3916 - STARLINK-3397,Distance STARLINK-3916 - STARLINK-1035,Distance STARLINK-3916 - STARLINK-3346,Distance STARLINK-3916 - STARLINK-2563,Distance STARLINK-3916 - STARLINK-2667,Distance STARLINK-3916 - STARLINK-1355,Distance STARLINK-3916 - IOAG-Equatorial,Distance STARLINK-3916 - IOAG-North1,Distance STARLINK-3916 - IOAG-North2,Distance STARLINK-3916 - IOAG-South1,Distance STARLINK-3916 - IOAG-South2,Distance STARLINK-3655 - STARLINK-1512,Distance STARLINK-3655 - STARLINK-1913,Distance STARLINK-3655 - STARLINK-2576,Distance STARLINK-3655 - STARLINK-3321,Distance STARLINK-3655 - STARLINK-1904,Distance STARLINK-3655 - STARLINK-1477,Distance STARLINK-3655 - STARLINK-1305,Distance STARLINK-3655 - STARLINK-3571,Distance STARLINK-3655 - FALCON 9 DEB7,Distance STARLINK-3655 - STARLINK-3397,Distance STARLINK-3655 - STARLINK-1035,Distance STARLINK-3655 - STARLINK-3346,Distance STARLINK-3655 - STARLINK-2563,Distance STARLINK-3655 - STARLINK-2667,Distance STARLINK-3655 - STARLINK-1355,Distance STARLINK-3655 - IOAG-Equatorial,Distance STARLINK-3655 - IOAG-North1,Distance STARLINK-3655 - IOAG-North2,Distance STARLINK-3655 - IOAG-South1,Distance STARLINK-3655 - IOAG-South2,Distance STARLINK-1512 - STARLINK-1913,Distance STARLINK-1512 - STARLINK-2576,Distance STARLINK-1512 - STARLINK-3321,Distance STARLINK-1512 - STARLINK-1904,Distance STARLINK-1512 - STARLINK-1477,Distance STARLINK-1512 - STARLINK-1305,Distance STARLINK-1512 - STARLINK-3571,Distance STARLINK-1512 - FALCON 9 DEB7,Distance STARLINK-1512 - STARLINK-3397,Distance STARLINK-1512 - STARLINK-1035,Distance STARLINK-1512 - STARLINK-3346,Distance STARLINK-1512 - STARLINK-2563,Distance STARLINK-1512 - STARLINK-2667,Distance STARLINK-1512 - STARLINK-1355,Distance STARLINK-1512 - IOAG-Equatorial,Distance STARLINK-1512 - IOAG-North1,Distance STARLINK-1512 - IOAG-North2,Distance STARLINK-1512 - IOAG-South1,Distance STARLINK-1512 - IOAG-South2,Distance STARLINK-1913 - STARLINK-2576,Distance STARLINK-1913 - STARLINK-3321,Distance STARLINK-1913 - STARLINK-1904,Distance STARLINK-1913 - STARLINK-1477,Distance STARLINK-1913 - STARLINK-1305,Distance STARLINK-1913 - STARLINK-3571,Distance STARLINK-1913 - FALCON 9 DEB7,Distance STARLINK-1913 - STARLINK-3397,Distance STARLINK-1913 - STARLINK-1035,Distance STARLINK-1913 - STARLINK-3346,Distance STARLINK-1913 - STARLINK-2563,Distance STARLINK-1913 - STARLINK-2667,Distance STARLINK-1913 - STARLINK-1355,Distance STARLINK-1913 - IOAG-Equatorial,Distance STARLINK-1913 - IOAG-North1,Distance STARLINK-1913 - IOAG-North2,Distance STARLINK-1913 - IOAG-South1,Distance STARLINK-1913 - IOAG-South2,Distance STARLINK-2576 - STARLINK-3321,Distance STARLINK-2576 - STARLINK-1904,Distance STARLINK-2576 - STARLINK-1477,Distance STARLINK-2576 - STARLINK-1305,Distance STARLINK-2576 - STARLINK-3571,Distance STARLINK-2576 - FALCON 9 DEB7,Distance STARLINK-2576 - STARLINK-3397,Distance STARLINK-2576 - STARLINK-1035,Distance STARLINK-2576 - STARLINK-3346,Distance STARLINK-2576 - STARLINK-2563,Distance STARLINK-2576 - STARLINK-2667,Distance STARLINK-2576 - STARLINK-1355,Distance STARLINK-2576 - IOAG-Equatorial,Distance STARLINK-2576 - IOAG-North1,Distance STARLINK-2576 - IOAG-North2,Distance STARLINK-2576 - IOAG-South1,Distance STARLINK-2576 - IOAG-South2,Distance STARLINK-3321 - STARLINK-1904,Distance STARLINK-3321 - STARLINK-1477,Distance STARLINK-3321 - STARLINK-1305,Distance STARLINK-3321 - STARLINK-3571,Distance STARLINK-3321 - FALCON 9 DEB7,Distance STARLINK-3321 - STARLINK-3397,Distance STARLINK-3321 - STARLINK-1035,Distance STARLINK-3321 - STARLINK-3346,Distance STARLINK-3321 - STARLINK-2563,Distance STARLINK-3321 - STARLINK-2667,Distance STARLINK-3321 - STARLINK-1355,Distance STARLINK-3321 - IOAG-Equatorial,Distance STARLINK-3321 - IOAG-North1,Distance STARLINK-3321 - IOAG-North2,Distance STARLINK-3321 - IOAG-South1,Distance STARLINK-3321 - IOAG-South2,Distance STARLINK-1904 - STARLINK-1477,Distance STARLINK-1904 - STARLINK-1305,Distance STARLINK-1904 - STARLINK-3571,Distance STARLINK-1904 - FALCON 9 DEB7,Distance STARLINK-1904 - STARLINK-3397,Distance STARLINK-1904 - STARLINK-1035,Distance STARLINK-1904 - STARLINK-3346,Distance STARLINK-1904 - STARLINK-2563,Distance STARLINK-1904 - STARLINK-2667,Distance STARLINK-1904 - STARLINK-1355,Distance STARLINK-1904 - IOAG-Equatorial,Distance STARLINK-1904 - IOAG-North1,Distance STARLINK-1904 - IOAG-North2,Distance STARLINK-1904 - IOAG-South1,Distance STARLINK-1904 - IOAG-South2,Distance STARLINK-1477 - STARLINK-1305,Distance STARLINK-1477 - STARLINK-3571,Distance STARLINK-1477 - FALCON 9 DEB7,Distance STARLINK-1477 - STARLINK-3397,Distance STARLINK-1477 - STARLINK-1035,Distance STARLINK-1477 - STARLINK-3346,Distance STARLINK-1477 - STARLINK-2563,Distance STARLINK-1477 - STARLINK-2667,Distance STARLINK-1477 - STARLINK-1355,Distance STARLINK-1477 - IOAG-Equatorial,Distance STARLINK-1477 - IOAG-North1,Distance STARLINK-1477 - IOAG-North2,Distance STARLINK-1477 - IOAG-South1,Distance STARLINK-1477 - IOAG-South2,Distance STARLINK-1305 - STARLINK-3571,Distance STARLINK-1305 - FALCON 9 DEB7,Distance STARLINK-1305 - STARLINK-3397,Distance STARLINK-1305 - STARLINK-1035,Distance STARLINK-1305 - STARLINK-3346,Distance STARLINK-1305 - STARLINK-2563,Distance STARLINK-1305 - STARLINK-2667,Distance STARLINK-1305 - STARLINK-1355,Distance STARLINK-1305 - IOAG-Equatorial,Distance STARLINK-1305 - IOAG-North1,Distance STARLINK-1305 - IOAG-North2,Distance STARLINK-1305 - IOAG-South1,Distance STARLINK-1305 - IOAG-South2,Distance STARLINK-3571 - FALCON 9 DEB7,Distance STARLINK-3571 - STARLINK-3397,Distance STARLINK-3571 - STARLINK-1035,Distance STARLINK-3571 - STARLINK-3346,Distance STARLINK-3571 - STARLINK-2563,Distance STARLINK-3571 - STARLINK-2667,Distance STARLINK-3571 - STARLINK-1355,Distance STARLINK-3571 - IOAG-Equatorial,Distance STARLINK-3571 - IOAG-North1,Distance STARLINK-3571 - IOAG-North2,Distance STARLINK-3571 - IOAG-South1,Distance STARLINK-3571 - IOAG-South2,Distance FALCON 9 DEB7 - STARLINK-3397,Distance FALCON 9 DEB7 - STARLINK-1035,Distance FALCON 9 DEB7 - STARLINK-3346,Distance FALCON 9 DEB7 - STARLINK-2563,Distance FALCON 9 DEB7 - STARLINK-2667,Distance FALCON 9 DEB7 - STARLINK-1355,Distance FALCON 9 DEB7 - IOAG-Equatorial,Distance FALCON 9 DEB7 - IOAG-North1,Distance FALCON 9 DEB7 - IOAG-North2,Distance FALCON 9 DEB7 - IOAG-South1,Distance FALCON 9 DEB7 - IOAG-South2,Distance STARLINK-3397 - STARLINK-1035,Distance STARLINK-3397 - STARLINK-3346,Distance STARLINK-3397 - STARLINK-2563,Distance STARLINK-3397 - STARLINK-2667,Distance STARLINK-3397 - STARLINK-1355,Distance STARLINK-3397 - IOAG-Equatorial,Distance STARLINK-3397 - IOAG-North1,Distance STARLINK-3397 - IOAG-North2,Distance STARLINK-3397 - IOAG-South1,Distance STARLINK-3397 - IOAG-South2,Distance STARLINK-1035 - STARLINK-3346,Distance STARLINK-1035 - STARLINK-2563,Distance STARLINK-1035 - STARLINK-2667,Distance STARLINK-1035 - STARLINK-1355,Distance STARLINK-1035 - IOAG-Equatorial,Distance STARLINK-1035 - IOAG-North1,Distance STARLINK-1035 - IOAG-North2,Distance STARLINK-1035 - IOAG-South1,Distance STARLINK-1035 - IOAG-South2,Distance STARLINK-3346 - STARLINK-2563,Distance STARLINK-3346 - STARLINK-2667,Distance STARLINK-3346 - STARLINK-1355,Distance STARLINK-3346 - IOAG-Equatorial,Distance STARLINK-3346 - IOAG-North1,Distance STARLINK-3346 - IOAG-North2,Distance STARLINK-3346 - IOAG-South1,Distance STARLINK-3346 - IOAG-South2,Distance STARLINK-2563 - STARLINK-2667,Distance STARLINK-2563 - STARLINK-1355,Distance STARLINK-2563 - IOAG-Equatorial,Distance STARLINK-2563 - IOAG-North1,Distance STARLINK-2563 - IOAG-North2,Distance STARLINK-2563 - IOAG-South1,Distance STARLINK-2563 - IOAG-South2,Distance STARLINK-2667 - STARLINK-1355,Distance STARLINK-2667 - IOAG-Equatorial,Distance STARLINK-2667 - IOAG-North1,Distance STARLINK-2667 - IOAG-North2,Distance STARLINK-2667 - IOAG-South1,Distance STARLINK-2667 - IOAG-South2,Distance STARLINK-1355 - IOAG-Equatorial,Distance STARLINK-1355 - IOAG-North1,Distance STARLINK-1355 - IOAG-North2,Distance STARLINK-1355 - IOAG-South1,Distance STARLINK-1355 - IOAG-South2,Distance IOAG-Equatorial - IOAG-North1,Distance IOAG-Equatorial - IOAG-North2,Distance IOAG-Equatorial - IOAG-South1,Distance IOAG-Equatorial - IOAG-South2,Distance IOAG-North1 - IOAG-North2,Distance IOAG-North1 - IOAG-South1,Distance IOAG-North1 - IOAG-South2,Distance IOAG-North2 - IOAG-South1,Distance IOAG-North2 - IOAG-South2,Distance IOAG-South1 - IOAG-South2,
SECONDS,        km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,                 km,
       0.000,      0.0000,             0.0000,             0.0000,             0.0000,         11080.7601,         12408.0073,          6296.6861,       252147438.0645,        9676.1107,             0.0000,          8298.4004,       1075383.2900,       54219375.2566,            0.0000,         13722.4022,       273373564.4118,       10486.4524,         13030.0888,         11522.4787,        357697.9564,        356452.8148,        351989.1550,        344591.2463,        354659.5397,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,          8621.3691,         10172.9941,       252150257.3649,       12184.3914,             0.0000,         12755.7489,       1080140.9586,       54227116.6860,            0.0000,         10083.7870,       273380167.9246,        2915.7328,          5009.7944,          1051.6413,        362733.7516,        361649.5169,        356995.1463,        349605.2678,        359786.6314,         13845.4957,       252152375.9757,       12866.8132,             0.0000,          7845.1750,       1084985.4252,       54222050.3643,            0.0000,          5513.6397,       273385747.8463,        6654.2537,          8851.9494,          8380.1720,        360580.1254,        359773.5104,        354945.8625,        347624.9554,        357684.4922,       252151814.6637,        5948.3537,             0.0000,         11929.1887,       1071651.3344,       54219652.3785,            0.0000,         12995.7931,       273372782.6768,       11196.8649,         10334.1722,         10235.1503,        363726.5592,        362412.3249,        357995.4176,        350581.9030,        360674.5127,       252156982.9944,           0.0000,       252150750.8824,     252397496.8773,     281983198.4217,           0.0000,       252157461.7732,     293996402.1729,     252148998.4842,     252155257.4989,     252151294.9900,     251836350.7818,     251832531.1424,     251839149.7816,     251844350.4650,     251838262.7606,           0.0000,         10979.8610,       1072346.6451,       54215739.8020,            0.0000,          9936.4785,       273376387.1123,       12957.6534,         10004.9489,         11778.3034,        366798.0818,        365638.7536,        361129.6399,        353755.7109,        363772.1983,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       1081213.0369,       54216410.0359,            0.0000,          9571.8025,       273380895.6282,       10964.4189,         13357.2093,         12814.6865,        357464.9580,        356538.2053,        351851.6606,        344524.2121,        354502.0050,       53867578.2666,            0.0000,       1081782.9578,       272499382.5331,     1082206.1376,       1078783.2066,       1080058.0981,       1277305.0708,       1266848.6932,       1272180.3734,       1265864.0671,       1272141.6705,             0.0000,       54219219.3376,      274544612.3619,     54226550.5218,      54224516.2778,      54226720.4947,      54262199.0697,      54263841.3264,      54264738.4933,      54265115.6980,      54260478.1699,            0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       273385698.2310,        9624.5683,          7339.9231,          9363.5227,        365565.4003,        364745.1604,        359946.5433,        352629.2548,        362654.4625,       273381307.1920,     273381819.1510,     273380705.7316,     273334678.6010,     273321202.3934,     273332627.0802,     273331125.8116,     273330969.6091,        6805.8489,          3451.9039,        360381.9098,        359362.7309,        354663.8112,        347288.5642,        357448.8938,          3991.2630,        367040.0449,        366013.9303,        361331.7220,        353958.7217,        364098.5600,        363626.6355,        362560.9655,        357894.6809,        350509.2004,        360683.2996,         14151.2058,          7251.9578,         14975.8020,          5183.8131,         11818.6275,         14683.0812,         10602.7265,          7943.0011,          5426.5343,         11818.6275,
    3600.000,      0.0000,             0.0000,             0.0000,             0.0000,          7718.5289,         11275.8939,          9256.7783,       251656459.2835,       10125.2532,             0.0000,          8571.7420,       1079172.1531,       54314898.8661,            0.0000,         13167.1122,       272807279.5586,        3807.6130,         12273.4988,          7854.6846,        366112.0769,        368525.3125,        362771.0353,        356840.8100,        361666.5153,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,         12620.3798,          4900.3135,       251650203.7640,        9824.4531,             0.0000,         11773.5693,       1084270.2366,       54321776.0231,            0.0000,         13489.1094,       272807482.5827,        6449.8123,          6885.6904,          4159.4163,        363508.5811,        366000.3629,        360321.8000,        354396.3332,        359046.1182,         13738.0021,       251648520.4965,       12946.2321,             0.0000,          3897.8761,       1076569.5088,       54314044.0571,            0.0000,          5620.9502,       272796374.6147,        9743.8135,         12076.7816,         10192.3861,        357227.2643,        359371.3056,        353732.0322,        347823.2764,        352685.1530,       251650443.8967,        5883.3861,             0.0000,         13594.7772,       1081164.0968,       54319988.6095,            0.0000,         12582.8547,       272806780.5890,        9674.5146,          5175.4221,          8462.6152,        360829.4504,        363468.8340,        357702.6970,        351764.1567,        356429.7154,       251652242.8822,           0.0000,       251651769.8079,     252054692.3208,     288236701.0923,           0.0000,       251647318.5044,     251242763.1413,     251653591.8420,     251645673.8980,     251649250.3854,     251404394.2359,     251399819.0778,     251408768.1581,     251413351.1210,     251404827.5745,           0.0000,         13227.4338,       1075296.1617,       54314665.1939,            0.0000,         10130.0130,       272803719.0120,       11788.0638,          7927.1841,         12190.4212,        358055.2860,        360718.2554,        354862.4710,        348914.8559,        353696.3783,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       1077253.4706,       54313435.7186,            0.0000,          8627.6956,       272799336.1756,        7122.6137,         13296.4027,          9149.2886,        361014.3430,        363158.9357,        357505.5255,        351595.4287,        356478.9929,       53314655.1788,            0.0000,       1073831.9297,       272296142.2990,     1081722.8422,       1081625.9786,       1084668.7809,        988217.6861,        989528.7115,        983870.8173,        983855.4905,        991322.6553,             0.0000,       54313167.7267,      261125190.0158,     54317437.1689,      54321525.8639,      54321481.1741,      54286842.8739,      54285464.8863,      54280913.1421,      54281066.9362,      54289045.3235,            0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,             0.0000,       272795044.1449,       12719.2707,         10317.4135,         12623.7020,        353285.7915,        355591.6234,        349872.2941,        343949.6432,        348804.2133,       272806074.4457,     272802559.0167,     272805293.2981,     272504184.2577,     272494831.2358,     272501485.0317,     272506913.1425,     272505781.2488,       11413.9530,          4745.2998,        365576.6571,        367891.5348,        362219.6277,        356300.6394,        361079.2893,          8634.5910,        356750.9887,        359299.3132,        353602.7582,        347674.0015,        352305.1897,        363481.5386,        365808.6274,        360197.0735,        354283.7698,        358961.6873,         14645.8024,         10740.6474,         13314.6840,          7048.5102,          9853.2850,         14763.7757,         11856.3833,          6038.5717,          8659.1911,          9853.2850,
