
SOAP Analysis Report Output for starlink_20_sats_46.orb,
Generated: Mon Jan 09 13:33:42 2023,
Start: 1863/07/25 01:42:00.00, Stop: 1863/07/26 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1639 - STARLINK-3271,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-1650,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-3571,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-3860,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-2534,
       Rise,         Set, Duration (s),
    6681.107,    7809.132,    1128.024,
   21108.907,   22290.980,    1182.073,
   35555.229,   42541.872,    6986.643,
   49987.125,   57018.827,    7031.702,
   64436.829,   68592.435,    4155.606,
   78872.612,   83049.826,    4177.214,
Is_True,          28.5431%,
Analysis,STARLINK-1639 - STARLINK-2414,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-2286,
       Rise,         Set, Duration (s),
    6813.323,    7756.439,     943.116,
Is_True,           1.0916%,
Analysis,STARLINK-1639 - STARLINK-3162,
       Rise,         Set, Duration (s),
    1913.453,   15973.571,   14060.119,
   18000.469,   25086.451,    7085.982,
   27113.720,   34086.261,    6972.541,
   36113.600,   43086.183,    6972.583,
   45113.477,   52086.302,    6972.824,
   54113.396,   61086.543,    6973.147,
   63113.363,   70086.747,    6973.385,
   72113.440,   86400.000,   14286.560,
Is_True,          81.3624%,
Analysis,STARLINK-1639 - STARLINK-3373,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-2608,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-3848,
       Rise,         Set, Duration (s),
       0.000,    9669.608,    9669.608,
   17636.255,   21527.812,    3891.558,
   26465.743,   30230.849,    3765.106,
   38271.983,   69454.458,   31182.476,
   77456.480,   82734.733,    5278.252,
Is_True,          62.2535%,
Analysis,STARLINK-1639 - STARLINK-3532,
       Rise,         Set, Duration (s),
       0.000,    6637.427,    6637.427,
   11425.854,   20938.990,    9513.136,
   21937.573,   31366.334,    9428.761,
   33257.885,   45035.084,   11777.199,
   58115.551,   64298.511,    6182.959,
   66623.365,   74472.509,    7849.144,
   79230.615,   86400.000,    7169.385,
Is_True,          67.7755%,
Analysis,STARLINK-1639 - STARLINK-1986,
       Rise,         Set, Duration (s),
       0.000,    7184.972,    7184.972,
    7704.916,   21121.383,   13416.467,
   21639.839,   31923.715,   10283.876,
   32856.545,   42735.543,    9878.998,
   43253.641,   53957.879,   10704.238,
   54476.776,   67896.910,   13420.134,
   68415.939,   78745.608,   10329.669,
   79263.333,   86400.000,    7136.667,
Is_True,          95.3183%,
Analysis,STARLINK-1639 - STARLINK-2314,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-1517,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1639 - STARLINK-3145,
       Rise,         Set, Duration (s),
       0.000,    1781.980,    1781.980,
    5419.812,   17981.957,   12562.144,
   19819.807,   28781.957,    8962.150,
   30618.034,   44982.344,   14364.311,
   46818.022,   57244.451,   10426.429,
   58068.039,   67443.682,    9375.643,
   71158.474,   79198.175,    8039.701,
   82858.472,   86400.000,    3541.528,
Is_True,          79.9235%,
Analysis,STARLINK-1639 - STARLINK-2685,
