
SOAP Analysis Report Output for starlink_20_sats_39.orb,
Generated: Mon Jan 09 13:33:03 2023,
Start: 1981/08/15 01:42:00.00, Stop: 1981/08/16 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3724 - STARLINK-1669,
       Rise,         Set, Duration (s),
       0.000,   25059.371,   25059.371,
   25228.129,   31468.355,    6240.226,
   32639.063,   36309.374,    3670.311,
   43217.583,   53040.230,    9822.648,
   59962.504,   86400.000,   26437.496,
Is_True,          82.4422%,
Analysis,STARLINK-3724 - STARLINK-1239,
       Rise,         Set, Duration (s),
    1012.504,   10560.933,    9548.429,
   10831.466,   30596.480,   19765.013,
   33978.520,   50101.167,   16122.647,
   52203.520,   57596.480,    5392.959,
   61313.164,   69243.746,    7930.582,
   72956.914,   84898.614,   11941.700,
Is_True,          81.8302%,
Analysis,STARLINK-3724 - STARLINK-3119,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3724 - STARLINK-1729,
       Rise,         Set, Duration (s),
       0.000,    1181.246,    1181.246,
    9914.067,   20474.996,   10560.928,
   29042.583,   34168.355,    5125.772,
   40616.020,   45825.463,    5209.443,
   48223.832,   66599.995,   18376.163,
   68456.255,   73405.376,    4949.122,
   84864.381,   86400.000,    1535.619,
Is_True,          54.3267%,
Analysis,STARLINK-3724 - STARLINK-2555,
       Rise,         Set, Duration (s),
       0.000,   31471.874,   31471.874,
   33328.126,   41283.980,    7955.854,
   44567.582,   57371.480,   12803.898,
   63478.130,   68793.746,    5315.616,
   72984.383,   85837.500,   12853.117,
Is_True,          81.4819%,
Analysis,STARLINK-3724 - STARLINK-1333,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3724 - STARLINK-3005,
       Rise,         Set, Duration (s),
       0.000,   10335.933,   10335.932,
   10814.067,   28757.812,   17943.745,
   28842.188,   50157.417,   21315.230,
   51528.520,   79105.029,   27576.508,
   83281.645,   86400.000,    3118.355,
Is_True,          92.9280%,
Analysis,STARLINK-3724 - STARLINK-2717,
       Rise,         Set, Duration (s),
    1012.504,   10560.933,    9548.429,
   10814.067,   17859.371,    7045.303,
   19814.067,   26366.973,    6552.906,
   28845.708,   49763.667,   20917.960,
   52372.270,   66599.996,   14227.726,
   68485.038,   73546.212,    5061.173,
   84864.335,   86400.000,    1535.665,
Is_True,          75.1032%,
Analysis,STARLINK-3724 - STARLINK-1576,
       Rise,         Set, Duration (s),
       0.000,    1627.740,    1627.740,
    4682.817,   64771.871,   60089.054,
   64940.630,   82764.675,   17824.045,
   83257.035,   86400.000,    3142.965,
Is_True,          95.6988%,
Analysis,STARLINK-3724 - STARLINK-1007,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3724 - STARLINK-3591,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3724 - STARLINK-2621,
       Rise,         Set, Duration (s),
       0.000,    3712.499,    3712.499,
    7664.067,   12937.495,    5273.428,
   17226.567,   57596.480,   40369.913,
   60412.673,   64800.000,    4387.327,
   66178.129,   71859.161,    5681.031,
   72056.464,   85162.496,   13106.032,
Is_True,          83.9470%,
Analysis,STARLINK-3724 - STARLINK-3765,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3724 - STARLINK-3637,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3724 - STARLINK-2527,
       Rise,         Set, Duration (s),
