
SOAP Analysis Report Output for starlink_20_sats_8.orb,
Generated: Mon Jan 09 13:30:14 2023,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1581 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1581 - STARLINK-1575,
       Rise,         Set, Duration (s),
    1151.833,    9649.790,    8497.957,
   10828.525,   20454.469,    9625.944,
   22746.744,   32369.861,    9623.116,
   33546.599,   43168.800,    9622.201,
   44352.348,   52851.065,    8498.717,
   54028.108,   63652.423,    9624.315,
   65944.576,   75570.622,    9626.046,
   76749.264,   85247.954,    8498.690,
Is_True,          85.2048%,
Analysis,STARLINK-1581 - STARLINK-3773,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1581 - STARLINK-2737,
       Rise,         Set, Duration (s),
       0.000,    1775.219,    1775.219,
    3604.363,   13494.459,    9890.097,
   15320.988,   39563.454,   24242.465,
   40516.490,   45866.702,    5350.211,
   46821.104,   57592.255,   10771.151,
   58542.609,   71067.449,   12524.840,
   72003.218,   82782.859,   10779.641,
   84612.153,   86400.000,    1787.847,
Is_True,          89.2610%,
Analysis,STARLINK-1581 - STARLINK-1209,
       Rise,         Set, Duration (s),
       0.000,    6279.712,    6279.712,
    7447.589,   21360.039,   13912.450,
   21612.809,   31266.293,    9653.484,
   33538.830,   42269.246,    8730.416,
   43437.752,   57350.139,   13912.387,
   58522.679,   68171.437,    9648.758,
   69339.120,   78062.691,    8723.571,
   80343.040,   86400.000,    6056.960,
Is_True,          89.0252%,
Analysis,STARLINK-1581 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1581 - STARLINK-1289,
       Rise,         Set, Duration (s),
    1128.210,   10558.396,    9430.186,
   11934.293,   21370.120,    9435.827,
   22740.204,   31246.230,    8506.025,
   33549.787,   42053.286,    8503.499,
   43432.301,   52863.770,    9431.469,
   54238.650,   62745.181,    8506.531,
   70450.692,   78955.263,    8504.571,
   80334.327,   86400.000,    6065.673,
Is_True,          79.1479%,
Analysis,STARLINK-1581 - STARLINK-3349,
       Rise,         Set, Duration (s),
       0.000,    5147.082,    5147.082,
   11933.956,   21370.704,    9436.748,
   22749.349,   31254.581,    8505.233,
   32632.425,   42070.241,    9437.816,
   48856.655,   57361.611,    8504.956,
   58740.166,   67245.672,    8505.506,
   69556.200,   78061.782,    8505.582,
   79440.658,   86400.000,    6959.342,
Is_True,          75.2341%,
Analysis,STARLINK-1581 - STARLINK-3159,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1581 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1581 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1581 - IOAG-North1,
       Rise,         Set, Duration (s),
    1827.730,   86400.000,   84572.270,
Is_True,          97.8846%,
Analysis,STARLINK-1581 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,   17986.623,   17986.623,
   18912.190,   68380.238,   49468.048,
   68401.002,   86400.000,   17998.998,
Is_True,          98.9047%,
Analysis,STARLINK-1581 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1581 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1202 - STARLINK-1166,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3074,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-2507,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-1575,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-2737,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-1209,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-1289,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3349,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-3159,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1202 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - STARLINK-3074,
       Rise,         Set, Duration (s),
   16039.557,   30983.675,   14944.118,
   37641.330,   44935.431,    7294.101,
   51814.560,   59783.676,    7969.115,
   62164.564,   70808.670,    8644.106,
   73414.561,   76659.565,    3245.004,
   79491.333,   86400.000,    6908.667,
Is_True,          56.7189%,
Analysis,STARLINK-1166 - STARLINK-2507,
       Rise,         Set, Duration (s),
    3358.745,    4288.187,     929.442,
   14231.217,   14500.362,     269.145,
   28572.097,   29485.416,     913.319,
   39426.843,   39698.329,     271.487,
   47599.506,   54698.707,    7099.201,
   64637.097,   64912.064,     274.967,
   72784.574,   81985.677,    9201.102,
Is_True,          21.9429%,
Analysis,STARLINK-1166 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - STARLINK-1575,
       Rise,         Set, Duration (s),
    3137.139,    3854.449,     717.310,
   46660.521,   47292.282,     631.762,
Is_True,           1.5614%,
Analysis,STARLINK-1166 - STARLINK-3773,
       Rise,         Set, Duration (s),
       0.000,    3003.754,    3003.754,
    4529.901,   10341.710,    5811.809,
   14746.733,   19449.284,    4702.551,
   26875.598,   33735.919,    6860.321,
   52741.631,   56926.941,    4185.310,
   66321.570,   76831.714,   10510.144,
   83032.297,   86400.000,    3367.703,
Is_True,          44.4926%,
Analysis,STARLINK-1166 - STARLINK-2737,
       Rise,         Set, Duration (s),
   24897.676,   25541.056,     643.381,
   68289.801,   68954.036,     664.234,
Is_True,           1.5134%,
Analysis,STARLINK-1166 - STARLINK-1209,
       Rise,         Set, Duration (s),
   47637.706,   54509.274,    6871.568,
Is_True,           7.9532%,
Analysis,STARLINK-1166 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1166 - STARLINK-1289,
       Rise,         Set, Duration (s),
   46417.601,   47126.080,     708.479,
Is_True,           0.8200%,
Analysis,STARLINK-1166 - STARLINK-3349,
       Rise,         Set, Duration (s),
   50814.535,   54901.614,    4087.079,
Is_True,           4.7304%,
Analysis,STARLINK-1166 - STARLINK-3159,
       Rise,         Set, Duration (s),
   10671.250,   17875.626,    7204.376,
   23299.587,   38659.999,   15360.412,
   43268.342,   49909.999,    6641.657,
   57640.212,   67909.788,   10269.576,
   68777.716,   80960.005,   12182.289,
Is_True,          59.7897%,
Analysis,STARLINK-1166 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1166 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    5344.940,   13199.458,    7854.518,
   15582.023,   18324.295,    2742.273,
   30956.664,   33698.799,    2742.135,
   41188.481,   49039.188,    7850.707,
   51413.682,   59279.348,    7865.667,
   67205.723,   74661.315,    7455.591,
   77033.409,   84895.327,    7861.918,
Is_True,          51.3574%,
Analysis,STARLINK-1166 - IOAG-North1,
       Rise,         Set, Duration (s),
    5341.638,   13200.486,    7858.849,
   15580.612,   23446.730,    7866.118,
   30949.724,   33694.320,    2744.595,
   41185.686,   49036.438,    7850.752,
   51411.030,   59280.609,    7869.579,
   66778.738,   74655.659,    7876.921,
   77028.301,   84889.676,    7861.375,
Is_True,          57.7873%,
Analysis,STARLINK-1166 - IOAG-North2,
       Rise,         Set, Duration (s),
    5351.843,   13215.918,    7864.075,
   15596.306,   23440.163,    7843.857,
   30934.705,   33678.128,    2743.423,
   41177.962,   49049.798,    7871.836,
   51425.889,   59295.592,    7869.703,
   66772.928,   74638.391,    7865.463,
   77009.875,   84887.068,    7877.193,
Is_True,          57.7958%,
Analysis,STARLINK-1166 - IOAG-South1,
       Rise,         Set, Duration (s),
    5351.326,   13210.002,    7858.676,
   15592.606,   23451.861,    7859.254,
   30951.044,   33691.743,    2740.699,
   41183.695,   49045.464,    7861.770,
   51423.470,   59288.285,    7864.815,
   66785.396,   74652.171,    7866.775,
   82142.838,   84890.590,    2747.753,
Is_True,          51.8516%,
Analysis,STARLINK-1166 - IOAG-South2,
       Rise,         Set, Duration (s),
    5357.691,   13213.575,    7855.884,
   15877.717,   23445.596,    7567.879,
   30947.036,   33687.584,    2740.548,
   41188.116,   49050.839,    7862.722,
   51427.443,   54171.201,    2743.758,
   66780.671,   74647.859,    7867.187,
   77022.766,   84891.270,    7868.503,
Is_True,          51.5121%,
Analysis,STARLINK-3074 - STARLINK-2507,
       Rise,         Set, Duration (s),
       0.000,   79199.933,   79199.933,
   79202.703,   86400.000,    7197.297,
Is_True,          99.9968%,
Analysis,STARLINK-3074 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3074 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3074 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3074 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3074 - STARLINK-1575,
       Rise,         Set, Duration (s),
    3886.853,   17493.556,   13606.703,
   21658.318,   49665.839,   28007.521,
   54233.097,   67889.907,   13656.810,
   68635.791,   78690.835,   10055.044,
   79710.957,   86400.000,    6689.043,
Is_True,          83.3508%,
Analysis,STARLINK-3074 - STARLINK-3773,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - STARLINK-2737,
       Rise,         Set, Duration (s),
       0.000,   35990.064,   35990.064,
   45061.842,   71264.916,   26203.074,
   72060.936,   80714.940,    8654.004,
Is_True,          81.9990%,
Analysis,STARLINK-3074 - STARLINK-1209,
       Rise,         Set, Duration (s),
       0.000,   16814.034,   16814.034,
   29760.079,   45387.257,   15627.177,
   51586.847,   59338.145,    7751.297,
   65985.074,   74864.924,    8879.851,
   76561.864,   86114.925,    9553.060,
Is_True,          67.8535%,
Analysis,STARLINK-3074 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - STARLINK-1289,
       Rise,         Set, Duration (s),
       0.000,   16591.687,   16591.687,
   25258.273,   49664.028,   24405.755,
   50684.148,   63839.915,   13155.767,
   64859.145,   78916.717,   14057.572,
   81060.969,   84541.710,    3480.741,
Is_True,          82.9763%,
Analysis,STARLINK-3074 - STARLINK-3349,
       Rise,         Set, Duration (s),
       0.000,   16588.146,   16588.146,
   29987.748,   45614.918,   15627.170,
   51812.739,   59564.026,    7751.287,
   66211.868,   74864.021,    8652.153,
   76785.981,   86114.025,    9328.045,
Is_True,          67.0681%,
Analysis,STARLINK-3074 - STARLINK-3159,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3074 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3074 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,   42968.713,   42968.713,
   43203.604,   75599.063,   32395.459,
   75601.816,   86400.000,   10798.184,
Is_True,          99.7249%,
Analysis,STARLINK-3074 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2507 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2507 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2507 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2507 - STARLINK-1575,
       Rise,         Set, Duration (s),
       0.000,    7007.525,    7007.525,
    7318.750,   12371.120,    5052.370,
   21393.610,   21747.720,     354.111,
   25409.863,   35822.593,   10412.730,
   36133.880,   41185.444,    5051.564,
   50209.053,   50563.343,     354.290,
   54223.596,   64638.324,   10414.728,
   64950.084,   74015.810,    9065.727,
   79024.909,   79379.966,     355.057,
   84385.466,   86400.000,    2014.534,
Is_True,          57.9660%,
Analysis,STARLINK-2507 - STARLINK-3773,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - STARLINK-2737,
       Rise,         Set, Duration (s),
     185.254,    4340.524,    4155.269,
   13729.064,   17330.099,    3601.035,
   18185.547,   28178.266,    9992.720,
   31732.073,   32628.437,     896.364,
   37148.579,   46169.594,    9021.015,
   47027.004,   56048.171,    9021.166,
   60571.641,   64177.036,    3605.395,
   64986.278,   75010.174,   10023.896,
   77993.156,   82177.131,    4183.976,
   83409.916,   86400.000,    2990.084,
Is_True,          66.5404%,
Analysis,STARLINK-2507 - STARLINK-1209,
       Rise,         Set, Duration (s),
       0.000,      57.672,      57.672,
   10525.278,   11668.384,    1143.106,
   21332.829,   22278.613,     945.784,
   32140.618,   33069.613,     928.995,
   42276.088,   46575.841,    4299.753,
   47522.654,   57384.259,    9861.605,
   58299.959,   68193.131,    9893.172,
   69104.183,   78218.156,    9113.973,
   82614.124,   83562.406,     948.283,
Is_True,          43.0467%,
Analysis,STARLINK-2507 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - STARLINK-1289,
       Rise,         Set, Duration (s),
       0.000,     199.930,     199.930,
   10606.727,   10955.114,     348.386,
   20017.379,   25071.715,    5054.336,
   25394.484,   35829.220,   10434.735,
   36150.928,   46586.475,   10435.547,
   46908.981,   50616.463,    3707.482,
   61026.074,   61374.249,     348.175,
   71783.042,   75491.528,    3708.486,
   75813.394,   86249.482,   10436.088,
Is_True,          51.7051%,
Analysis,STARLINK-2507 - STARLINK-3349,
       Rise,         Set, Duration (s),
       0.000,     155.818,     155.818,
   10594.446,   10933.706,     339.260,
   21378.718,   22388.081,    1009.363,
   26771.110,   35861.034,    9089.924,
   36193.547,   46643.751,   10450.204,
   46972.283,   57428.833,   10456.549,
   57755.121,   68214.060,   10458.939,
   68540.327,   78997.175,   10456.848,
   79325.750,   84387.293,    5061.543,
Is_True,          66.5260%,
Analysis,STARLINK-2507 - STARLINK-3159,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2507 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,   19441.170,   19441.170,
   23113.741,   62859.928,   39746.187,
   66992.157,   86400.000,   19407.843,
Is_True,          90.9667%,
Analysis,STARLINK-2507 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2507 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,   34998.453,   34998.453,
   37575.053,   78181.387,   40606.334,
   81424.669,   86400.000,    4975.331,
Is_True,          93.2640%,
Analysis,STARLINK-2507 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,   56579.427,   56579.427,
   59728.674,   86400.000,   26671.326,
Is_True,          96.3550%,
Analysis,STARLINK-2266 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
