
SOAP Analysis Report Output for starlink_40_sats_16.orb,
Generated: Mon Jan 09 13:37:37 2023,
Start: 1865/05/09 01:42:00.00, Stop: 1865/05/10 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1812 - STARLINK-2622,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-2043,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1812 - STARLINK-2317,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-1366,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1812 - STARLINK-2666,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1812 - STARLINK-1100,
       Rise,         Set, Duration (s),
    2454.689,   15566.557,   13111.868,
   18588.869,   22806.329,    4217.460,
   25829.216,   29478.161,    3648.946,
   33053.606,   38934.026,    5880.420,
   39737.649,   46172.015,    6434.366,
   49194.379,   53403.202,    4208.824,
   56426.789,   60082.972,    3656.183,
   63656.860,   69534.422,    5877.562,
   73115.820,   76776.089,    3660.269,
   79799.162,   84000.834,    4201.672,
Is_True,          63.5389%,
Analysis,STARLINK-1812 - STARLINK-2689,
       Rise,         Set, Duration (s),
       0.000,     305.703,     305.703,
    4260.702,   10617.534,    6356.833,
   18194.707,   24550.393,    6355.686,
   30333.622,   38983.450,    8649.828,
   44271.961,   54722.219,   10450.258,
   58702.561,   68683.500,    9980.938,
   72639.495,   83097.010,   10457.515,
Is_True,          60.8296%,
Analysis,STARLINK-1812 - STARLINK-2163,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-2431,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-2315,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1812 - STARLINK-1522,
       Rise,         Set, Duration (s),
       0.000,    2954.252,    2954.252,
    6525.554,   10178.053,    3652.499,
   13191.877,   17396.937,    4205.060,
   20411.269,   24065.438,    3654.169,
   27634.016,   31283.798,    3649.782,
   34854.232,   47949.912,   13095.680,
   51518.292,   55172.630,    3654.338,
   58186.611,   62392.955,    4206.344,
   65407.177,   69615.696,    4208.519,
   72630.090,   76281.963,    3651.873,
   79849.903,   85723.687,    5873.784,
Is_True,          61.1184%,
Analysis,STARLINK-1812 - STARLINK-1511,
       Rise,         Set, Duration (s),
       0.000,   14298.585,   14298.585,
   14948.285,   24924.025,    9975.740,
   25568.207,   35549.076,    9980.870,
   36179.838,   86400.000,   50220.162,
Is_True,          97.7724%,
Analysis,STARLINK-1812 - STARLINK-2181,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-3598,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1812 - STARLINK-2198,
       Rise,         Set, Duration (s),
    2936.538,    6601.705,    3665.168,
    9630.060,   13274.775,    3644.715,
   16863.585,   22754.424,    5890.839,
   26342.628,   29987.570,    3644.941,
   33016.737,   36680.750,    3664.013,
   40269.443,   46149.714,    5880.271,
   49729.782,   53393.263,    3663.482,
   56423.849,   60077.032,    3653.183,
   63657.017,   69541.919,    5884.903,
   73136.706,   76790.376,    3653.670,
   79818.601,   83469.905,    3651.304,
Is_True,          54.2783%,
