
SOAP Analysis Report Output for starlink_40_sats_0.orb,
Generated: Mon Jan 09 13:35:29 2023,
Start: 1992/08/28 01:42:00.00, Stop: 1992/08/29 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3229 - STARLINK-1341,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-2360,
       Rise,         Set, Duration (s),
       0.000,   25058.293,   25058.293,
   25826.326,   35458.046,    9631.721,
   39656.792,   75416.643,   35759.851,
   75635.700,   86400.000,   10764.300,
Is_True,          93.9979%,
Analysis,STARLINK-3229 - STARLINK-1143,
       Rise,         Set, Duration (s),
       0.000,   25002.579,   25002.579,
   25214.605,   35907.513,   10692.908,
   36148.198,   46131.489,    9983.291,
   48635.701,   71050.236,   22414.535,
   74778.426,   76422.112,    1643.686,
   83854.693,   86400.000,    2545.307,
Is_True,          83.6601%,
Analysis,STARLINK-3229 - STARLINK-3725,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-3338,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3229 - STARLINK-1762,
       Rise,         Set, Duration (s),
       0.000,    2980.708,    2980.708,
    5583.358,   28750.237,   23166.879,
   28969.293,   60299.456,   31330.163,
   63028.667,   74699.458,   11670.791,
   82090.385,   86400.000,    4309.615,
Is_True,          85.0210%,
Analysis,STARLINK-3229 - STARLINK-2439,
       Rise,         Set, Duration (s),
       0.000,   25037.736,   25037.736,
   25819.296,   39416.644,   13597.348,
   40254.449,   86400.000,   46145.551,
Is_True,          98.1257%,
Analysis,STARLINK-3229 - STARLINK-3913,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-2486,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-2433,
       Rise,         Set, Duration (s),
       0.000,   19630.709,   19630.709,
   21804.447,   32209.613,   10405.166,
   32456.796,   49450.239,   16993.443,
   50484.920,   61199.458,   10714.538,
   63956.794,   86400.000,   22443.206,
Is_True,          92.8091%,
Analysis,STARLINK-3229 - STARLINK-2110,
       Rise,         Set, Duration (s),
   12797.422,   21437.199,    8639.777,
   21678.428,   28729.146,    7050.718,
   28976.323,   49400.478,   20424.155,
   50435.698,   61177.825,   10742.127,
   63956.791,   86400.000,   22443.209,
Is_True,          80.2083%,
Analysis,STARLINK-3229 - STARLINK-1742,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-1292,
       Rise,         Set, Duration (s),
       0.000,   25023.676,   25023.676,
   25207.578,   35950.236,   10742.658,
   39607.574,   86400.000,   46792.426,
Is_True,          95.5541%,
Analysis,STARLINK-3229 - STARLINK-2449,
       Rise,         Set, Duration (s),
    1976.324,    5265.864,    3289.540,
   15434.136,   21008.827,    5574.691,
   21741.168,   32350.234,   10609.065,
   34256.795,   48501.019,   14244.224,
   55870.854,   86400.000,   30529.146,
Is_True,          74.3596%,
Analysis,STARLINK-3229 - FALCON 9 DEB13,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3229 - STARLINK-2228,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3229 - STARLINK-3677,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3229 - STARLINK-3325,
       Rise,         Set, Duration (s),
