
SOAP Analysis Report Output for starlink_60_sats_1.orb,
Generated: Thu Dec 15 21:42:23 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1513 - STARLINK-1760,
       Rise,         Set, Duration (s),
   10438.600,   11181.192,     742.592,
   24766.945,   25515.358,     748.413,
   39101.221,   39842.859,     741.639,
   53429.539,   54177.045,     747.506,
   67763.826,   68504.529,     740.702,
   82092.119,   82838.734,     746.615,
Is_True,           5.1707%,
Analysis,STARLINK-1513 - STARLINK-2154,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-3595,
       Rise,         Set, Duration (s),
   57181.903,   57824.362,     642.459,
   68235.751,   69004.605,     768.854,
Is_True,           1.6335%,
Analysis,STARLINK-1513 - STARLINK-1971,
       Rise,         Set, Duration (s),
   10590.182,   11075.961,     485.779,
   24918.669,   25409.991,     491.322,
   39253.145,   39737.051,     483.906,
   53581.592,   54071.115,     489.523,
Is_True,           2.2576%,
Analysis,STARLINK-1513 - STARLINK-3646,
       Rise,         Set, Duration (s),
   13748.060,   14499.329,     751.268,
   24921.515,   25794.737,     873.222,
   39027.876,   39779.739,     751.863,
Is_True,           2.7504%,
Analysis,STARLINK-1513 - STARLINK-3087,
       Rise,         Set, Duration (s),
    2913.734,    3660.926,     747.192,
   17317.328,   18036.405,     719.077,
   31727.183,   32405.064,     677.881,
Is_True,           2.4817%,
Analysis,STARLINK-1513 - STARLINK-1908,
       Rise,         Set, Duration (s),
       0.000,      37.176,      37.176,
   25174.922,   25839.727,     664.805,
   39512.442,   40165.342,     652.900,
   53837.289,   54502.703,     665.414,
   68174.817,   68828.289,     653.472,
   82499.643,   83165.656,     666.013,
Is_True,           3.8655%,
Analysis,STARLINK-1513 - STARLINK-3641,
       Rise,         Set, Duration (s),
   64798.232,   65131.571,     333.339,
   79149.400,   79419.487,     270.088,
Is_True,           0.6984%,
Analysis,STARLINK-1513 - STARLINK-1523,
       Rise,         Set, Duration (s),
     346.877,   10610.960,   10264.084,
   14690.488,   24951.557,   10261.070,
   29011.023,   39273.741,   10262.717,
   43354.627,   53614.370,   10259.743,
   60553.087,   67936.500,    7383.413,
   74873.556,   82277.161,    7403.605,
   83484.339,   86400.000,    2915.661,
Is_True,          67.9980%,
Analysis,STARLINK-1513 - STARLINK-3890,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-2441,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-2054,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1513 - STARLINK-3667,
       Rise,         Set, Duration (s),
   28668.096,   29370.734,     702.638,
Is_True,           0.8132%,
Analysis,STARLINK-1513 - STARLINK-1967,
       Rise,         Set, Duration (s),
       0.000,     441.370,     441.370,
   13932.897,   14771.522,     838.624,
   28262.732,   29104.447,     841.715,
   42595.888,   43434.584,     838.696,
   56925.709,   57767.497,     841.788,
   68390.893,   72097.618,    3706.725,
   82724.033,   86400.000,    3675.967,
Is_True,          12.9455%,
Analysis,STARLINK-1513 - STARLINK-2740,
       Rise,         Set, Duration (s),
    3066.558,    4184.433,    1117.875,
   17390.148,   18519.270,    1129.122,
   31724.606,   32843.659,    1119.054,
   40316.622,   47178.508,    6861.886,
   57511.533,   61502.895,    3991.362,
   71846.098,   75837.757,    3991.659,
   86169.823,   86400.000,     230.177,
Is_True,          21.3439%,
