
SOAP Analysis Report Output for starlink_60_sats_35.orb,
Generated: Thu Dec 15 22:04:35 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3348 - STARLINK-1586,
       Rise,         Set, Duration (s),
    6957.653,    7747.348,     789.695,
   21278.205,   22082.099,     803.893,
   35607.364,   36407.395,     800.031,
   49927.755,   50741.968,     814.213,
   64256.696,   65067.159,     810.463,
   78576.933,   79401.547,     824.614,
Is_True,           5.6052%,
Analysis,STARLINK-3348 - STARLINK-2164,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1656,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3781,
       Rise,         Set, Duration (s),
   40256.919,   53467.436,   13210.516,
Is_True,          15.2899%,
Analysis,STARLINK-3348 - STARLINK-3539,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3889,
       Rise,         Set, Duration (s),
   43956.871,   53328.636,    9371.766,
Is_True,          10.8470%,
Analysis,STARLINK-3348 - STARLINK-3144,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3870,
       Rise,         Set, Duration (s),
   17551.241,   24457.818,    6906.577,
   25727.045,   35600.241,    9873.196,
   42945.338,   43640.239,     694.901,
Is_True,          20.2253%,
Analysis,STARLINK-3348 - STARLINK-1293,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3348 - STARLINK-1104,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3589,
       Rise,         Set, Duration (s),
       0.000,     181.580,     181.580,
   57390.129,   58136.824,     746.695,
Is_True,           1.0744%,
Analysis,STARLINK-3348 - STARLINK-2556,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1791,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3865,
       Rise,         Set, Duration (s),
    3264.797,   10148.441,    6883.644,
   11444.975,   18576.096,    7131.122,
   28585.008,   29411.868,     826.861,
Is_True,          17.1778%,
Analysis,STARLINK-3348 - STARLINK-1532,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-2697,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-2051,
       Rise,         Set, Duration (s),
       0.000,    3731.797,    3731.797,
   14045.357,   20926.281,    6880.924,
   28377.458,   29517.906,    1140.449,
   42697.086,   43852.046,    1154.960,
   57029.058,   58174.949,    1145.891,
   71348.568,   72508.892,    1160.324,
   85680.424,   86400.000,     719.576,
Is_True,          18.4420%,
Analysis,STARLINK-3348 - STARLINK-1913,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3460,
       Rise,         Set, Duration (s),
   24913.166,   25663.143,     749.977,
   50245.451,   50502.475,     257.024,
Is_True,           1.1655%,
Analysis,STARLINK-3348 - STARLINK-1802,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1584,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1927,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3315,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-3663,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1718,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1477,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3348 - STARLINK-1825,
