
SOAP Analysis Report Output for starlink_starlink_40_sats_19.orb,
Generated: Thu Dec 15 21:26:35 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1918 - STARLINK-2680,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2279,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3091,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2398,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3176,
       Rise,         Set, Duration (s),
       0.000,   44130.120,   44130.120,
Is_True,          51.0765%,
Analysis,STARLINK-1918 - STARLINK-3636,
       Rise,         Set, Duration (s),
   35220.396,   39035.860,    3815.464,
   40313.422,   47138.553,    6825.132,
Is_True,          12.3155%,
Analysis,STARLINK-1918 - STARLINK-3500,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2510,
       Rise,         Set, Duration (s),
    3538.503,    7346.071,    3807.568,
   17874.764,   21682.147,    3807.384,
   32201.436,   36008.425,    3806.989,
   46537.705,   47473.362,     935.657,
   60864.345,   61809.458,     945.113,
   75200.623,   76135.698,     935.075,
Is_True,          16.4789%,
Analysis,STARLINK-1918 - STARLINK-2364,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1408,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1180,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3398,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1088,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1918 - STARLINK-3090,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2020,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1211,
       Rise,         Set, Duration (s),
       0.000,    4290.804,    4290.804,
   11187.100,   21512.446,   10325.346,
   25484.684,   35851.036,   10366.352,
   39824.865,   50215.285,   10390.419,
   54122.408,   64554.511,   10432.103,
   68462.419,   78918.396,   10455.978,
   79917.340,   86400.000,    6482.660,
Is_True,          72.6200%,
Analysis,STARLINK-1918 - STARLINK-3916,
       Rise,         Set, Duration (s),
   50202.320,   50510.016,     307.696,
   60923.003,   61536.642,     613.640,
Is_True,           1.0664%,
Analysis,STARLINK-1918 - STARLINK-1340,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2159,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2418,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2256,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1792,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2620,
       Rise,         Set, Duration (s),
   10266.368,   11103.028,     836.660,
   24595.864,   25436.618,     840.754,
   38929.620,   39766.388,     836.768,
   50394.912,   54099.969,    3705.058,
   64724.374,   68429.713,    3705.339,
   79058.119,   79895.033,     836.915,
Is_True,          12.4554%,
Analysis,STARLINK-1918 - STARLINK-3519,
       Rise,         Set, Duration (s),
   63396.902,   81549.142,   18152.240,
Is_True,          21.0095%,
Analysis,STARLINK-1918 - STARLINK-3148,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2602,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1144,
