
SOAP Analysis Report Output for starlink_starlink_40_sats_36.orb,
Generated: Thu Dec 15 21:33:13 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2445 - STARLINK-1185,
       Rise,         Set, Duration (s),
       0.000,     712.458,     712.458,
   14150.083,   15058.238,     908.156,
   28497.931,   29374.419,     876.488,
   42812.932,   43720.259,     907.327,
   57160.811,   58036.381,     875.570,
   71475.755,   72382.280,     906.525,
   85823.664,   86400.000,     576.336,
Is_True,           6.6700%,
Analysis,STARLINK-2445 - STARLINK-3673,
       Rise,         Set, Duration (s),
   53964.740,   54030.519,      65.779,
   64678.695,   68706.203,    4027.509,
   78635.355,   85624.934,    6989.579,
Is_True,          12.8274%,
Analysis,STARLINK-2445 - STARLINK-3583,
       Rise,         Set, Duration (s),
   50088.650,   50665.069,     576.419,
   61198.251,   64821.542,    3623.291,
   75226.354,   76034.681,     808.326,
Is_True,           5.7963%,
Analysis,STARLINK-2445 - STARLINK-1979,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3635,
       Rise,         Set, Duration (s),
    6555.432,    7316.986,     761.554,
   20888.863,   21621.101,     732.237,
   32352.478,   33067.208,     714.730,
   46677.877,   47378.546,     700.669,
   61013.140,   61680.897,     667.758,
   75339.572,   75991.220,     651.648,
Is_True,           4.8942%,
Analysis,STARLINK-2445 - STARLINK-2573,
       Rise,         Set, Duration (s),
    3558.861,    7252.656,    3693.795,
   17890.186,   18717.417,     827.231,
   32220.275,   33048.755,     828.480,
   46551.610,   47379.318,     827.709,
   60881.700,   61710.661,     828.961,
   75213.044,   76041.220,     828.176,
Is_True,           9.0675%,
Analysis,STARLINK-2445 - STARLINK-3530,
       Rise,         Set, Duration (s),
    3073.305,    3959.837,     886.532,
   14372.856,   18069.418,    3696.562,
   28570.904,   29307.039,     736.135,
   42867.505,   43268.597,     401.092,
Is_True,           6.6207%,
Analysis,STARLINK-2445 - STARLINK-2443,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-2489,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3103,
       Rise,         Set, Duration (s),
   57571.950,   57839.831,     267.881,
   71906.486,   72220.098,     313.612,
   86250.351,   86400.000,     149.649,
Is_True,           0.8462%,
Analysis,STARLINK-2445 - STARLINK-1502,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-1941,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3599,
       Rise,         Set, Duration (s),
    3144.094,    3843.611,     699.517,
   75457.513,   75998.629,     541.116,
Is_True,           1.4359%,
Analysis,STARLINK-2445 - STARLINK-1372,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-2652,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3651,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3253,
       Rise,         Set, Duration (s),
       0.000,      61.575,      61.575,
   82767.880,   83149.667,     381.787,
Is_True,           0.5132%,
Analysis,STARLINK-2445 - STARLINK-1170,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2445 - STARLINK-3712,
       Rise,         Set, Duration (s),
   67818.224,   68642.561,     824.338,
