
SOAP Analysis Report Output for starlink_starlink_40_sats_14.orb,
Generated: Thu Dec 15 21:24:45 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1316 - STARLINK-3177,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-1207,
       Rise,         Set, Duration (s),
     824.018,   13565.745,   12741.727,
   20671.203,   22384.425,    1713.223,
   29677.401,   36336.946,    6659.545,
   49469.953,   50920.936,    1450.983,
   60988.442,   62335.857,    1347.416,
   78267.146,   79456.774,    1189.628,
Is_True,          29.0538%,
Analysis,STARLINK-1316 - STARLINK-1141,
       Rise,         Set, Duration (s),
       0.000,     275.096,     275.096,
   10795.779,   14577.261,    3781.482,
   25117.669,   28886.197,    3768.528,
   39432.967,   40329.660,     896.693,
   53756.579,   54629.107,     872.528,
   68073.311,   68935.810,     862.500,
   82398.756,   83233.189,     834.433,
Is_True,          13.0686%,
Analysis,STARLINK-1316 - STARLINK-2058,
       Rise,         Set, Duration (s),
     484.836,    7707.284,    7222.448,
   14804.677,   22048.504,    7243.827,
   29153.477,   39244.392,   10090.915,
   46354.604,   53562.819,    7208.215,
   60674.229,   67904.219,    7229.990,
   75023.051,   82222.551,    7199.499,
Is_True,          53.4663%,
Analysis,STARLINK-1316 - STARLINK-3602,
       Rise,         Set, Duration (s),
    3196.676,    4168.351,     971.676,
   17524.212,   18491.695,     967.484,
   31846.853,   32819.845,     972.992,
   46174.446,   47142.890,     968.443,
   60497.179,   61470.675,     973.495,
   71957.355,   75793.413,    3836.058,
   86285.041,   86400.000,     114.959,
Is_True,          10.1911%,
Analysis,STARLINK-1316 - STARLINK-1483,
       Rise,         Set, Duration (s),
       0.000,     257.188,     257.188,
   13741.934,   14582.353,     840.418,
   28062.863,   28924.313,     861.451,
   39526.957,   43249.426,    3722.469,
   53866.228,   54716.212,     849.984,
   68187.240,   69058.028,     870.788,
   82526.520,   83383.067,     856.546,
Is_True,           9.5588%,
Analysis,STARLINK-1316 - STARLINK-2263,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-2636,
       Rise,         Set, Duration (s),
   57554.748,   57915.240,     360.492,
   71882.556,   72250.508,     367.952,
   86223.194,   86400.000,     176.806,
Is_True,           1.0477%,
Analysis,STARLINK-1316 - STARLINK-3887,
       Rise,         Set, Duration (s),
    6864.328,   28043.071,   21178.744,
   32377.677,   33022.823,     645.146,
Is_True,          25.2591%,
Analysis,STARLINK-1316 - STARLINK-1267,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-3278,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-3849,
       Rise,         Set, Duration (s),
   38918.668,   39798.700,     880.032,
Is_True,           1.0186%,
Analysis,STARLINK-1316 - STARLINK-3050,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-3724,
       Rise,         Set, Duration (s),
    1405.148,   32994.528,   31589.380,
Is_True,          36.5618%,
Analysis,STARLINK-1316 - STARLINK-3645,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1316 - STARLINK-3397,
       Rise,         Set, Duration (s),
   43146.289,   43739.791,     593.502,
   57207.384,   58006.737,     799.353,
   71329.046,   72216.449,     887.402,
   82659.889,   83554.050,     894.161,
Is_True,           3.6741%,
Analysis,STARLINK-1316 - STARLINK-2621,
