
SOAP Analysis Report Output for starlink_starlink_40_sats_21.orb,
Generated: Thu Dec 15 21:27:17 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3149 - STARLINK-2026,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1582,
       Rise,         Set, Duration (s),
   25182.840,   25481.925,     299.085,
   39534.530,   39768.352,     233.822,
Is_True,           0.6168%,
Analysis,STARLINK-3149 - STARLINK-3602,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-2535,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3085,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-2067,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3526,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1917,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1808,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3149 - STARLINK-1964,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3518,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3372,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3448,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3612,
       Rise,         Set, Duration (s),
   71931.867,   72585.510,     653.643,
   85817.285,   86400.000,     582.715,
Is_True,           1.4310%,
Analysis,STARLINK-3149 - STARLINK-2540,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1708,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3727,
       Rise,         Set, Duration (s),
   35565.619,   36433.670,     868.051,
   61074.207,   61364.389,     290.182,
Is_True,           1.3405%,
Analysis,STARLINK-3149 - STARLINK-1221,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3130,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1043,
       Rise,         Set, Duration (s),
   10036.036,   86400.000,   76363.964,
Is_True,          88.3842%,
Analysis,STARLINK-3149 - STARLINK-3305,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3870,
       Rise,         Set, Duration (s),
   10047.863,   10832.056,     784.194,
   21201.177,   22075.153,     873.976,
Is_True,           1.9192%,
Analysis,STARLINK-3149 - STARLINK-3712,
       Rise,         Set, Duration (s),
   10181.564,   10914.051,     732.487,
   21353.167,   22244.200,     891.033,
   35431.748,   36298.210,     866.462,
   46779.843,   47461.974,     682.131,
Is_True,           3.6714%,
Analysis,STARLINK-3149 - STARLINK-2336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3336,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-2595,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1049,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1970,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-1869,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3149 - STARLINK-3803,
       Rise,         Set, Duration (s),
   74148.511,   86400.000,   12251.489,
Is_True,          14.1800%,
