
SOAP Analysis Report Output for starlink_starlink_40_sats_13.orb,
Generated: Thu Dec 15 21:24:23 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2413 - STARLINK-2087,
       Rise,         Set, Duration (s),
    6551.205,   13758.766,    7207.561,
   20887.910,   28106.177,    7218.267,
   29504.320,   36702.834,    7198.514,
   43842.231,   51049.065,    7206.834,
   58198.475,   65380.131,    7181.655,
   72537.864,   79724.925,    7187.061,
Is_True,          49.9999%,
Analysis,STARLINK-2413 - STARLINK-3155,
       Rise,         Set, Duration (s),
       0.000,    4201.582,    4201.582,
   11325.578,   18525.448,    7199.870,
   25665.958,   32861.973,    7196.015,
   40025.400,   47182.720,    7157.319,
   57247.813,   64374.222,    7126.409,
   71591.993,   78706.366,    7114.373,
   85956.136,   86400.000,     443.864,
Is_True,          46.8049%,
Analysis,STARLINK-2413 - STARLINK-1007,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-3154,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-2715,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-3758,
       Rise,         Set, Duration (s),
       0.000,     103.173,     103.173,
Is_True,           0.1194%,
Analysis,STARLINK-2413 - STARLINK-1062,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-1763,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-3203,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-1124,
       Rise,         Set, Duration (s),
    6682.093,   13862.064,    7179.971,
   21011.490,   28217.201,    7205.711,
   35359.261,   42556.717,    7197.456,
   49690.232,   56910.271,    7220.039,
   58303.177,   65510.216,    7207.039,
   72635.399,   79862.516,    7227.117,
Is_True,          50.0432%,
Analysis,STARLINK-2413 - STARLINK-1465,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-2146,
       Rise,         Set, Duration (s),
   32298.109,   32776.189,     478.080,
   46625.514,   47135.150,     509.636,
   60932.119,   61515.030,     582.911,
   75262.842,   75870.668,     607.826,
Is_True,           2.5214%,
Analysis,STARLINK-2413 - STARLINK-3826,
       Rise,         Set, Duration (s),
   44004.381,   73359.372,   29354.991,
Is_True,          33.9757%,
Analysis,STARLINK-2413 - STARLINK-2645,
       Rise,         Set, Duration (s),
       0.000,   10137.349,   10137.349,
   11189.131,   21587.401,   10398.270,
   25546.979,   35886.641,   10339.662,
   39938.181,   50210.259,   10272.078,
   54297.199,   64506.708,   10209.509,
   68690.926,   78829.380,   10138.454,
   85944.702,   86400.000,     455.298,
Is_True,          71.7021%,
Analysis,STARLINK-2413 - STARLINK-3744,
       Rise,         Set, Duration (s),
   75126.271,   75721.671,     595.400,
   86166.103,   86400.000,     233.897,
Is_True,           0.9598%,
Analysis,STARLINK-2413 - STARLINK-1594,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2413 - STARLINK-2184,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2413 - STARLINK-3722,
       Rise,         Set, Duration (s),
   57578.072,   58184.751,     606.679,
   71556.298,   72413.182,     856.884,
   85658.955,   86400.000,     741.045,
Is_True,           2.5516%,
