
SOAP Analysis Report Output for starlink_starlink_40_sats_16.orb,
Generated: Thu Dec 15 21:25:30 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-2122 - STARLINK-2599,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2454,
       Rise,         Set, Duration (s),
   14344.720,   14467.215,     122.495,
Is_True,           0.1418%,
Analysis,STARLINK-2122 - STARLINK-1477,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2476,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1106,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2291,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2349,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1470,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1576,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1244,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2052,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-3087,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-3515,
       Rise,         Set, Duration (s),
     161.240,   10586.671,   10425.431,
   11377.967,   24448.127,   13070.160,
   25846.506,   32570.082,    6723.576,
Is_True,          34.9759%,
Analysis,STARLINK-2122 - STARLINK-2496,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1529,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-3657,
       Rise,         Set, Duration (s),
       0.000,   10097.055,   10097.055,
   66261.656,   80670.119,   14408.463,
Is_True,          28.3629%,
Analysis,STARLINK-2122 - STARLINK-2044,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1586,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2045,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2129,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1290,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-1683,
       Rise,         Set, Duration (s),
   10515.817,   11389.610,     873.792,
   24841.955,   25725.009,     883.055,
   39177.616,   40051.686,     874.071,
   53503.742,   54387.096,     883.354,
   67839.416,   68713.758,     874.341,
   82165.532,   83049.178,     883.646,
Is_True,           6.1022%,
Analysis,STARLINK-2122 - STARLINK-3652,
       Rise,         Set, Duration (s),
       0.000,   36384.370,   36384.370,
Is_True,          42.1115%,
Analysis,STARLINK-2122 - STARLINK-1975,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2122 - STARLINK-3640,
       Rise,         Set, Duration (s),
       0.000,   21845.493,   21845.493,
Is_True,          25.2841%,
Analysis,STARLINK-2122 - STARLINK-2294,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2067,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-2166,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2122 - STARLINK-3562,
       Rise,         Set, Duration (s),
   46948.713,   79717.702,   32768.989,
Is_True,          37.9271%,
Analysis,STARLINK-2122 - STARLINK-2305,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
