
SOAP Analysis Report Output for starlink_80_sats_35.orb,
Generated: Fri Dec 16 10:12:55 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3266 - STARLINK-1200,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3913,
       Rise,         Set, Duration (s),
   78628.954,   79296.453,     667.500,
Is_True,           0.7726%,
Analysis,STARLINK-3266 - STARLINK-1716,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2124,
       Rise,         Set, Duration (s),
    2995.098,    3941.927,     946.830,
   17311.963,   18257.338,     945.375,
   28763.708,   32577.635,    3813.927,
   43076.259,   46892.415,    3816.156,
   57394.238,   61211.945,    3817.707,
   71707.650,   72665.283,     957.633,
   86026.416,   86400.000,     373.584,
Is_True,          16.9806%,
Analysis,STARLINK-3266 - STARLINK-2583,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2150,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2333,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2234,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2582,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3266 - STARLINK-1861,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3266 - STARLINK-1028,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1893,
       Rise,         Set, Duration (s),
       0.000,    6954.268,    6954.268,
    7464.309,   21208.091,   13743.782,
   21873.302,   35450.529,   13577.227,
   36232.169,   49717.659,   13485.489,
   50629.945,   61124.093,   10494.148,
   64984.073,   75368.953,   10384.880,
   79380.142,   86400.000,    7019.858,
Is_True,          87.5690%,
Analysis,STARLINK-3266 - STARLINK-1957,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2541,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3144,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2563,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2095,
       Rise,         Set, Duration (s),
    3366.578,    4147.655,     781.076,
   17674.882,   18471.011,     796.128,
   31984.791,   32793.233,     808.441,
   46293.878,   47115.973,     822.094,
   60604.686,   61437.416,     832.730,
   74914.522,   75759.574,     845.052,
   86363.227,   86400.000,      36.773,
Is_True,           5.6971%,
Analysis,STARLINK-3266 - STARLINK-1845,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1628,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2561,
       Rise,         Set, Duration (s),
       0.000,    6476.667,    6476.667,
   13841.465,   15071.925,    1230.459,
   28160.033,   29381.531,    1221.498,
   42466.266,   43702.178,    1235.912,
   51060.700,   58010.755,    6950.055,
   65367.901,   72330.390,    6962.489,
   82545.170,   86400.000,    3854.830,
Is_True,          32.3286%,
Analysis,STARLINK-3266 - STARLINK-2342,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1877,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2418,
       Rise,         Set, Duration (s),
