
SOAP Analysis Report Output for starlink_80_sats_43.orb,
Generated: Fri Dec 16 10:22:47 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Is_True,           1.5271%,
Analysis,STARLINK-3608 - STARLINK-1142,
       Rise,         Set, Duration (s),
   13940.393,   14685.387,     744.994,
   24980.557,   31753.381,    6772.824,
   39079.040,   40110.548,    1031.508,
Is_True,           9.8951%,
Analysis,STARLINK-3608 - STARLINK-2487,
       Rise,         Set, Duration (s),
       0.000,     161.159,     161.159,
   10584.769,   11386.323,     801.554,
   24770.810,   25305.099,     534.289,
Is_True,           1.7326%,
Analysis,STARLINK-3608 - STARLINK-3808,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-2323,
       Rise,         Set, Duration (s),
   35729.923,   36424.147,     694.224,
   49672.395,   50591.840,     919.444,
   60945.734,   61810.483,     864.749,
   75205.600,   75675.175,     469.575,
Is_True,           3.4120%,
Analysis,STARLINK-3608 - STARLINK-1453,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1346,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-2598,
       Rise,         Set, Duration (s),
   61310.067,   86400.000,   25089.933,
Is_True,          29.0393%,
Analysis,STARLINK-3608 - STARLINK-2006,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1810,
       Rise,         Set, Duration (s),
   85708.039,   86400.000,     691.961,
Is_True,           0.8009%,
Analysis,STARLINK-3608 - STARLINK-1871,
       Rise,         Set, Duration (s),
   38859.940,   71010.826,   32150.886,
Is_True,          37.2117%,
Analysis,STARLINK-3608 - STARLINK-3050,
       Rise,         Set, Duration (s),
       0.000,   10472.295,   10472.295,
Is_True,          12.1207%,
Analysis,STARLINK-3608 - STARLINK-3601,
       Rise,         Set, Duration (s),
       0.000,   43598.675,   43598.675,
Is_True,          50.4614%,
Analysis,STARLINK-3608 - STARLINK-1789,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1999,
       Rise,         Set, Duration (s),
   75525.715,   76125.272,     599.557,
   83471.215,   86400.000,    2928.785,
Is_True,           4.0837%,
Analysis,STARLINK-3608 - STARLINK-1849,
       Rise,         Set, Duration (s),
   22148.666,   46241.556,   24092.890,
Is_True,          27.8853%,
Analysis,STARLINK-3608 - STARLINK-1042,
       Rise,         Set, Duration (s),
   13881.552,   14870.216,     988.664,
   25137.760,   28867.723,    3729.963,
   39451.498,   39881.254,     429.756,
Is_True,           5.9588%,
Analysis,STARLINK-3608 - STARLINK-2602,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-3796,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1413,
       Rise,         Set, Duration (s),
    6477.444,    7984.171,    1506.726,
   14990.360,   21738.051,    6747.691,
Is_True,           9.5537%,
Analysis,STARLINK-3608 - STARLINK-1121,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-2346,
       Rise,         Set, Duration (s),
   71986.894,   78968.502,    6981.608,
   82830.787,   86400.000,    3569.213,
Is_True,          12.2116%,
Analysis,STARLINK-3608 - STARLINK-1793,
       Rise,         Set, Duration (s),
   24791.352,   25390.955,     599.603,
   35871.656,   39617.396,    3745.740,
   49920.455,   50853.170,     932.715,
Is_True,           6.1089%,
Analysis,STARLINK-3608 - STARLINK-2282,
       Rise,         Set, Duration (s),
       0.000,   10317.177,   10317.177,
Is_True,          11.9412%,
Analysis,STARLINK-3608 - STARLINK-2335,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-3609,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3608 - FALCON 9 DEB17,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-3218,
       Rise,         Set, Duration (s),
   57046.808,   57626.234,     579.427,
   68189.498,   68971.512,     782.014,
   82219.681,   83054.838,     835.157,
Is_True,           2.5424%,
Analysis,STARLINK-3608 - STARLINK-2388,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-2542,
       Rise,         Set, Duration (s),
    7197.009,   10804.176,    3607.167,
Is_True,           4.1750%,
Analysis,STARLINK-3608 - STARLINK-2044,
       Rise,         Set, Duration (s),
    3381.087,    3887.958,     506.871,
    8215.323,   35163.881,   26948.558,
Is_True,          31.7771%,
Analysis,STARLINK-3608 - STARLINK-1355,
       Rise,         Set, Duration (s),
   17880.489,   18261.637,     381.148,
   31600.703,   32640.240,    1039.537,
   42821.643,   43896.870,    1075.228,
   57113.360,   57715.295,     601.934,
Is_True,           3.5855%,
Analysis,STARLINK-3608 - STARLINK-3162,
       Rise,         Set, Duration (s),
    2846.315,    3799.615,     953.300,
   14111.363,   14992.315,     880.952,
Is_True,           2.1230%,
Analysis,STARLINK-3608 - STARLINK-3577,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1811,
       Rise,         Set, Duration (s),
   13963.719,   14896.261,     932.542,
   22238.754,   29113.045,    6874.291,
   39195.298,   40215.836,    1020.538,
Is_True,          10.2169%,
Analysis,STARLINK-3608 - STARLINK-3779,
       Rise,         Set, Duration (s),
       0.000,      32.026,      32.026,
   10412.882,   11025.426,     612.544,
   21225.100,   21922.171,     697.071,
   32111.595,   32753.775,     642.180,
   43086.523,   43507.052,     420.528,
Is_True,           2.7828%,
Analysis,STARLINK-3608 - STARLINK-3616,
       Rise,         Set, Duration (s),
       0.000,   16719.491,   16719.491,
Is_True,          19.3513%,
Analysis,STARLINK-3608 - STARLINK-2501,
       Rise,         Set, Duration (s),
   17935.748,   18518.034,     582.286,
   31792.610,   32762.349,     969.739,
   43043.112,   43994.806,     951.694,
   57321.034,   57832.161,     511.128,
Is_True,           3.4894%,
Analysis,STARLINK-3608 - STARLINK-1364,
       Rise,         Set, Duration (s),
    6728.042,    7905.489,    1177.447,
   20882.647,   21832.225,     949.579,
Is_True,           2.4618%,
Analysis,STARLINK-3608 - STARLINK-2651,
       Rise,         Set, Duration (s),
   42942.257,   43622.766,     680.509,
   56895.738,   57785.320,     889.582,
   68163.997,   69013.436,     849.439,
   82393.502,   82912.347,     518.846,
Is_True,           3.4009%,
Analysis,STARLINK-3608 - STARLINK-1227,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-3708,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1070,
       Rise,         Set, Duration (s),
   61107.198,   86400.000,   25292.802,
Is_True,          29.2741%,
Analysis,STARLINK-3608 - STARLINK-3447,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
