
SOAP Analysis Report Output for starlink_80_sats_11.orb,
Generated: Fri Dec 16 09:41:50 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3004 - STARLINK-2045,
       Rise,         Set, Duration (s),
     558.475,    7908.056,    7349.580,
   14868.519,   22207.261,    7338.742,
   29189.267,   39338.813,   10149.546,
   43519.682,   53594.860,   10075.178,
   60728.406,   67861.156,    7132.750,
   75080.397,   82100.748,    7020.350,
Is_True,          56.7895%,
Analysis,STARLINK-3004 - STARLINK-1393,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-3190,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-1410,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-1526,
       Rise,         Set, Duration (s),
       0.000,     694.037,     694.037,
   14166.920,   14940.963,     774.043,
   28505.891,   29197.061,     691.171,
   42886.105,   43412.685,     526.580,
   57270.406,   57623.888,     353.483,
Is_True,           3.5177%,
Analysis,STARLINK-3004 - STARLINK-1433,
       Rise,         Set, Duration (s),
    3219.984,    3768.235,     548.251,
   17296.976,   18288.536,     991.560,
   28617.438,   32767.670,    4150.232,
   39957.817,   50089.233,   10131.416,
   54164.425,   64484.772,   10320.348,
   65531.452,   78905.328,   13373.876,
   79735.048,   86400.000,    6664.952,
Is_True,          53.4498%,
Analysis,STARLINK-3004 - STARLINK-3182,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-1624,
       Rise,         Set, Duration (s),
    7158.268,    7916.807,     758.539,
   21458.042,   22205.368,     747.326,
   35768.352,   36485.063,     716.711,
   50069.292,   50772.342,     703.050,
   64381.431,   65050.205,     668.773,
   78682.965,   79336.794,     653.829,
Is_True,           4.9169%,
Analysis,STARLINK-3004 - STARLINK-2487,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-3360,
       Rise,         Set, Duration (s),
   10062.325,   10883.861,     821.536,
   21503.644,   22297.956,     794.312,
   35812.325,   36559.082,     746.756,
   50110.226,   50829.669,     719.443,
   64421.887,   65087.739,     665.852,
   78721.579,   79356.284,     634.706,
Is_True,           5.0725%,
Analysis,STARLINK-3004 - STARLINK-3778,
       Rise,         Set, Duration (s),
   14117.588,   14819.392,     701.805,
   25067.359,   25916.171,     848.812,
Is_True,           1.7947%,
Analysis,STARLINK-3004 - STARLINK-3698,
       Rise,         Set, Duration (s),
       0.000,    6600.853,    6600.853,
   13681.544,   14776.301,    1094.757,
Is_True,           8.9070%,
Analysis,STARLINK-3004 - STARLINK-2094,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-3923,
       Rise,         Set, Duration (s),
       0.000,    6447.807,    6447.807,
    7938.699,   14585.926,    6647.227,
Is_True,          15.1563%,
Analysis,STARLINK-3004 - STARLINK-3795,
       Rise,         Set, Duration (s),
   27982.126,   28897.216,     915.090,
Is_True,           1.0591%,
Analysis,STARLINK-3004 - STARLINK-3647,
       Rise,         Set, Duration (s),
   26051.042,   32988.097,    6937.056,
Is_True,           8.0290%,
Analysis,STARLINK-3004 - STARLINK-1415,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-1524,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3004 - STARLINK-2409,
